,ResponseId,Q1_feat1,Q1_feat2,Q1_feat3,Q1_feat4,Q1_feat5,Q1_feat7,Q2_feat1,Q2_feat2,Q2_feat3,Q2_feat5,Q3_feat1,Q3_feat2,Q3_feat3,Q3_feat4,Q3_feat6,Q4_feat1,Q4_feat3,Q5_feat1,Q5_feat2,Q5_feat3,Q5_feat4,Q5_feat6,Q6_feat1,Q6_feat2,Q6_feat3,Q6_feat4,Q7_feat1,Q7_feat2,Q7_feat3,Q7_feat5,Q8_feat1,Q8_feat2,Q8_feat3,Q8_feat5,Q9_feat1,Q9_feat2,Q9_feat3,Q9_feat4,Q9_feat6,Q10_feat1,Q10_feat2,Q10_feat3,Q10_feat4,Q10_feat6,Q10_feat7,Q11_feat1,Q11_feat2,Q11_feat3,Q11_feat5,Q12_feat1,Q12_feat2,Q12_feat3,Q12_feat5,Q13_feat1,Q13_feat2,Q13_feat4,Tablet_Q1_feat1,Tablet_Q1_feat2,Tablet_Q1_feat3,Tablet_Q1_feat4,Tablet_Q1_feat5,Tablet_Q1_feat7,Tablet_Q2_feat1,Tablet_Q2_feat2,Tablet_Q2_feat3,Tablet_Q2_feat5,Tablet_Q3_feat1,Tablet_Q3_feat2,Tablet_Q3_feat3,Tablet_Q3_feat4,Tablet_Q3_feat6,Tablet_Q4_feat1,Tablet_Q4_feat3,Tablet_Q5_feat1,Tablet_Q5_feat2,Tablet_Q5_feat3,Tablet_Q5_feat4,Tablet_Q5_feat6,Tablet_Q6_feat1,Tablet_Q6_feat2,Tablet_Q6_feat3,Tablet_Q6_feat4,Tablet_Q7_feat1,Tablet_Q7_feat2,Tablet_Q7_feat3,Tablet_Q7_feat5,Tablet_Q8_feat1,Tablet_Q8_feat2,Tablet_Q8_feat3,Tablet_Q8_feat5,Tablet_Q9_feat1,Tablet_Q9_feat2,Tablet_Q9_feat3,Tablet_Q9_feat4,Tablet_Q9_feat6,Tablet_Q10_feat1,Tablet_Q10_feat2,Tablet_Q10_feat3,Tablet_Q10_feat4,Tablet_Q10_feat6,Tablet_Q10_feat7,Tablet_Q11_feat1,Tablet_Q11_feat2,Tablet_Q11_feat3,Tablet_Q11_feat5,Tablet_Q12_feat1,Tablet_Q12_feat2,Tablet_Q12_feat3,Tablet_Q12_feat5,Tablet_Q13_feat1,Tablet_Q13_feat2,Tablet_Q13_feat4,device_use,Q20,actual_use,scenario,raw_scenario,Location,Relationship,org_scenaio,location_1,location_2,location_3,Relationship_1,Relationship_2,Relationship_3
0,R_sOwDvheK5MyDJzb,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"1,2,3,4,5,6","2,4",1,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
1,R_2rkCDyFWcVM9zJw,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,3,4",2,0,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
2,R_3Vsv7141S5YrcwF,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",2,0,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
3,R_2Qms7WB1iiMRNcA,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5,6","2,6",0,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
4,R_bJf4YFPFjwsHX7r,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5,6","1,2,3,4,5,6",1,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
5,R_OwgrQsITYNuw945,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5,6",2,0,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
6,R_1dylt9Um6IbRSek,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",2,0,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).","Supposeyouwanttoasendanemailwhenyouarewalkingonastreetwithpeopleyouknow(e.g.,acquaintances,colleagues).",3,3,"Suppose you want to a send an email when you are walking on a street with people you know (e.g., acquaintances, colleagues).",0,0,1,0,0,1
7,R_Zh6Hu0mpI0rTEOJ,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",2,0,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.","Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.",2,3,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
8,R_24pIySCIqjWMVbi,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",2,0,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.","Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.",2,3,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
9,R_2uU5vof8lORql3w,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,3,4,5,6",6,0,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.","Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.",2,3,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
