,Location,Relationship,raw_scenario,org_scenaio,location_1,location_2,location_3,Relationship_1,Relationship_2,Relationship_3
0,1,1,Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlife whenyouarealoneathome,Suppose you want to call your mother for sharing an important update about your life  when you are alone at home ,1,0,0,1,0,0
1,1,3,"Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atyourhome.","Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",1,0,0,0,0,1
2,2,1,SupposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouarealoneatStarbucks.,Suppose you want to call your mother for sharing an important update about your life when you are alone at Starbucks.,0,1,0,1,0,0
3,2,2,Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouarewithaveryclosefriendatarestaurant,Suppose you want to call your mother for sharing an important update about your life when you are with a very close friend at a restaurant ,0,1,0,0,1,0
4,2,3,"Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.","Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
5,3,1,Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouarealoneatapark,Suppose you want to call your mother for sharing an important update about your life when you are alone at a park,0,0,1,1,0,0
6,3,2,Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifeyourselfwhenyouarewithaveryclosefriendatapark.,Suppose you want to call your mother for sharing an important update about your life yourself when you are with a very close friend at a park. ,0,0,1,0,1,0
7,3,3,"Supposeyouwanttocallyourmotherforsharinganimportantupdateaboutyourlifewhenyouwithpeopleyouknow(e.g.,acquaintances,colleagues)atapark","Suppose you want to call your mother for sharing an important update about your life when you with people you know (e.g., acquaintances, colleagues) at a park",0,0,1,0,0,1
8,1,1,Supposeyouhaveplannedtomeetafriendnextweekandyouwantputthisonyourcalendarwhenyouarealoneathome,Suppose you have planned to meet a friend next week and you want put this on your calendar when you are alone at home,1,0,0,1,0,0
9,1,2,"Supposeyouhaveplannedtomeetafriendnextweekandyouwanttoputthisonyourcalendarwhenyouaresurroundedwithpeopleyouarecloseto(e.g.,friends,familymembers)atyourhome.","Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded with people you are close to (e.g., friends, family members) at your home.",1,0,0,0,1,0
