,features,Importance
15,Smart_Speaker_Q10_feat2,110.0
0,Smart_Speaker_Q1_feat1,106.0
19,Smart_Speaker_Q13_feat4,100.0
17,Smart_Speaker_Q11_feat3,99.0
14,Smart_Speaker_Q9_feat4,98.0
2,Smart_Speaker_Q3_feat4,95.0
18,Smart_Speaker_Q12_feat5,94.0
6,Smart_Speaker_Q5_feat3,83.0
11,Smart_Speaker_Q7_feat5,77.0
1,Smart_Speaker_Q2_feat5,77.0
9,Smart_Speaker_Q6_feat2,71.0
8,Smart_Speaker_Q6_feat1,68.0
12,Smart_Speaker_Q8_feat1,63.0
3,Smart_Speaker_Q4_feat1,59.0
4,Smart_Speaker_Q4_feat3,59.0
7,Smart_Speaker_Q5_feat4,57.0
13,Smart_Speaker_Q8_feat2,55.0
5,Smart_Speaker_Q5_feat2,45.0
16,Smart_Speaker_Q10_feat4,41.0
10,Smart_Speaker_Q7_feat3,35.0
