,features,Importance
8,Laptop_Q5_feat1,227.0
16,Laptop_Q11_feat2,211.0
14,Laptop_Q10_feat3,211.0
5,Laptop_Q3_feat3,182.0
13,Laptop_Q9_feat3,180.0
1,Laptop_Q1_feat4,167.0
11,Laptop_Q8_feat5,161.0
4,Laptop_Q3_feat2,146.0
0,Laptop_Q1_feat2,138.0
17,Laptop_Q12_feat1,138.0
7,Laptop_Q4_feat3,135.0
2,Laptop_Q2_feat1,132.0
15,Laptop_Q11_feat1,129.0
9,Laptop_Q6_feat1,129.0
6,Laptop_Q4_feat1,128.0
18,Laptop_Q13_feat1,126.0
12,Laptop_Q9_feat2,119.0
3,Laptop_Q3_feat1,117.0
10,Laptop_Q7_feat5,115.0
19,Laptop_Q13_feat2,114.0
