,features,Importance
5,Smart_Phone_Q4_feat1,274.0
0,Smart_Phone_Q1_feat2,270.0
16,Smart_Phone_Q11_feat2,256.0
6,Smart_Phone_Q5_feat1,251.0
14,Smart_Phone_Q10_feat3,238.0
12,Smart_Phone_Q9_feat3,195.0
17,Smart_Phone_Q12_feat1,180.0
3,Smart_Phone_Q3_feat2,169.0
4,Smart_Phone_Q3_feat3,169.0
2,Smart_Phone_Q3_feat1,167.0
1,Smart_Phone_Q2_feat1,165.0
7,Smart_Phone_Q6_feat1,147.0
19,Smart_Phone_Q13_feat4,143.0
8,Smart_Phone_Q7_feat1,139.0
10,Smart_Phone_Q8_feat2,138.0
18,Smart_Phone_Q13_feat2,136.0
11,Smart_Phone_Q8_feat5,135.0
13,Smart_Phone_Q10_feat2,131.0
15,Smart_Phone_Q11_feat1,130.0
9,Smart_Phone_Q7_feat2,125.0
