,selected_features
0,Q1_feat2
1,Q2_feat5
2,Q5_feat2
3,Q5_feat4
4,Q5_feat6
5,Q10_feat1
6,Q10_feat3
7,Q10_feat6
8,Q13_feat1
9,Q13_feat2
10,Q13_feat4
11,Smart_Watch_Q1_feat1
12,Smart_Watch_Q1_feat2
13,Smart_Watch_Q1_feat7
14,Smart_Watch_Q2_feat1
15,Smart_Watch_Q2_feat3
16,Smart_Watch_Q2_feat5
17,Smart_Watch_Q3_feat1
18,Smart_Watch_Q3_feat2
19,Smart_Watch_Q3_feat3
20,Smart_Watch_Q3_feat6
21,Smart_Watch_Q4_feat1
22,Smart_Watch_Q4_feat3
23,Smart_Watch_Q5_feat1
24,Smart_Watch_Q5_feat2
25,Smart_Watch_Q5_feat3
26,Smart_Watch_Q5_feat6
27,Smart_Watch_Q6_feat1
28,Smart_Watch_Q6_feat2
29,Smart_Watch_Q6_feat3
30,Smart_Watch_Q6_feat4
31,Smart_Watch_Q9_feat2
32,Smart_Watch_Q9_feat3
33,Smart_Watch_Q9_feat6
34,Smart_Watch_Q10_feat1
35,Smart_Watch_Q10_feat2
36,Smart_Watch_Q10_feat3
37,Smart_Watch_Q10_feat4
38,Smart_Watch_Q10_feat7
39,Smart_Watch_Q12_feat1
40,Smart_Watch_Q12_feat2
41,Smart_Watch_Q12_feat5
42,Smart_Watch_Q13_feat1
43,Smart_Watch_Q13_feat2
44,Smart_Watch_Q13_feat4
