,selected_features
0,Q1_feat1
1,Q1_feat2
2,Q1_feat3
3,Q1_feat4
4,Q1_feat5
5,Q1_feat7
6,Q2_feat1
7,Q2_feat2
8,Q2_feat3
9,Q2_feat5
10,Q3_feat2
11,Q3_feat3
12,Q3_feat6
13,Q4_feat1
14,Q4_feat3
15,Q5_feat1
16,Q5_feat2
17,Q5_feat3
18,Q5_feat4
19,Q6_feat1
20,Q6_feat2
21,Q6_feat3
22,Q6_feat4
23,Q7_feat3
24,Q7_feat5
25,Q8_feat2
26,Q8_feat3
27,Q8_feat5
28,Q9_feat1
29,Q9_feat2
30,Q9_feat3
31,Q9_feat4
32,Q9_feat6
33,Q10_feat2
34,Q10_feat3
35,Q10_feat4
36,Q10_feat7
37,Q11_feat1
38,Q11_feat2
39,Q11_feat3
40,Q11_feat5
41,Q12_feat1
42,Q12_feat2
43,Q12_feat3
44,Q12_feat5
45,Q13_feat1
46,location_1
47,location_2
48,location_3
49,Relationship_1
50,Relationship_2
