,selected_features
0,Smart_Speaker_Q1_feat1
1,Smart_Speaker_Q1_feat2
2,Smart_Speaker_Q1_feat3
3,Smart_Speaker_Q1_feat4
4,Smart_Speaker_Q1_feat5
5,Smart_Speaker_Q1_feat7
6,Smart_Speaker_Q2_feat1
7,Smart_Speaker_Q2_feat2
8,Smart_Speaker_Q2_feat3
9,Smart_Speaker_Q2_feat5
10,Smart_Speaker_Q3_feat1
11,Smart_Speaker_Q3_feat2
12,Smart_Speaker_Q3_feat3
13,Smart_Speaker_Q3_feat4
14,Smart_Speaker_Q3_feat6
15,Smart_Speaker_Q4_feat1
16,Smart_Speaker_Q4_feat3
17,Smart_Speaker_Q5_feat1
18,Smart_Speaker_Q5_feat2
19,Smart_Speaker_Q5_feat3
20,Smart_Speaker_Q5_feat4
21,Smart_Speaker_Q5_feat6
22,Smart_Speaker_Q6_feat1
23,Smart_Speaker_Q6_feat2
24,Smart_Speaker_Q6_feat3
25,Smart_Speaker_Q6_feat4
26,Smart_Speaker_Q7_feat1
27,Smart_Speaker_Q7_feat2
28,Smart_Speaker_Q7_feat3
29,Smart_Speaker_Q7_feat5
30,Smart_Speaker_Q8_feat1
31,Smart_Speaker_Q8_feat2
32,Smart_Speaker_Q8_feat3
33,Smart_Speaker_Q8_feat5
34,Smart_Speaker_Q9_feat1
35,Smart_Speaker_Q9_feat2
36,Smart_Speaker_Q9_feat3
37,Smart_Speaker_Q9_feat4
38,Smart_Speaker_Q9_feat6
39,Smart_Speaker_Q10_feat1
40,Smart_Speaker_Q10_feat2
41,Smart_Speaker_Q10_feat3
42,Smart_Speaker_Q10_feat4
43,Smart_Speaker_Q10_feat6
44,Smart_Speaker_Q10_feat7
45,Smart_Speaker_Q11_feat1
46,Smart_Speaker_Q11_feat2
47,Smart_Speaker_Q11_feat3
48,Smart_Speaker_Q11_feat5
49,Smart_Speaker_Q12_feat1
50,Smart_Speaker_Q12_feat2
51,Smart_Speaker_Q12_feat3
52,Smart_Speaker_Q12_feat5
53,Smart_Speaker_Q13_feat1
54,Smart_Speaker_Q13_feat2
55,Smart_Speaker_Q13_feat4
56,location_1
57,location_2
58,location_3
59,Relationship_1
60,Relationship_2
61,Relationship_3
