,selected_features
0,Tablet_Q1_feat1
1,Tablet_Q1_feat2
2,Tablet_Q1_feat3
3,Tablet_Q1_feat4
4,Tablet_Q1_feat5
5,Tablet_Q1_feat7
6,Tablet_Q2_feat1
7,Tablet_Q2_feat2
8,Tablet_Q2_feat3
9,Tablet_Q2_feat5
10,Tablet_Q3_feat1
11,Tablet_Q3_feat2
12,Tablet_Q3_feat3
13,Tablet_Q3_feat4
14,Tablet_Q3_feat6
15,Tablet_Q4_feat1
16,Tablet_Q4_feat3
17,Tablet_Q5_feat1
18,Tablet_Q5_feat2
19,Tablet_Q5_feat3
20,Tablet_Q5_feat4
21,Tablet_Q5_feat6
22,Tablet_Q6_feat1
23,Tablet_Q6_feat2
24,Tablet_Q6_feat3
25,Tablet_Q6_feat4
26,Tablet_Q7_feat1
27,Tablet_Q7_feat2
28,Tablet_Q7_feat3
29,Tablet_Q7_feat5
30,Tablet_Q8_feat1
31,Tablet_Q8_feat2
32,Tablet_Q8_feat3
33,Tablet_Q8_feat5
34,Tablet_Q9_feat1
35,Tablet_Q9_feat2
36,Tablet_Q9_feat3
37,Tablet_Q9_feat4
38,Tablet_Q9_feat6
39,Tablet_Q10_feat1
40,Tablet_Q10_feat2
41,Tablet_Q10_feat3
42,Tablet_Q10_feat4
43,Tablet_Q10_feat6
44,Tablet_Q10_feat7
45,Tablet_Q11_feat1
46,Tablet_Q11_feat2
47,Tablet_Q11_feat3
48,Tablet_Q11_feat5
49,Tablet_Q12_feat1
50,Tablet_Q12_feat2
51,Tablet_Q12_feat3
52,Tablet_Q12_feat5
53,Tablet_Q13_feat1
54,Tablet_Q13_feat2
55,Tablet_Q13_feat4
56,location_1
57,location_2
58,location_3
59,Relationship_1
60,Relationship_2
61,Relationship_3
