,selected_features
0,Desktop_Computer_Q1_feat1
1,Desktop_Computer_Q1_feat2
2,Desktop_Computer_Q1_feat3
3,Desktop_Computer_Q1_feat4
4,Desktop_Computer_Q1_feat5
5,Desktop_Computer_Q1_feat7
6,Desktop_Computer_Q2_feat1
7,Desktop_Computer_Q2_feat2
8,Desktop_Computer_Q2_feat3
9,Desktop_Computer_Q2_feat5
10,Desktop_Computer_Q3_feat1
11,Desktop_Computer_Q3_feat2
12,Desktop_Computer_Q3_feat3
13,Desktop_Computer_Q3_feat4
14,Desktop_Computer_Q3_feat6
15,Desktop_Computer_Q4_feat1
16,Desktop_Computer_Q4_feat3
17,Desktop_Computer_Q5_feat1
18,Desktop_Computer_Q5_feat2
19,Desktop_Computer_Q5_feat3
20,Desktop_Computer_Q5_feat4
21,Desktop_Computer_Q5_feat6
22,Desktop_Computer_Q6_feat1
23,Desktop_Computer_Q6_feat2
24,Desktop_Computer_Q6_feat3
25,Desktop_Computer_Q6_feat4
26,Desktop_Computer_Q7_feat1
27,Desktop_Computer_Q7_feat2
28,Desktop_Computer_Q7_feat3
29,Desktop_Computer_Q7_feat5
30,Desktop_Computer_Q8_feat1
31,Desktop_Computer_Q8_feat2
32,Desktop_Computer_Q8_feat3
33,Desktop_Computer_Q8_feat5
34,Desktop_Computer_Q9_feat1
35,Desktop_Computer_Q9_feat2
36,Desktop_Computer_Q9_feat3
37,Desktop_Computer_Q9_feat4
38,Desktop_Computer_Q9_feat6
39,Desktop_Computer_Q10_feat1
40,Desktop_Computer_Q10_feat2
41,Desktop_Computer_Q10_feat3
42,Desktop_Computer_Q10_feat4
43,Desktop_Computer_Q10_feat6
44,Desktop_Computer_Q10_feat7
45,Desktop_Computer_Q11_feat1
46,Desktop_Computer_Q11_feat2
47,Desktop_Computer_Q11_feat3
48,Desktop_Computer_Q11_feat5
49,Desktop_Computer_Q12_feat1
50,Desktop_Computer_Q12_feat2
51,Desktop_Computer_Q12_feat3
52,Desktop_Computer_Q12_feat5
53,Desktop_Computer_Q13_feat1
54,Desktop_Computer_Q13_feat2
55,Desktop_Computer_Q13_feat4
