,selected_features
0,Laptop_Q1_feat1
1,Laptop_Q1_feat2
2,Laptop_Q1_feat3
3,Laptop_Q1_feat4
4,Laptop_Q1_feat5
5,Laptop_Q1_feat7
6,Laptop_Q2_feat1
7,Laptop_Q2_feat2
8,Laptop_Q2_feat3
9,Laptop_Q2_feat5
10,Laptop_Q3_feat1
11,Laptop_Q3_feat2
12,Laptop_Q3_feat3
13,Laptop_Q3_feat4
14,Laptop_Q3_feat6
15,Laptop_Q4_feat1
16,Laptop_Q4_feat3
17,Laptop_Q5_feat1
18,Laptop_Q5_feat2
19,Laptop_Q5_feat3
20,Laptop_Q5_feat4
21,Laptop_Q5_feat6
22,Laptop_Q6_feat1
23,Laptop_Q6_feat2
24,Laptop_Q6_feat3
25,Laptop_Q6_feat4
26,Laptop_Q7_feat1
27,Laptop_Q7_feat2
28,Laptop_Q7_feat3
29,Laptop_Q7_feat5
30,Laptop_Q8_feat1
31,Laptop_Q8_feat2
32,Laptop_Q8_feat3
33,Laptop_Q8_feat5
34,Laptop_Q9_feat1
35,Laptop_Q9_feat2
36,Laptop_Q9_feat3
37,Laptop_Q9_feat4
38,Laptop_Q9_feat6
39,Laptop_Q10_feat1
40,Laptop_Q10_feat2
41,Laptop_Q10_feat3
42,Laptop_Q10_feat4
43,Laptop_Q10_feat6
44,Laptop_Q10_feat7
45,Laptop_Q11_feat1
46,Laptop_Q11_feat2
47,Laptop_Q11_feat3
48,Laptop_Q11_feat5
49,Laptop_Q12_feat1
50,Laptop_Q12_feat2
51,Laptop_Q12_feat3
52,Laptop_Q12_feat5
53,Laptop_Q13_feat1
54,Laptop_Q13_feat2
55,Laptop_Q13_feat4
