,features,Question,Answer option,Importance
0,Desktop Computer_Q10_feat3,How does Desktop Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,0.211362455
1,Desktop Computer_Q1_feat4,Which of the following type of interactions do you use while executing a command on Desktop Computer?,Text-based interaction using physical keyboard  ,0.135067991
2,Desktop Computer_Q5_feat1,What level of accuracy does your Desktop Computer provide when executing the task?,It executes the task without any errors   ,0.116739557
3,Desktop Computer_Q11_feat2,Which of the following design components on your Desktop Computer help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",0.073376282
4,Desktop Computer_Q11_feat1,Which of the following design components on your Desktop Computer help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",0.067258772
5,Desktop Computer_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Desktop Computer while executing this task?",I use/view another application using touch-based input,0.054005408
6,Desktop Computer_Q1_feat2,Which of the following type of interactions do you use while executing a command on Desktop Computer,"Touch-based interaction (e.g, through scrolling, tapping)  ",0.043936151
7,Desktop Computer_Q8_feat5,What level of personalized communication does your Desktop Computer provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,0.040729814
8,Desktop Computer_Q10_feat2,How does Desktop Computer provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,0.0341537
9,Desktop Computer_Q12_feat5,Which of these maintenance features in Desktop Computer affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,0.027665241
10,Desktop Computer_Q6_feat3,When does your Desktop Computer give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,0.022270539
11,Desktop Computer_Q13_feat1,Which of the additional artifacts do you connect/download on your Desktop Computer to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",0.014143236
12,Desktop Computer_Q13_feat4,Which of the additional artifacts do you connect/download on your Desktop Computer,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,0.011589478
13,location_1,Scenario location,Home,0.009832032
14,Desktop Computer_Q8_feat2,What level of personalized communication does your Desktop Computer provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",0.007298707
15,Desktop Computer_Q9_feat3,How does your Desktop Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,0.007180746
16,Q1_feat5,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using virtual/digital keyboard on a screen ,0.004918106
17,Desktop Computer_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Desktop Computer?,I enables me to control how it executes this task  ,0.004822691
18,Desktop Computer_Q12_feat1,Which of these maintenance features in Desktop Computer affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   ,0.004774094
19,Q12_feat3,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  ,0.00445887
20,Q8_feat3,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Based on my current activities and surroundings device(s) should recommend  additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task) ",0.004314337
21,location_3,Scenario location,"Public (park, street etc)",0.004301878
22,Relationship_1,Scenario relation,alone,0.004016116
23,Q10_feat4,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through notifications/reminders on other synced/connected device  ,0.003992631
24,Q13_feat1,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  ",0.003853456
25,Q10_feat3,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices,0.003719715
26,Q11_feat5,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,Design components in a device to help me develop an intuition of how to perform this task does not matter to me  ,0.003685412
27,Q4_feat3,What aspects of mobility do you expect to have for performing this task?,Mobility of the device does not matter to me in this task,0.003618965
28,Q1_feat3,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  ,0.003375337
29,Q4_feat1,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   ,0.00334243
30,Q5_feat3,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors, but it should try to correct itself by learning from my previous actions or more interactions with me.  ",0.002933348
