,features,Importance,Question,Answer option
0,Smart Phone_Q4_feat1,0.13492265007353085,Which aspects of mobility does Smart Phone  provide as you perform this task?,I can move around while performing the task   
1,Smart Phone_Q5_feat1,0.0722406569835361,What level of accuracy does your Smart Phone provide when executing the task?,It executes the task without any errors   
2,Smart Phone_Q10_feat3,0.06238372075817826,How does Smart Phone provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   
3,Smart Phone_Q2_feat1,0.04836875926841323,"How do you multitask (i.e.,use other functionalities) on Smart Phone while executing this task?",I use/view another application using touch-based input
4,Smart Phone_Q11_feat2,0.04476290516206481,Which of the following design components on your Smart Phone help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
5,Smart Phone_Q12_feat1,0.043588419786962214,Which of these maintenance features in Smart Phone affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   
6,Smart Phone_Q8_feat5,0.038871666725198865,What level of personalized communication does your Smart Phone provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  
7,Smart Phone_Q3_feat3,0.03720827795400903,Which  aspects of Smart Phone makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
8,Smart Phone_Q8_feat2,0.03221081110965971,What level of personalized communication does your Smart Phone provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  "
9,Smart Phone_Q1_feat2,0.030074570296774773,Which of the following type of interactions do you use while executing a command on Smart Phone,"Touch-based interaction (e.g, through scrolling, tapping)  "
10,Smart Phone_Q3_feat1,0.026721861052596645,Which  aspects of Smart Phone makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
11,Smart Phone_Q2_feat5,0.024927843783981225,"How do you multitask (i.e.,use other functionalities) on Smart Phone while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  
12,Smart Phone_Q7_feat2,0.02476599039012592,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Phone?,"It enables me to control where my personal information is stored (e.g., solely on the device)"
13,Smart Phone_Q10_feat7,0.02149980938976783,How does Smart Phone provide feedback or respond to your actions as you execute the task?,The way in which this device provides feedback or responds to my actions does not affect the way I use it  for this task or is not provided by the device  
14,Smart Phone_Q10_feat2,0.01829277723359281,How does Smart Phone provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses
15,Q10_feat6,0.01811913677911527,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"As long as feedback is unambiguous and easy to follow, mode of feedback does not matter to me.   "
16,Smart Phone_Q12_feat5,0.01579996636693404,Which of these maintenance features in Smart Phone affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  
17,Q8_feat1,0.013979243697099946,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Device(s) should be able to communicate with me through informal/human-like responses or notifications  
18,Q12_feat2,0.012056100443041751,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  
19,Smart Phone_Q9_feat6,0.011825155765457654,How does your Smart Phone help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  
20,Q6_feat3,0.010985565884199015,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
21,Q7_feat2,0.009817924560080774,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,"To be able to control where my personal information is stored (e.g., solely on the device(s))"
22,Smart Phone_Q13_feat4,0.009612286970863115,Which of the additional artifacts do you connect/download on your Smart Phone,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  
23,Smart Phone_Q13_feat1,0.00955258332508135,Which of the additional artifacts do you connect/download on your Smart Phone to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  "
24,Q13_feat2,0.007841559230926897,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
25,Q2_feat3,0.007537322925521365,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  
26,Smart Phone_Q6_feat4,0.007065503222760103,When does your Smart Phone give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  
27,Q9_feat3,0.006875495447293378,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
28,location_2,0.006732931859343758,Scenario location,"Semi private places (resturants, coffee shop etc)"
29,Q12_feat5,0.006707032289840056,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.
30,Smart Phone_Q4_feat3,0.006421566204602232,Which aspects of mobility does Smart Phone  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device
