,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,location_1:Desktop_Computer_Q4_feat3,162.72340425531917,location_1,Desktop_Computer_Q4_feat3,Which aspects of mobility does Desktop_Computer  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario location,Home
1,location_1:Desktop_Computer_Q10_feat3,162.72340425531917,location_1,Desktop_Computer_Q10_feat3,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,Home
2,location_1:Desktop_Computer_Q5_feat1,157.63829787234044,location_1,Desktop_Computer_Q5_feat1,What level of accuracy does your Desktop_Computer provide when executing the task?,It executes the task without any errors   ,Scenario location,Home
3,location_1:Desktop_Computer_Q1_feat4,147.468085106383,location_1,Desktop_Computer_Q1_feat4,Which of the following type of interactions do you use while executing a command on Desktop_Computer?,Text-based interaction using physical keyboard  ,Scenario location,Home
4,location_1:Desktop_Computer_Q9_feat3,147.468085106383,location_1,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario location,Home
5,location_1:Desktop_Computer_Q3_feat3,137.29787234042556,location_1,Desktop_Computer_Q3_feat3,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario location,Home
6,location_1:Desktop_Computer_Q11_feat2,137.29787234042556,location_1,Desktop_Computer_Q11_feat2,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,Home
7,location_1:Desktop_Computer_Q3_feat2,111.87234042553196,location_1,Desktop_Computer_Q3_feat2,Which  aspects of Desktop_Computer makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario location,Home
8,location_1:Desktop_Computer_Q8_feat5,111.87234042553196,location_1,Desktop_Computer_Q8_feat5,What level of personalized communication does your Desktop_Computer provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario location,Home
9,location_1:Desktop_Computer_Q11_feat1,96.61702127659576,location_1,Desktop_Computer_Q11_feat1,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",Scenario location,Home
