,features,Importance
0,location_3:Smart_Phone_Q4_feat1,53.88655462184873
1,location_3:Smart_Phone_Q1_feat2,47.42016806722689
2,location_3:Smart_Phone_Q5_feat1,45.98319327731092
3,location_3:Smart_Phone_Q11_feat2,45.26470588235294
4,Relationship_1:Smart_Phone_Q4_feat1,43.82773109243696
5,location_2:Smart_Phone_Q4_feat1,43.10924369747899
6,Relationship_2:Smart_Phone_Q4_feat1,43.10924369747899
7,location_2:Smart_Phone_Q5_feat1,41.672268907563016
8,location_2:Smart_Phone_Q1_feat2,40.95378151260505
9,Relationship_1:Smart_Phone_Q1_feat2,40.95378151260505
10,Relationship_2:Smart_Phone_Q1_feat2,40.95378151260505
11,Relationship_2:Smart_Phone_Q5_feat1,40.95378151260505
13,Relationship_1:Smart_Phone_Q11_feat2,40.23529411764706
12,location_3:Smart_Phone_Q12_feat1,40.23529411764706
14,location_2:Smart_Phone_Q11_feat2,39.51680672268908
15,location_3:Smart_Phone_Q10_feat3,39.51680672268908
16,Relationship_1:Smart_Phone_Q5_feat1,39.51680672268908
17,Relationship_3:Smart_Phone_Q4_feat1,39.51680672268908
18,Relationship_3:Smart_Phone_Q1_feat2,38.79831932773109
19,Relationship_2:Smart_Phone_Q11_feat2,38.07983193277311
20,location_2:Smart_Phone_Q10_feat3,36.64285714285714
21,Relationship_3:Smart_Phone_Q5_feat1,36.64285714285714
22,Relationship_1:Smart_Phone_Q10_feat3,35.924369747899156
23,Relationship_3:Smart_Phone_Q11_feat2,34.487394957983184
24,location_2:Smart_Phone_Q9_feat3,33.76890756302521
25,location_3:Smart_Phone_Q3_feat1,33.76890756302521
26,Relationship_2:Smart_Phone_Q10_feat3,33.76890756302521
27,location_3:Smart_Phone_Q3_feat3,33.05042016806723
28,location_3:Smart_Phone_Q9_feat3,33.05042016806723
29,location_1:Smart_Phone_Q1_feat2,32.331932773109244
30,location_3:Smart_Phone_Q2_feat1,31.61344537815126
31,Relationship_1:Smart_Phone_Q9_feat3,31.61344537815126
