,features,Importance
504,Relationship_3:Laptop_Q10_feat6,0.0
438,location_3:Laptop_Q10_feat6,0.0
339,location_2:Laptop_Q9_feat4,0.0
338,location_2:Laptop_Q5_feat4,0.0
498,Relationship_2:Laptop_Q10_feat6,0.0
789,Relationship_1:Q10_feat4,6.191241251001503e-06
337,location_2:Q12_feat5,1.2382482502003007e-05
497,Relationship_2:Q8_feat5,0.00014035996933675743
496,Relationship_2:Q7_feat1,0.000983416760309191
336,location_2:Q13_feat2,0.0012097359549655884
437,Q8_feat5,0.0019389510835491719
788,Relationship_1:Q12_feat1,0.0023906128717651404
436,location_3:Q10_feat1,0.0030855348937857147
435,location_3:Q10_feat2,0.0031522262597959297
787,Relationship_2:Q5_feat6,0.0032803259894893305
335,location_2:Q5_feat6,0.0032803259894893305
786,Relationship_3:Q3_feat1,0.004167008854142705
785,Relationship_1:Q12_feat5,0.004167008854142705
334,location_2:Q10_feat3,0.004545727586150194
784,Relationship_2:Q5_feat4,0.006289110487700755
783,Relationship_1:Q1_feat7,0.006560651978978661
333,location_2:Q5_feat3,0.009840977968467982
495,Relationship_2:Q11_feat2,0.01053370907288581
332,Q12_feat5,0.012523956984919158
331,location_1:Q5_feat2,0.013121303957957322
782,Relationship_2:Q1_feat1,0.013701806530491885
781,Relationship_2:Q3_feat2,0.013854671225189281
330,Q10_feat6,0.018867331463102318
329,location_2:Q9_feat2,0.01937287012371286
494,Relationship_2:Q11_feat3,0.019681955936935964
493,Relationship_2:Q7_feat3,0.02544049821606271
328,Q3_feat6,0.026242607915914644
434,location_3:Q10_feat4,0.026242607915914644
780,Relationship_1:Q10_feat2,0.02776005408099958
433,location_3:Q8_feat3,0.029522933905403868
327,location_1:Q10_feat1,0.029522933905403868
779,Relationship_1:Q9_feat4,0.029665951578302326
778,Relationship_3:Q12_feat1,0.03152851701514198
326,location_1:Q11_feat3,0.03280325989489316
777,Relationship_3:Q6_feat3,0.03608358588438263
432,location_3:Q9_feat1,0.039159600912589104
492,Relationship_2:Q12_feat3,0.03936391187387193
325,location_2:Q7_feat1,0.04264423786336123
776,Relationship_3:Q5_feat2,0.04446968285730884
774,Relationship_3:Q6_feat1,0.04592456385285053
775,Relationship_3:Q13_feat1,0.04592456385285053
491,Relationship_2:Q9_feat3,0.04857119364941701
773,Relationship_2:Q5_feat1,0.050149054133118
772,Relationship_2:Q1_feat5,0.055765541821318584
431,location_3:Q7_feat2,0.055765541821318584
324,location_2:Q12_feat3,0.058297988798210354
323,location_2:Q12_feat2,0.058297988798210354
771,Relationship_1:Q6_feat1,0.05873940136888345
322,location_2:Q10_feat2,0.059045867810807735
490,Relationship_2:Q6_feat4,0.06702372439424244
321,location_2:Q7_feat2,0.07266935952194924
320,Q6_feat1,0.07546932585240927
770,Relationship_2:Q3_feat3,0.07872782374774386
769,Relationship_1:Q5_feat6,0.0851295672012804
319,location_2:Q5_feat4,0.0851295672012804
430,location_3:Q6_feat3,0.08723715793309775
317,location_2:Q3_feat2,0.09237141120566342
318,location_2:Q11_feat1,0.09237141120566342
