,features,Importance
0,location_1:Laptop_Q11_feat2,94.39316239316238
2,location_1:Laptop_Q10_feat3,90.10256410256409
1,location_1:Laptop_Q5_feat1,90.10256410256409
3,location_1:Laptop_Q9_feat3,83.66666666666666
4,Relationship_1:Laptop_Q5_feat1,83.66666666666666
5,Relationship_1:Laptop_Q10_feat3,77.23076923076921
6,location_1:Laptop_Q3_feat3,75.08547008547006
7,Relationship_1:Laptop_Q11_feat2,72.94017094017093
8,location_1:Laptop_Q8_feat5,70.7948717948718
9,location_1:Laptop_Q1_feat2,66.50427350427348
10,location_1:Laptop_Q3_feat2,66.50427350427348
11,Relationship_1:Laptop_Q9_feat3,66.50427350427348
12,Relationship_1:Laptop_Q3_feat3,64.35897435897435
13,location_1:Laptop_Q1_feat4,62.21367521367522
14,Relationship_1:Laptop_Q2_feat1,62.21367521367522
15,Relationship_3:Laptop_Q5_feat1,62.21367521367522
553,Relationship_3:Laptop_Q11_feat2,62.21367521367522
16,location_2:Laptop_Q5_feat1,60.06837606837607
17,Relationship_1:Laptop_Q1_feat4,60.06837606837607
548,Relationship_3:Laptop_Q10_feat3,60.06837606837607
22,Relationship_1:Laptop_Q9_feat2,57.92307692307692
19,location_1:Laptop_Q4_feat3,57.92307692307692
21,Relationship_1:Laptop_Q3_feat2,57.92307692307692
20,location_1:Laptop_Q7_feat5,57.92307692307692
18,location_1:Laptop_Q2_feat1,57.92307692307692
23,location_1:Laptop_Q4_feat1,55.77777777777778
24,Relationship_1:Laptop_Q4_feat1,55.77777777777778
25,Relationship_1:Laptop_Q12_feat1,55.77777777777778
396,location_2:Laptop_Q10_feat3,55.77777777777778
26,location_1:Laptop_Q3_feat1,53.63247863247864
27,location_1:Laptop_Q11_feat1,53.63247863247864
549,Relationship_3:Laptop_Q8_feat5,51.48717948717948
34,Relationship_2:Laptop_Q10_feat3,51.48717948717948
554,Relationship_2:Laptop_Q11_feat2,51.48717948717948
29,location_1:Laptop_Q9_feat2,51.48717948717948
33,Relationship_2:Laptop_Q5_feat1,51.48717948717948
28,location_1:Laptop_Q6_feat1,51.48717948717948
30,location_1:Laptop_Q13_feat1,51.48717948717948
31,Relationship_1:Laptop_Q1_feat2,51.48717948717948
32,Relationship_1:Laptop_Q11_feat1,51.48717948717948
35,location_1:Laptop_Q13_feat2,49.34188034188034
550,Relationship_3:Laptop_Q9_feat3,49.34188034188034
36,location_1:Laptop_Q13_feat4,49.34188034188034
399,location_3:Laptop_Q11_feat2,49.34188034188034
40,Relationship_2:Laptop_Q9_feat3,49.34188034188034
39,Relationship_1:Laptop_Q13_feat2,49.34188034188034
38,Relationship_1:Laptop_Q13_feat1,49.34188034188034
37,Relationship_1:Laptop_Q8_feat5,49.34188034188034
43,Relationship_1:Laptop_Q3_feat1,47.19658119658119
42,location_1:Laptop_Q12_feat5,47.19658119658119
555,Relationship_3:Laptop_Q3_feat3,47.19658119658119
41,location_1:Laptop_Q12_feat1,47.19658119658119
400,location_3:Laptop_Q5_feat1,47.19658119658119
551,Relationship_3:Laptop_Q7_feat5,45.051282051282044
556,Relationship_2:Laptop_Q11_feat1,45.051282051282044
380,location_2:Laptop_Q9_feat3,45.051282051282044
44,Relationship_1:Laptop_Q7_feat1,45.051282051282044
45,Relationship_2:Laptop_Q3_feat3,45.051282051282044
381,location_2:Laptop_Q3_feat3,42.905982905982896
382,location_2:Laptop_Q11_feat2,42.905982905982896
383,location_3:Laptop_Q10_feat3,42.905982905982896
47,Relationship_2:Laptop_Q1_feat2,42.905982905982896
46,location_1:Laptop_Q8_feat2,42.905982905982896
51,Relationship_1:Laptop_Q6_feat1,40.76068376068375
559,Relationship_3:Laptop_Q3_feat1,40.76068376068375
