,features,Importance
0,Relationship_1:Smart_Watch_Q4_feat1,64.27777777777777
137,location_3:Smart_Watch_Q9_feat3,64.27777777777777
143,location_3:Smart_Watch_Q11_feat2,64.27777777777777
92,location_3:Smart_Watch_Q5_feat1,64.27777777777777
247,Relationship_1:Smart_Watch_Q11_feat2,64.27777777777777
138,location_3:Smart_Watch_Q10_feat2,61.80555555555557
144,location_3:Smart_Watch_Q1_feat2,61.80555555555557
145,Relationship_1:Smart_Watch_Q1_feat2,61.80555555555557
146,Relationship_1:Smart_Watch_Q9_feat3,59.33333333333334
248,Relationship_1:Smart_Watch_Q10_feat2,56.861111111111114
147,Relationship_1:Smart_Watch_Q5_feat1,56.861111111111114
148,Relationship_1:Smart_Watch_Q10_feat3,56.861111111111114
93,location_2:Smart_Watch_Q1_feat2,56.861111111111114
150,Relationship_1:Smart_Watch_Q3_feat3,54.3888888888889
149,location_3:Smart_Watch_Q3_feat3,54.3888888888889
140,location_3:Smart_Watch_Q10_feat3,54.3888888888889
139,location_3:Smart_Watch_Q4_feat1,54.3888888888889
152,Relationship_2:Smart_Watch_Q1_feat2,51.91666666666668
151,location_3:Smart_Watch_Q2_feat5,51.91666666666668
95,location_2:Smart_Watch_Q3_feat3,51.91666666666668
141,location_3:Smart_Watch_Q7_feat5,51.91666666666668
97,location_2:Smart_Watch_Q5_feat1,49.44444444444444
153,location_3:Smart_Watch_Q3_feat2,49.44444444444444
249,Relationship_1:Smart_Watch_Q10_feat1,49.44444444444444
156,Relationship_1:Smart_Watch_Q3_feat2,46.97222222222223
250,Relationship_1:Smart_Watch_Q7_feat5,46.97222222222223
155,location_3:Smart_Watch_Q13_feat4,46.97222222222223
154,location_2:Smart_Watch_Q11_feat2,46.97222222222223
98,location_2:Smart_Watch_Q4_feat1,46.97222222222223
101,location_2:Smart_Watch_Q10_feat3,46.97222222222223
100,location_2:Smart_Watch_Q9_feat3,46.97222222222223
334,Relationship_2:Smart_Watch_Q5_feat1,46.97222222222223
343,Relationship_2:Smart_Watch_Q9_feat3,46.97222222222223
344,Relationship_2:Smart_Watch_Q10_feat3,44.50000000000001
157,Relationship_1:Smart_Watch_Q2_feat5,44.50000000000001
158,Relationship_1:Smart_Watch_Q6_feat1,44.50000000000001
102,location_2:Smart_Watch_Q10_feat2,44.50000000000001
392,Relationship_2:Smart_Watch_Q11_feat2,44.50000000000001
345,Relationship_2:Smart_Watch_Q10_feat2,42.02777777777777
346,Relationship_3:Smart_Watch_Q3_feat3,42.02777777777777
159,location_3:Smart_Watch_Q8_feat5,42.02777777777777
251,Relationship_1:Smart_Watch_Q12_feat1,42.02777777777777
252,Relationship_1:Smart_Watch_Q13_feat4,42.02777777777777
105,location_2:Smart_Watch_Q10_feat1,42.02777777777777
103,location_2:Smart_Watch_Q3_feat2,42.02777777777777
104,location_2:Smart_Watch_Q6_feat1,42.02777777777777
393,Relationship_2:Smart_Watch_Q13_feat4,39.55555555555556
106,location_2:Smart_Watch_Q8_feat5,39.55555555555556
347,Relationship_3:Smart_Watch_Q1_feat2,39.55555555555556
160,location_2:Smart_Watch_Q13_feat4,39.55555555555556
161,location_3:Smart_Watch_Q6_feat1,39.55555555555556
335,Relationship_2:Smart_Watch_Q3_feat2,39.55555555555556
332,Relationship_2:Smart_Watch_Q3_feat3,39.55555555555556
348,Relationship_3:Smart_Watch_Q5_feat1,39.55555555555556
349,Relationship_3:Smart_Watch_Q10_feat2,39.55555555555556
162,location_3:Smart_Watch_Q12_feat1,39.55555555555556
350,Relationship_2:Smart_Watch_Q7_feat5,37.083333333333336
163,location_2:Smart_Watch_Q12_feat1,37.083333333333336
108,location_2:Smart_Watch_Q7_feat5,37.083333333333336
107,location_2:Smart_Watch_Q2_feat5,37.083333333333336
351,Relationship_3:Smart_Watch_Q9_feat3,37.083333333333336
253,Relationship_1:Smart_Watch_Q8_feat5,37.083333333333336
254,Relationship_1:Smart_Watch_Q8_feat2,34.611111111111114
164,location_3:Smart_Watch_Q1_feat1,34.611111111111114
165,location_3:Smart_Watch_Q10_feat1,34.611111111111114
1,location_1:Smart_Watch_Q1_feat2,34.611111111111114
353,Relationship_3:Smart_Watch_Q3_feat2,34.611111111111114
255,Relationship_1:Smart_Watch_Q11_feat1,34.611111111111114
352,Relationship_2:Smart_Watch_Q8_feat5,34.611111111111114
354,Relationship_2:Smart_Watch_Q6_feat1,32.138888888888886
256,Relationship_1:Smart_Watch_Q10_feat4,32.138888888888886
169,Relationship_1:Smart_Watch_Q1_feat1,32.138888888888886
355,Relationship_3:Smart_Watch_Q10_feat3,32.138888888888886
109,location_2:Smart_Watch_Q1_feat1,32.138888888888886
168,location_3:Smart_Watch_Q12_feat5,32.138888888888886
167,location_3:Smart_Watch_Q11_feat1,32.138888888888886
166,location_3:Smart_Watch_Q8_feat2,32.138888888888886
460,Relationship_3:Smart_Watch_Q11_feat2,32.138888888888886
336,Relationship_2:Smart_Watch_Q2_feat5,32.138888888888886
3,location_1:Smart_Watch_Q9_feat3,32.138888888888886
4,location_1:Smart_Watch_Q10_feat2,32.138888888888886
5,location_1:Smart_Watch_Q10_feat3,32.138888888888886
8,location_1:Smart_Watch_Q5_feat1,29.66666666666667
170,Relationship_1:Smart_Watch_Q3_feat1,29.66666666666667
462,location_2:Smart_Watch_Q11_feat1,29.66666666666667
461,location_1:Smart_Watch_Q11_feat2,29.66666666666667
358,Relationship_3:Smart_Watch_Q7_feat5,29.66666666666667
357,Relationship_3:Smart_Watch_Q6_feat1,29.66666666666667
356,Relationship_3:Smart_Watch_Q4_feat1,29.66666666666667
6,location_1:Smart_Watch_Q3_feat2,29.66666666666667
7,location_1:Smart_Watch_Q3_feat3,29.66666666666667
463,Relationship_3:Smart_Watch_Q12_feat1,29.66666666666667
337,Relationship_2:Smart_Watch_Q4_feat1,29.66666666666667
394,Relationship_2:Smart_Watch_Q12_feat1,29.66666666666667
359,Relationship_2:Smart_Watch_Q1_feat1,27.19444444444445
464,location_2:Smart_Watch_Q10_feat4,27.19444444444445
465,Relationship_3:Smart_Watch_Q8_feat5,27.19444444444445
360,Relationship_3:Smart_Watch_Q2_feat5,27.19444444444445
466,Relationship_3:Smart_Watch_Q13_feat4,27.19444444444445
257,Relationship_1:Smart_Watch_Q12_feat5,27.19444444444445
258,Relationship_1:Smart_Watch_Q13_feat1,27.19444444444445
470,location_3:Smart_Watch_Q13_feat1,24.72222222222222
110,location_2:Smart_Watch_Q3_feat1,24.72222222222222
468,location_3:Smart_Watch_Q1_feat5,24.72222222222222
467,location_1:Smart_Watch_Q12_feat1,24.72222222222222
9,location_1:Smart_Watch_Q6_feat1,24.72222222222222
171,Relationship_1:Smart_Watch_Q1_feat5,24.72222222222222
395,Relationship_2:Smart_Watch_Q11_feat1,24.72222222222222
469,location_3:Smart_Watch_Q10_feat4,24.72222222222222
10,location_1:Smart_Watch_Q7_feat5,24.72222222222222
361,Relationship_2:Smart_Watch_Q10_feat1,24.72222222222222
111,location_2:Smart_Watch_Q1_feat5,22.250000000000004
112,location_2:Smart_Watch_Q9_feat1,22.250000000000004
473,Relationship_3:Smart_Watch_Q10_feat1,22.250000000000004
472,location_3:Smart_Watch_Q3_feat1,22.250000000000004
471,location_1:Smart_Watch_Q13_feat4,22.250000000000004
11,location_1:Smart_Watch_Q4_feat1,22.250000000000004
362,Relationship_2:Smart_Watch_Q4_feat3,22.250000000000004
363,Relationship_3:Smart_Watch_Q1_feat1,22.250000000000004
476,location_3:Smart_Watch_Q6_feat4,19.77777777777778
474,location_2:Smart_Watch_Q12_feat5,19.77777777777778
259,Relationship_1:Smart_Watch_Q9_feat1,19.77777777777778
172,Relationship_1:Smart_Watch_Q2_feat1,19.77777777777778
13,location_1:Smart_Watch_Q10_feat1,19.77777777777778
475,location_3:Smart_Watch_Q4_feat3,19.77777777777778
477,Relationship_3:Smart_Watch_Q8_feat2,19.77777777777778
396,Relationship_2:Smart_Watch_Q12_feat5,19.77777777777778
478,Relationship_3:Smart_Watch_Q13_feat1,19.77777777777778
364,Relationship_3:Smart_Watch_Q1_feat5,19.77777777777778
113,location_2:Smart_Watch_Q8_feat2,19.77777777777778
12,location_1:Smart_Watch_Q8_feat2,19.77777777777778
173,Relationship_1:Smart_Watch_Q6_feat4,17.305555555555557
174,Relationship_1:Smart_Watch_Q7_feat1,17.305555555555557
485,Relationship_3:Smart_Watch_Q12_feat5,17.305555555555557
484,Relationship_3:Smart_Watch_Q10_feat4,17.305555555555557
14,location_1:Smart_Watch_Q2_feat1,17.305555555555557
483,Relationship_3:Smart_Watch_Q4_feat3,17.305555555555557
482,location_3:Smart_Watch_Q9_feat4,17.305555555555557
481,location_3:Smart_Watch_Q2_feat1,17.305555555555557
366,Relationship_2:Smart_Watch_Q8_feat2,17.305555555555557
365,Relationship_2:Smart_Watch_Q3_feat1,17.305555555555557
260,Relationship_1:Smart_Watch_Q9_feat2,17.305555555555557
367,Relationship_3:Smart_Watch_Q2_feat1,17.305555555555557
479,location_1:Smart_Watch_Q8_feat5,17.305555555555557
397,Relationship_2:Smart_Watch_Q10_feat4,17.305555555555557
480,location_2:Smart_Watch_Q13_feat1,17.305555555555557
175,Relationship_1:Smart_Watch_Q5_feat2,14.833333333333336
489,location_3:Smart_Watch_Q6_feat2,14.833333333333336
114,location_2:Smart_Watch_Q2_feat1,14.833333333333336
115,location_2:Smart_Watch_Q5_feat2,14.833333333333336
116,location_2:Smart_Watch_Q6_feat4,14.833333333333336
117,location_2:Smart_Watch_Q7_feat1,14.833333333333336
118,location_2:Smart_Watch_Q9_feat2,14.833333333333336
486,location_1:Smart_Watch_Q10_feat4,14.833333333333336
487,location_1:Smart_Watch_Q13_feat1,14.833333333333336
488,location_2:Smart_Watch_Q12_feat3,14.833333333333336
490,location_3:Smart_Watch_Q8_feat3,14.833333333333336
261,Relationship_1:Smart_Watch_Q12_feat3,14.833333333333336
491,Relationship_3:Smart_Watch_Q9_feat2,14.833333333333336
16,location_1:Smart_Watch_Q2_feat5,14.833333333333336
17,location_1:Smart_Watch_Q4_feat3,14.833333333333336
177,Relationship_1:Smart_Watch_Q6_feat3,14.833333333333336
368,Relationship_2:Smart_Watch_Q1_feat5,14.833333333333336
176,Relationship_1:Smart_Watch_Q6_feat2,14.833333333333336
262,Relationship_1:Smart_Watch_Q13_feat2,14.833333333333336
15,location_1:Smart_Watch_Q1_feat1,14.833333333333336
492,location_2:Q10_feat4,14.477197620621283
493,location_3:Q6_feat4,12.490870786516858
494,location_1:Smart_Watch_Q12_feat5,12.36111111111111
178,Relationship_1:Smart_Watch_Q2_feat3,12.36111111111111
119,location_2:Smart_Watch_Q4_feat3,12.36111111111111
369,Relationship_2:Smart_Watch_Q2_feat1,12.36111111111111
370,Relationship_2:Smart_Watch_Q6_feat4,12.36111111111111
18,location_1:Smart_Watch_Q1_feat5,12.36111111111111
495,location_2:Smart_Watch_Q13_feat2,12.36111111111111
180,Relationship_1:Smart_Watch_Q7_feat2,12.36111111111111
179,Relationship_1:Smart_Watch_Q3_feat4,12.36111111111111
263,Relationship_1:Smart_Watch_Q8_feat3,12.36111111111111
503,Relationship_3:Smart_Watch_Q9_feat1,12.36111111111111
499,location_3:Smart_Watch_Q9_feat2,12.36111111111111
496,location_3:Smart_Watch_Q3_feat4,12.36111111111111
497,location_3:Smart_Watch_Q7_feat1,12.36111111111111
502,Relationship_3:Smart_Watch_Q7_feat1,12.36111111111111
498,location_3:Smart_Watch_Q7_feat3,12.36111111111111
500,location_3:Smart_Watch_Q13_feat2,12.36111111111111
501,Relationship_3:Smart_Watch_Q6_feat4,12.36111111111111
504,location_3:Q13_feat4,11.50777744036171
264,Relationship_2:Q6_feat3,10.112359550561797
398,Relationship_2:Smart_Watch_Q13_feat1,9.88888888888889
371,Relationship_2:Smart_Watch_Q9_feat4,9.88888888888889
20,location_1:Smart_Watch_Q6_feat2,9.88888888888889
