,features,Importance
0,location_1:Desktop_Computer_Q4_feat3,162.72340425531917
1,location_1:Desktop_Computer_Q10_feat3,162.72340425531917
2,location_1:Desktop_Computer_Q5_feat1,157.63829787234044
3,location_1:Desktop_Computer_Q1_feat4,147.468085106383
4,location_1:Desktop_Computer_Q3_feat3,137.29787234042556
5,location_1:Desktop_Computer_Q3_feat2,111.87234042553196
6,location_1:Desktop_Computer_Q2_feat1,76.27659574468086
7,location_1:Desktop_Computer_Q2_feat3,45.765957446808514
8,location_1:Q11_feat2,40.7165156461466
9,location_1:Q11_feat1,35.65328941511618
10,location_1:Q12_feat5,26.704959038373435
11,location_1:Desktop_Computer_Q5_feat6,
12,location_1:Desktop_Computer_Q9_feat3,147.468085106383
13,location_1:Desktop_Computer_Q10_feat6,
14,location_1:Desktop_Computer_Q11_feat2,137.29787234042556
15,location_1:Desktop_Computer_Q8_feat5,111.87234042553196
16,location_1:Desktop_Computer_Q7_feat5,96.61702127659575
17,location_1:Desktop_Computer_Q11_feat1,96.61702127659575
18,location_1:Desktop_Computer_Q13_feat1,91.53191489361703
19,location_1:Desktop_Computer_Q6_feat1,86.4468085106383
20,location_1:Desktop_Computer_Q12_feat5,76.27659574468086
21,location_1:Desktop_Computer_Q13_feat4,76.27659574468086
22,location_1:Desktop_Computer_Q10_feat2,71.19148936170214
23,location_1:Desktop_Computer_Q9_feat2,66.1063829787234
24,location_1:Desktop_Computer_Q12_feat3,66.1063829787234
25,location_1:Desktop_Computer_Q2_feat5,61.02127659574469
26,location_1:Desktop_Computer_Q9_feat1,61.02127659574469
27,location_1:Desktop_Computer_Q1_feat2,55.93617021276598
28,location_1:Desktop_Computer_Q3_feat1,55.93617021276598
29,location_1:Desktop_Computer_Q8_feat2,55.93617021276598
30,location_1:Desktop_Computer_Q13_feat2,55.93617021276598
31,location_1:Q4_feat3,52.923266160463626
32,location_1:Desktop_Computer_Q7_feat3,50.851063829787236
33,location_1:Desktop_Computer_Q12_feat1,50.851063829787236
34,location_1:Desktop_Computer_Q6_feat3,45.765957446808514
35,location_1:Q5_feat1,43.70164947666951
36,location_1:Q10_feat3,43.42759938401113
37,location_1:Q1_feat4,38.58651592035373
38,location_1:Q3_feat3,38.57177403230821
39,location_1:Q9_feat1,38.13176186958792
40,location_1:Q8_feat5,37.88808866731951
41,location_1:Q3_feat2,37.25893464819958
42,location_1:Desktop_Computer_Q6_feat4,35.59574468085107
43,location_1:Q9_feat3,29.830908929048345
44,location_1:Q7_feat5,26.984420902697412
45,location_1:Desktop_Computer_Q6_feat2,25.425531914893618
46,location_1:Desktop_Computer_Q7_feat1,25.425531914893618
47,location_1:Desktop_Computer_Q7_feat2,25.425531914893618
48,location_1:Q2_feat1,24.84964934666706
49,location_1:Q1_feat2,22.271254339891392
50,location_1:Desktop_Computer_Q5_feat2,20.340425531914896
51,location_1:Desktop_Computer_Q8_feat3,20.340425531914896
52,location_1:Desktop_Computer_Q10_feat4,20.340425531914896
53,location_1:Desktop_Computer_Q11_feat3,20.340425531914896
54,location_1:Desktop_Computer_Q11_feat5,20.340425531914896
55,location_1:Desktop_Computer_Q12_feat2,20.340425531914896
56,location_1:Q10_feat2,18.373364194783232
57,location_1:Q13_feat4,17.81042555008294
58,location_1:Q13_feat1,17.38738538235556
59,location_1:Q1_feat3,16.894736172756296
60,location_1:Q6_feat1,16.36083841114043
61,location_1:Desktop_Computer_Q1_feat3,15.255319148936172
62,location_1:Desktop_Computer_Q1_feat5,15.255319148936172
63,location_1:Q9_feat2,13.636706578830234
64,location_1:Q2_feat3,13.492210451348706
65,location_1:Q12_feat1,10.758687201400637
66,location_1:Desktop_Computer_Q1_feat1,10.170212765957448
67,location_1:Desktop_Computer_Q1_feat7,10.170212765957448
68,location_1:Desktop_Computer_Q3_feat4,10.170212765957448
69,location_1:Desktop_Computer_Q4_feat1,10.170212765957448
70,location_1:Desktop_Computer_Q5_feat3,10.170212765957448
71,location_1:Desktop_Computer_Q5_feat4,10.170212765957448
72,location_1:Desktop_Computer_Q8_feat1,10.170212765957448
73,location_1:Desktop_Computer_Q9_feat6,10.170212765957448
74,location_1:Desktop_Computer_Q10_feat1,10.170212765957448
75,location_1:Q6_feat4,9.98373245496899
76,location_1:Q13_feat2,8.942983471319623
77,location_1:Q7_feat1,8.19222452279143
78,location_1:Q6_feat3,7.755853289415118
79,location_1:Q8_feat2,7.672994747618624
80,location_2:Q4_feat1,6.610754028309447
81,location_2:Q11_feat2,6.209799609396036
82,location_2:Q10_feat3,6.203942748053849
83,location_1:Q12_feat2,5.762537073566138
84,location_2:Q1_feat2,5.706282085521826
85,location_1:Q7_feat3,5.638855236318455
86,location_1:Q3_feat1,5.360776284162735
87,location_1:Q1_feat5,5.227939503645014
88,location_1:Desktop_Computer_Q2_feat2,5.085106382978724
89,location_1:Desktop_Computer_Q3_feat6,5.085106382978724
90,location_1:Desktop_Computer_Q9_feat4,5.085106382978724
91,location_1:Desktop_Computer_Q10_feat7,5.085106382978724
92,location_2:Q12_feat5,5.079649488355979
93,location_1:Q12_feat3,5.020226119469421
94,location_2:Q3_feat3,5.002918696188527
95,location_2:Q9_feat3,5.001638030802102
96,location_2:Q5_feat1,4.494002188398332
97,location_2:Q8_feat5,3.937824325216887
98,location_2:Q2_feat5,3.7490014540490817
99,location_2:Q6_feat1,3.6247440576871726
100,location_2:Q13_feat2,3.6247440576871726
101,location_2:Q11_feat1,3.312181087753062
102,location_2:Q12_feat1,3.290800784954269
103,location_2:Q7_feat5,3.1258078874744064
104,location_2:Q13_feat4,3.1019713740269244
105,location_2:Q10_feat2,2.962254072821152
106,location_2:Q2_feat1,2.8002397421219456
107,location_2:Q13_feat1,2.8002397421219456
108,location_1:Q9_feat6,2.5852844298050393
109,location_2:Q3_feat2,2.5780198123140865
110,location_1:Q5_feat3,2.557664915872875
111,location_1:Q8_feat1,2.495623015519749
112,location_2:Q9_feat2,2.4812801132551523
113,location_2:Q8_feat2,2.4404787642823527
114,location_1:Q2_feat5,2.195167300428584
115,location_2:Q7_feat2,2.0838719249829367
116,location_2:Q10_feat1,2.083152107099406
117,location_1:Q1_feat7,2.022060001780468
118,location_1:Q1_feat1,1.98309991011507
119,location_1:Q6_feat2,1.98309991011507
120,location_2:Q9_feat6,1.9665271966527198
121,location_1:Q4_feat1,1.8698844266630374
122,location_2:Q3_feat1,1.8652205307773724
123,location_2:Q7_feat3,1.7599165723442407
124,location_1:Q11_feat3,1.5607159030651152
125,location_1:Q2_feat2,1.3401940710406837
126,location_1:Q7_feat2,1.2534527270327276
127,location_1:Q3_feat6,1.2478115077598746
128,location_1:Q5_feat4,1.2478115077598746
129,location_2:Q11_feat5,1.179916317991632
130,location_2:Q8_feat3,1.1609654589156948
131,location_2:Q9_feat1,1.14942674604272
132,location_1:Q10_feat1,1.068726074957714
133,location_2:Q1_feat3,1.0027945610565143
134,location_2:Q12_feat3,1.0027945610565143
135,location_2:Q1_feat7,0.9832635983263599
136,location_2:Q3_feat6,0.9832635983263599
137,location_2:Q6_feat3,0.9041930027597258
138,location_2:Q1_feat1,0.7828688255355982
139,location_2:Q4_feat3,0.6669252584858388
140,location_2:Q7_feat1,0.6669252584858388
141,location_2:Q6_feat2,0.6027953351731504
142,location_2:Q10_feat7,0.589958158995816
143,location_2:Q2_feat2,0.5733404552063861
144,location_2:Q6_feat4,0.5733404552063861
145,location_1:Q8_feat3,0.47144090200070454
146,location_1:Q3_feat4,0.4392019545584934
147,location_2:Q10_feat6,0.4318525772278109
148,location_2:Q5_feat6,0.39330543933054396
149,location_2:Q5_feat2,0.3013976675865752
150,location_2:Q9_feat4,0.3013976675865752
151,location_2:Q12_feat2,0.2704086174663938
152,location_1:Q10_feat4,0.25435260902188717
153,location_1:Q11_feat5,0.2196009772792467
154,location_1:Q5_feat6,0.2137452149915428
155,location_1:Q10_feat7,0.2137452149915428
156,location_1:Q10_feat6,0.18565338239512547
157,location_2:Q11_feat3,0.18565338239512547
158,location_2:Q1_feat5,0.16974786591095675
159,location_2:Q3_feat4,0.13892993857384495
160,location_2:Q2_feat3,0.12534496572598589
161,location_2:Q8_feat1,0.10498234368972371
162,location_1:Q9_feat4,0.1044922909963415
163,location_2:Q5_feat3,0.09013620582213122
164,location_1:Q5_feat2,0.047029797408146896
165,location_2:Q5_feat4,0.023514898704073448
166,location_2:Q10_feat4,0.018228853011871556
167,location_2:Q1_feat4,0.0007121873052612857
168,location_2:Desktop_Computer_Q1_feat7,
169,location_3:Desktop_Computer_Q1_feat2,25.425531914893618
170,location_2:Desktop_Computer_Q3_feat1,15.255319148936172
171,location_2:Desktop_Computer_Q3_feat3,15.255319148936172
172,location_2:Desktop_Computer_Q3_feat6,
