,features,Importance
0,location_1:Desktop_Computer_Q4_feat3,162.72340425531917
1,location_1:Desktop_Computer_Q10_feat3,162.72340425531917
2,location_1:Desktop_Computer_Q5_feat1,157.63829787234044
3,location_1:Desktop_Computer_Q1_feat4,147.468085106383
12,location_1:Desktop_Computer_Q9_feat3,147.468085106383
4,location_1:Desktop_Computer_Q3_feat3,137.29787234042556
14,location_1:Desktop_Computer_Q11_feat2,137.29787234042556
5,location_1:Desktop_Computer_Q3_feat2,111.87234042553196
15,location_1:Desktop_Computer_Q8_feat5,111.87234042553196
17,location_1:Desktop_Computer_Q11_feat1,96.61702127659575
16,location_1:Desktop_Computer_Q7_feat5,96.61702127659575
18,location_1:Desktop_Computer_Q13_feat1,91.53191489361703
19,location_1:Desktop_Computer_Q6_feat1,86.4468085106383
21,location_1:Desktop_Computer_Q13_feat4,76.27659574468086
572,Relationship_3:Desktop_Computer_Q10_feat3,76.27659574468086
6,location_1:Desktop_Computer_Q2_feat1,76.27659574468086
20,location_1:Desktop_Computer_Q12_feat5,76.27659574468086
575,Relationship_3:Desktop_Computer_Q11_feat2,76.27659574468086
576,Relationship_3:Desktop_Computer_Q9_feat3,71.19148936170214
485,Relationship_3:Desktop_Computer_Q5_feat1,71.19148936170214
22,location_1:Desktop_Computer_Q10_feat2,71.19148936170214
24,location_1:Desktop_Computer_Q12_feat3,66.1063829787234
486,Relationship_3:Desktop_Computer_Q4_feat3,66.1063829787234
361,Relationship_1:Desktop_Computer_Q4_feat3,66.1063829787234
23,location_1:Desktop_Computer_Q9_feat2,66.1063829787234
316,Relationship_1:Desktop_Computer_Q10_feat3,66.1063829787234
362,Relationship_1:Desktop_Computer_Q5_feat1,66.1063829787234
503,Relationship_2:Desktop_Computer_Q10_feat3,61.02127659574469
577,Relationship_3:Desktop_Computer_Q1_feat4,61.02127659574469
372,Relationship_1:Desktop_Computer_Q9_feat3,61.02127659574469
364,Relationship_1:Desktop_Computer_Q3_feat3,61.02127659574469
363,Relationship_1:Desktop_Computer_Q1_feat4,61.02127659574469
26,location_1:Desktop_Computer_Q9_feat1,61.02127659574469
25,location_1:Desktop_Computer_Q2_feat5,61.02127659574469
578,Relationship_3:Desktop_Computer_Q3_feat3,61.02127659574469
373,Relationship_1:Desktop_Computer_Q11_feat2,55.93617021276598
29,location_1:Desktop_Computer_Q8_feat2,55.93617021276598
530,Relationship_2:Desktop_Computer_Q11_feat1,55.93617021276598
27,location_1:Desktop_Computer_Q1_feat2,55.93617021276598
28,location_1:Desktop_Computer_Q3_feat1,55.93617021276598
579,Relationship_3:Desktop_Computer_Q3_feat2,55.93617021276598
30,location_1:Desktop_Computer_Q13_feat2,55.93617021276598
489,Relationship_2:Desktop_Computer_Q5_feat1,55.93617021276598
31,location_1:Q4_feat3,52.923266160463626
32,location_1:Desktop_Computer_Q7_feat3,50.851063829787236
365,Relationship_1:Desktop_Computer_Q3_feat2,50.851063829787236
491,Relationship_2:Desktop_Computer_Q9_feat3,50.851063829787236
580,Relationship_3:Desktop_Computer_Q8_feat5,50.851063829787236
33,location_1:Desktop_Computer_Q12_feat1,50.851063829787236
487,Relationship_2:Desktop_Computer_Q3_feat3,45.765957446808514
492,Relationship_2:Desktop_Computer_Q1_feat4,45.765957446808514
493,Relationship_2:Desktop_Computer_Q6_feat1,45.765957446808514
34,location_1:Desktop_Computer_Q6_feat3,45.765957446808514
581,Relationship_3:Desktop_Computer_Q2_feat1,45.765957446808514
376,Relationship_1:Desktop_Computer_Q13_feat1,45.765957446808514
375,Relationship_1:Desktop_Computer_Q7_feat5,45.765957446808514
374,Relationship_1:Desktop_Computer_Q6_feat1,45.765957446808514
366,Relationship_1:Desktop_Computer_Q1_feat2,45.765957446808514
7,location_1:Desktop_Computer_Q2_feat3,45.765957446808514
35,location_1:Q5_feat1,43.70164947666951
36,location_1:Q10_feat3,43.42759938401113
8,location_1:Q11_feat2,40.7165156461466
582,Relationship_3:Desktop_Computer_Q11_feat1,40.68085106382979
586,Relationship_3:Desktop_Computer_Q12_feat5,40.68085106382979
377,Relationship_1:Desktop_Computer_Q8_feat5,40.68085106382979
531,Relationship_2:Desktop_Computer_Q11_feat2,40.68085106382979
494,Relationship_2:Desktop_Computer_Q4_feat3,40.68085106382979
495,Relationship_2:Desktop_Computer_Q8_feat2,40.68085106382979
587,Relationship_3:Desktop_Computer_Q13_feat1,40.68085106382979
37,location_1:Q1_feat4,38.58651592035373
38,location_1:Q3_feat3,38.57177403230821
39,location_1:Q9_feat1,38.13176186958792
40,location_1:Q8_feat5,37.88808866731951
41,location_1:Q3_feat2,37.25893464819958
9,location_1:Q11_feat1,35.65328941511618
378,Relationship_1:Desktop_Computer_Q12_feat1,35.59574468085107
583,Relationship_3:Desktop_Computer_Q7_feat5,35.59574468085107
584,Relationship_3:Desktop_Computer_Q9_feat1,35.59574468085107
588,Relationship_3:Desktop_Computer_Q9_feat2,35.59574468085107
380,Relationship_1:Desktop_Computer_Q13_feat2,35.59574468085107
379,Relationship_1:Desktop_Computer_Q12_feat3,35.59574468085107
42,location_1:Desktop_Computer_Q6_feat4,35.59574468085107
589,Relationship_3:Desktop_Computer_Q10_feat2,35.59574468085107
504,Relationship_2:Desktop_Computer_Q3_feat2,35.59574468085107
590,Relationship_3:Desktop_Computer_Q13_feat4,35.59574468085107
532,Relationship_2:Desktop_Computer_Q12_feat5,30.510638297872344
367,Relationship_1:Desktop_Computer_Q2_feat1,30.510638297872344
381,Relationship_1:Desktop_Computer_Q9_feat2,30.510638297872344
382,Relationship_1:Desktop_Computer_Q10_feat2,30.510638297872344
383,Relationship_1:Desktop_Computer_Q11_feat1,30.510638297872344
591,Relationship_3:Desktop_Computer_Q3_feat1,30.510638297872344
594,Relationship_3:Desktop_Computer_Q7_feat3,30.510638297872344
592,Relationship_3:Desktop_Computer_Q6_feat1,30.510638297872344
534,Relationship_2:Desktop_Computer_Q13_feat4,30.510638297872344
533,Relationship_2:Desktop_Computer_Q13_feat1,30.510638297872344
593,Relationship_3:Desktop_Computer_Q6_feat4,30.510638297872344
497,Relationship_2:Desktop_Computer_Q4_feat1,30.510638297872344
496,Relationship_2:Desktop_Computer_Q2_feat3,30.510638297872344
506,Relationship_2:Desktop_Computer_Q6_feat3,30.510638297872344
505,Relationship_2:Desktop_Computer_Q3_feat1,30.510638297872344
43,location_1:Q9_feat3,29.830908929048345
44,location_1:Q7_feat5,26.984420902697412
10,location_1:Q12_feat5,26.704959038373435
297,location_3:Desktop_Computer_Q6_feat1,25.425531914893618
368,Relationship_1:Desktop_Computer_Q2_feat5,25.425531914893618
597,Relationship_3:Desktop_Computer_Q12_feat1,25.425531914893618
598,Relationship_3:Desktop_Computer_Q13_feat2,25.425531914893618
509,Relationship_2:Desktop_Computer_Q9_feat2,25.425531914893618
508,Relationship_2:Desktop_Computer_Q2_feat1,25.425531914893618
507,Relationship_2:Desktop_Computer_Q1_feat2,25.425531914893618
384,Relationship_1:Desktop_Computer_Q8_feat2,25.425531914893618
386,Relationship_1:Desktop_Computer_Q13_feat4,25.425531914893618
385,Relationship_1:Desktop_Computer_Q9_feat1,25.425531914893618
299,location_3:Desktop_Computer_Q8_feat2,25.425531914893618
295,location_3:Desktop_Computer_Q4_feat1,25.425531914893618
498,Relationship_2:Desktop_Computer_Q7_feat1,25.425531914893618
499,Relationship_2:Desktop_Computer_Q7_feat3,25.425531914893618
500,Relationship_2:Desktop_Computer_Q7_feat5,25.425531914893618
46,location_1:Desktop_Computer_Q7_feat1,25.425531914893618
45,location_1:Desktop_Computer_Q6_feat2,25.425531914893618
596,Relationship_3:Desktop_Computer_Q8_feat2,25.425531914893618
501,Relationship_2:Desktop_Computer_Q8_feat5,25.425531914893618
510,Relationship_2:Desktop_Computer_Q10_feat2,25.425531914893618
595,Relationship_3:Desktop_Computer_Q2_feat5,25.425531914893618
169,location_3:Desktop_Computer_Q1_feat2,25.425531914893618
535,Relationship_2:Desktop_Computer_Q12_feat3,25.425531914893618
303,location_3:Desktop_Computer_Q10_feat3,25.425531914893618
47,location_1:Desktop_Computer_Q7_feat2,25.425531914893618
48,location_1:Q2_feat1,24.84964934666706
49,location_1:Q1_feat2,22.271254339891392
173,location_2:Desktop_Computer_Q5_feat1,20.340425531914896
387,Relationship_1:Desktop_Computer_Q8_feat3,20.340425531914896
536,Relationship_2:Desktop_Computer_Q10_feat4,20.340425531914896
537,Relationship_2:Desktop_Computer_Q13_feat2,20.340425531914896
305,location_3:Desktop_Computer_Q9_feat3,20.340425531914896
511,Relationship_2:Desktop_Computer_Q9_feat1,20.340425531914896
307,location_3:Desktop_Computer_Q11_feat1,20.340425531914896
308,location_3:Desktop_Computer_Q11_feat2,20.340425531914896
