,features,Importance
95,location_1:Smart_Speaker_Q10_feat2,181.22
101,location_1:Smart_Speaker_Q13_feat4,176.8
0,location_1:Smart_Speaker_Q1_feat1,163.54
102,location_1:Smart_Speaker_Q12_feat5,163.54
103,location_1:Smart_Speaker_Q9_feat4,159.12
2,location_1:Smart_Speaker_Q3_feat4,154.70000000000002
104,location_1:Smart_Speaker_Q11_feat3,154.70000000000002
105,location_1:Smart_Speaker_Q7_feat5,137.01999999999998
3,location_1:Smart_Speaker_Q2_feat5,132.6
4,location_1:Smart_Speaker_Q5_feat3,128.18
5,location_1:Smart_Speaker_Q6_feat2,123.75999999999999
6,location_1:Smart_Speaker_Q6_feat1,106.07999999999998
7,location_1:Smart_Speaker_Q4_feat3,97.24000000000001
8,location_1:Smart_Speaker_Q4_feat1,88.4
106,location_1:Smart_Speaker_Q8_feat2,83.98000000000002
372,Relationship_1:Smart_Speaker_Q10_feat2,83.98000000000002
9,location_1:Q10_feat2,79.76987108341159
378,Relationship_1:Smart_Speaker_Q13_feat4,79.56
376,Relationship_1:Smart_Speaker_Q11_feat3,79.56
10,location_1:Smart_Speaker_Q5_feat4,79.56
11,Relationship_1:Smart_Speaker_Q1_feat1,79.56
12,location_1:Q13_feat4,76.13121475809258
379,Relationship_1:Smart_Speaker_Q9_feat4,75.14
13,location_1:Smart_Speaker_Q5_feat2,75.14
14,Relationship_1:Smart_Speaker_Q3_feat4,75.14
380,Relationship_1:Smart_Speaker_Q12_feat5,70.72000000000001
556,Relationship_3:Smart_Speaker_Q13_feat4,70.72000000000001
15,Relationship_3:Smart_Speaker_Q10_feat2,70.72000000000001
107,location_1:Smart_Speaker_Q8_feat1,70.72000000000001
108,location_1:Smart_Speaker_Q8_feat5,70.72000000000001
16,Relationship_1:Smart_Speaker_Q2_feat5,66.3
17,location_1:Q1_feat1,64.89580693815986
18,location_1:Q12_feat5,64.16495649147232
19,location_1:Q11_feat3,62.9462443438914
109,location_1:Smart_Speaker_Q10_feat4,61.879999999999995
381,Relationship_1:Smart_Speaker_Q7_feat5,61.879999999999995
557,Relationship_3:Smart_Speaker_Q12_feat5,61.879999999999995
20,Relationship_1:Smart_Speaker_Q5_feat3,57.46000000000001
560,Relationship_3:Smart_Speaker_Q11_feat3,57.46000000000001
559,Relationship_3:Smart_Speaker_Q3_feat4,57.46000000000001
558,Relationship_3:Smart_Speaker_Q1_feat1,57.46000000000001
345,Relationship_1:Smart_Speaker_Q6_feat2,57.46000000000001
21,location_1:Q9_feat4,55.030591855203625
545,Relationship_2:Smart_Speaker_Q10_feat2,53.03999999999999
525,Relationship_2:Smart_Speaker_Q9_feat4,53.03999999999999
