,features,Importance
386,Relationship_3:Q3_feat6,0.987706958007015
355,Relationship_1:Q5_feat4,0.987706958007015
301,location_3:Q5_feat4,0.987706958007015
0,Q9_feat2,0.9874189266369073
356,Relationship_1:Q7_feat5,0.9838692034628688
303,Relationship_1:Q9_feat6,0.9826157010981472
302,location_3:Q5_feat2,0.9826157010981472
441,Relationship_3:Q2_feat2,0.9826157010981472
442,Relationship_3:Q9_feat4,0.9826157010981472
357,Relationship_1:Q3_feat4,0.9787095114058725
191,location_2:Q1_feat4,0.9787095114058725
443,Relationship_3:Q10_feat4,0.9787095114058725
444,Relationship_2:Q1_feat3,0.9754168339260907
445,Relationship_3:Q10_feat1,0.9754168339260907
1,Q2_feat2,0.9698942754694988
358,Relationship_1:Q11_feat2,0.9691597159712446
387,Relationship_2:Q10_feat3,0.9543783613955126
388,Relationship_2:Q10_feat4,0.9396095683403732
446,Relationship_3:Q12_feat1,0.9252050588449714
447,Relationship_3:Q11_feat3,0.9187110114348003
2,Q1_feat7,0.9187110114348003
3,Q1_feat5,0.9176302887252845
389,Relationship_2:Q11_feat1,0.9151881404669331
448,Relationship_2:Q5_feat1,0.9150492236254482
390,Relationship_2:Q12_feat1,0.8956003289460767
4,Q3_feat4,0.8956003289460767
192,location_2:Q10_feat4,0.8926005920800248
449,Relationship_1:Q1_feat2,0.8873133015837427
359,Relationship_1:Q10_feat3,0.8873133015837427
451,Relationship_2:Q3_feat6,0.878125676296795
450,Relationship_1:Q1_feat7,0.878125676296795
193,location_2:Q5_feat4,0.878125676296795
452,Relationship_2:Q5_feat4,0.878125676296795
360,Relationship_1:Q10_feat6,0.878125676296795
453,Relationship_2:Q5_feat3,0.8756661467327693
454,Relationship_1:Q9_feat3,0.8709968870242182
455,Relationship_1:Q1_feat5,0.8596899762654284
5,Q8_feat2,0.8526784986099072
457,Relationship_3:Q13_feat2,0.848573375831186
456,Relationship_1:Q7_feat1,0.848573375831186
391,Relationship_2:Q7_feat1,0.842467838249734
458,Relationship_1:Q8_feat2,0.838263586591889
361,Relationship_1:Q10_feat7,0.829613311870692
6,location_1:Q5_feat2,0.8283146879135838
459,location_3:Q2_feat2,0.8283146879135838
460,location_3:Q11_feat3,0.8283146879135838
461,Relationship_1:Q1_feat3,0.8283146879135838
462,Relationship_3:Q1_feat1,0.8204422770488733
362,Relationship_1:Q12_feat5,0.807751367194818
463,Relationship_2:Q3_feat3,0.8068870511105588
464,Relationship_1:Q9_feat2,0.8067183928380302
7,Q6_feat2,0.8025959544665365
392,Relationship_2:Q11_feat3,0.8025615335787384
465,location_3:Q5_feat3,0.8025615335787384
8,Q13_feat1,0.7977443236493171
9,Q6_feat3,0.7966365615517803
10,Q8_feat1,0.7924784646724703
466,Relationship_1:Q9_feat4,0.790545348262714
393,Relationship_2:Q9_feat3,0.7871382976666748
394,Relationship_2:Q12_feat5,0.7700226272547288
467,Relationship_3:Q7_feat3,0.7700226272547288
194,location_2:Q5_feat3,0.7640040695099163
395,Relationship_2:Q11_feat5,0.7640040695099163
11,Q6_feat1,0.761431261372943
396,Relationship_2:Q8_feat3,0.7590783011857019
363,Relationship_1:Q13_feat2,0.7558647115826278
468,Relationship_2:Q2_feat5,0.7558647115826278
469,Relationship_3:Q8_feat2,0.7543331532711189
12,Q6_feat4,0.7543331532711189
13,location_1:Q9_feat4,0.746503892504593
195,location_2:Q8_feat1,0.7459306227585921
470,Relationship_1:Q2_feat1,0.7409401913922056
472,Relationship_2,0.7306778337382871
471,Relationship_1,0.7306778337382871
397,Relationship_2:Q11_feat2,0.7293397976894598
473,Relationship_3:Q4_feat1,0.7233684713684334
364,Relationship_1:Q12_feat3,0.723308224731778
196,location_2:Q2_feat3,0.723308224731778
474,Relationship_2:Q2_feat2,0.7093471238493281
475,Relationship_3:Q3_feat4,0.7093471238493281
197,location_2:Q3_feat4,0.7093471238493281
477,Relationship_3:Q6_feat1,0.700848710815112
476,Relationship_3:Q3_feat1,0.700848710815112
14,Q7_feat1,0.700749261470035
15,Q1_feat2,0.6911357289474105
398,Relationship_2:Q8_feat2,0.6849523548952088
16,Q5_feat2,0.6803359844659915
198,location_2:Q1_feat5,0.6803359844659915
478,Relationship_2:Q1_feat4,0.666908279407071
365,Relationship_1:Q12_feat2,0.666908279407071
479,Relationship_1:Q2_feat2,0.6665591636659962
199,location_2:Q11_feat3,0.6665591636659962
17,Q5_feat6,0.6665591636659962
18,location_1:Q10_feat6,0.6665591636659962
366,Relationship_1:Q11_feat5,0.6665591636659962
399,Relationship_2:Q9_feat6,0.6665591636659962
367,Relationship_1:Q11_feat1,0.6590672655316901
480,Relationship_3:Q2_feat5,0.6467950830782794
20,location_1:Q10_feat7,0.6438476466285906
19,location_1:Q5_feat6,0.6438476466285906
481,Relationship_2:Q1_feat7,0.6438476466285906
482,Relationship_1:Q6_feat1,0.642396307764794
21,location_1:Q11_feat5,0.6393441219698333
22,Q5_feat1,0.6344773600190317
483,Relationship_3:Q13_feat1,0.631723409590913
484,Relationship_1:Q5_feat1,0.6271657564396291
400,Relationship_2:Q8_feat5,0.6259136307368938
485,Relationship_3:Q12_feat5,0.6259136307368938
23,Q11_feat2,0.6161294680424582
24,location_1:Q10_feat4,0.6140268104438182
486,Relationship_1:Q5_feat3,0.6140268104438182
487,Relationship_3:Q6_feat4,0.6140268104438182
25,Q12_feat1,0.6065678416520144
488,Relationship_2:Q2_feat3,0.6030577999167768
489,Relationship_2:Q3_feat4,0.6030577999167768
200,location_2:Q12_feat2,0.6030577999167768
490,Relationship_3:Q7_feat2,0.5981073720883647
491,Relationship_1:Q6_feat3,0.5958243857996204
492,Relationship_3:Q2_feat3,0.5869152236922573
26,Q5_feat4,0.5869152236922573
494,Relationship_2:Q6_feat3,0.5858278949513742
493,Relationship_2:Q2_feat1,0.5858278949513742
495,Relationship_1:Q5_feat2,0.5830075326365991
496,Relationship_3:Q10_feat6,0.5830075326365991
202,location_2:Q9_feat4,0.5830075326365991
201,location_2:Q5_feat2,0.5830075326365991
27,Q13_feat4,0.5813560847673955
28,Q1_feat3,0.5755544329907618
29,Q9_feat3,0.5720619647988165
497,Relationship_1:Q8_feat5,0.5691124241634236
30,Q11_feat3,0.5665412375411224
498,Relationship_3:Q1_feat2,0.5639877467611984
31,Q10_feat4,0.5630440433654722
32,Q12_feat5,0.558755777204423
33,Q12_feat2,0.5503294568954122
499,location_3:Q12_feat2,0.5497111140398884
500,Relationship_3:Q8_feat3,0.5497111140398884
501,Relationship_2:Q1_feat1,0.5426103439162834
34,Q3_feat6,0.5422928296362555
502,Relationship_3:Q1_feat7,0.5305670198180712
203,location_2:Q5_feat6,0.5305670198180712
35,Q12_feat3,0.528327897928957
36,Q13_feat2,0.527216701888013
503,Relationship_2:Q6_feat1,0.5185432257029747
504,Relationship_3:Q3_feat3,0.51694034412477
204,location_2:Q10_feat6,0.5110813142002584
37,location_1:Q3_feat4,0.507507889592082
505,Relationship_1:Q6_feat2,0.5006004194603575
368,Relationship_1:Q12_feat1,0.4974544674813163
506,Relationship_1:Q3_feat2,0.49489006579537287
38,location_1:Q8_feat3,0.4923250320803241
401,Relationship_2:Q7_feat5,0.49180907332005985
39,Q2_feat1,0.489111139498424
507,Relationship_1:Q8_feat1,0.48716004894623877
40,Q3_feat1,0.48129061948759855
508,Relationship_3:Q6_feat3,0.47569989507852717
509,Relationship_3:Q7_feat1,0.47569989507852717
510,Relationship_3,0.4652622121641846
511,Relationship_1:Q7_feat2,0.4625650113505704
512,Relationship_2:Q3_feat1,0.4620942350340106
369,Relationship_1:Q10_feat2,0.4620942350340106
513,Relationship_1:Q7_feat3,0.4554876449646992
206,location_2:Q6_feat4,0.44893455347423705
205,location_2:Q2_feat2,0.44893455347423705
207,location_2:Q10_feat7,0.44243529882991917
402,Relationship_2:Q10_feat7,0.44243529882991917
517,Relationship_3:Q5_feat6,0.44243529882991917
516,Relationship_2:Q5_feat6,0.44243529882991917
515,location_3:Q5_feat6,0.44243529882991917
514,location_3:Q1_feat7,0.44243529882991917
518,location_3:Q1_feat4,0.43751346229797616
208,location_2:Q6_feat2,0.43751346229797616
403,Relationship_2:Q8_feat1,0.43751346229797616
519,Relationship_1:Q6_feat4,0.42982554312230226
370,Relationship_1:Q11_feat3,0.42982554312230226
520,Relationship_1:Q5_feat6,0.429599575631295
41,Q9_feat4,0.42882101674211726
521,Relationship_3:Q12_feat3,0.4256879979225334
522,Relationship_3:Q5_feat2,0.42326370614274855
42,Q9_feat6,0.4141256601348692
209,location_2:Q4_feat3,0.4141256601348692
210,location_2:Q7_feat1,0.4141256601348692
43,Q10_feat2,0.4066564081944063
523,Relationship_3:Q9_feat1,0.4061839121032266
44,Q10_feat3,0.40315358244397614
524,Relationship_1:Q3_feat1,0.39512219223651857
404,Relationship_2:Q6_feat4,0.3950586014293489
525,Relationship_3:Q1_feat5,0.3944492582617348
526,Relationship_2:Q6_feat2,0.39285143504741016
527,Relationship_1:Q1_feat1,0.3888249555119371
528,Relationship_2:Q1_feat5,0.3888249555119371
45,Q2_feat3,0.387370954078213
405,Relationship_2:Q9_feat1,0.38237327438359536
211,location_2:Q1_feat1,0.37626518452451185
406,Relationship_2:Q12_feat2,0.37626518452451185
529,Relationship_3:Q9_feat3,0.3681916956079797
46,Q7_feat5,0.36652693314698204
407,Relationship_2:Q13_feat2,0.36414264019997356
530,Relationship_3:Q6_feat2,0.35571250059460924
408,Relationship_2:Q10_feat1,0.35270390344929636
47,Q11_feat5,0.35270390344929636
48,Q10_feat7,0.34821310474642897
531,Relationship_2:Q5_feat2,0.34821310474642897
532,Relationship_2:Q3_feat2,0.34668260131365447
212,location_2:Q6_feat3,0.3416598954897129
534,Relationship_3:Q10_feat2,0.34039931021731745
409,Relationship_2:Q13_feat4,0.34039931021731745
533,Relationship_3:Q7_feat5,0.34039931021731745
49,Q7_feat3,0.3401327755220046
371,Relationship_1:Q13_feat4,0.33531367220013747
535,Relationship_1:Q3_feat6,0.32139440235461686
536,Relationship_3:Q11_feat5,0.32139440235461686
213,location_2:Q1_feat7,0.32139440235461686
214,location_2:Q3_feat6,0.32139440235461686
50,Q3_feat3,0.31904681524166145
372,Relationship_1:Q10_feat1,0.31663524942512655
216,location_2:Q12_feat3,0.31663524942512655
215,location_2:Q1_feat3,0.31663524942512655
51,Q11_feat1,0.3150528616989834
52,Q1_feat1,0.3147873775422003
373,Relationship_1:Q10_feat4,0.30737164535345807
537,Relationship_3:Q1_feat3,0.3073060767609325
538,Relationship_3:Q3_feat2,0.30392349630817395
53,location_1:Q10_feat1,0.3012333726509371
539,Relationship_3:Q13_feat4,0.3005117112872395
54,Q5_feat3,0.3005117112872395
540,Relationship_3:Q5_feat3,0.2848552729014874
541,location_3:Q3_feat4,0.28424503064726825
217,location_2:Q9_feat1,0.2836691838890195
218,location_2:Q8_feat3,0.2812654027250555
542,Relationship_2:Q1_feat2,0.28098386135290054
55,Q10_feat1,0.2780309708980445
219,location_2:Q11_feat5,0.27737303220507004
543,Relationship_3:Q10_feat7,0.27737303220507004
410,Relationship_2:Q9_feat4,0.27167937496856226
544,Relationship_3:Q5_feat4,0.26397087942861613
57,location_1:Q5_feat4,0.26397087942861613
56,location_1:Q3_feat6,0.26397087942861613
58,location_1:Q7_feat2,0.26289404831704655
545,Relationship_1:Q9_feat1,0.25584345670976766
411,Relationship_2:Q7_feat3,0.25502625214130625
59,location_1:Q2_feat2,0.24699974629885957
546,location_3:Q3_feat6,0.2406864306065912
548,location_3:Q11_feat5,0.2406864306065912
547,location_3:Q10_feat7,0.2406864306065912
549,Relationship_3:Q9_feat6,0.2406864306065912
550,location_3:Q1_feat3,0.2290693935603439
551,location_3:Q4_feat3,0.2290693935603439
552,location_3:Q8_feat1,0.2290693935603439
412,Relationship_2:Q10_feat2,0.22263103858305272
553,Relationship_3:Q8_feat1,0.22037514227062688
554,Relationship_3:Q11_feat1,0.21907402030312798
555,location_3:Q9_feat4,0.21298998576165967
60,location_1:Q11_feat3,0.21156042908396466
556,location_3:Q10_feat6,0.20973975266648176
413,Relationship_2:Q9_feat2,0.20942724919212277
557,Relationship_3:Q5_feat1,0.2060742834250808
558,location_3:Q6_feat2,0.20564948847040046
559,Relationship_3:Q11_feat2,0.20134785310872624
560,Relationship_1:Q3_feat3,0.1915120654057419
561,location_3:Q7_feat1,0.18969029476041735
562,location_3:Q10_feat1,0.1846349219830899
220,location_2:Q7_feat3,0.1846349219830899
61,Q10_feat6,0.1846349219830899
62,Q8_feat3,0.18230520240413778
221,location_2:Q3_feat1,0.1720234833594188
414,Relationship_2:Q13_feat1,0.1720234833594188
63,location_1:Q4_feat1,0.1714883168521396
563,Relationship_3:Q2_feat1,0.16919118802145838
564,Relationship_3:Q9_feat2,0.16919118802145838
415,Relationship_2:Q12_feat3,0.16577967224683735
565,Relationship_1:Q8_feat3,0.16577967224683735
222,location_2:Q9_feat6,0.16081696343019497
566,location_3:Q9_feat6,0.16081696343019497
65,location_1:Q6_feat2,0.15906421825620742
64,location_1:Q1_feat1,0.15906421825620742
567,location_3:Q10_feat2,0.15672039903374815
66,location_1:Q1_feat7,0.15502870058892704
568,Relationship_1:Q2_feat3,0.14893276296378574
223,location_2:Q10_feat1,0.1489323494552586
569,location_3:Q10_feat4,0.1489323494552586
224,location_2:Q7_feat2,0.1488621545141815
374,Relationship_1:Q13_feat1,0.14374044608153255
416,Relationship_2:Q10_feat6,0.1413519005092672
67,location_1:Q2_feat5,0.13844417677944285
68,Q8_feat5,0.13031850403170428
570,location_3:Q8_feat2,0.1299282304177207
69,Q2_feat5,0.12646089412093175
70,Q3_feat2,0.12610941711399629
225,location_2:Q8_feat2,0.11824013257590522
304,location_3:Q13_feat2,0.11520845074264918
226,location_2:Q9_feat2,0.11520845074264918
71,Q7_feat2,0.11507013362596609
571,Relationship_3:Q8_feat5,0.11426905907073867
72,location_1:Q8_feat1,0.11416319094530657
73,location_1:Q5_feat3,0.10976059582277885
227,location_2:Q3_feat2,0.10835713890460588
74,location_1:Q9_feat6,0.10786103133495101
75,Q9_feat1,0.09867801571111756
572,Relationship_2:Q4_feat1,0.0985726545784266
573,location_3:Q6_feat1,0.09425021305124166
575,location_3:Q9_feat2,0.09425021305124166
229,location_2:Q13_feat1,0.09425021305124166
228,location_2:Q2_feat1,0.09425021305124166
574,location_3:Q6_feat3,0.09425021305124166
576,location_3:Q2_feat3,0.0934286389410866
230,location_2:Q10_feat2,0.08522904979025177
231,location_2:Q13_feat4,0.07819754860898229
232,location_2:Q7_feat5,0.07706166543969281
577,Relationship_3:Q12_feat2,0.07483794993390823
578,Relationship_2:Q4_feat3,0.07431286844481041
579,location_3:Q8_feat3,0.07427096010752637
580,Relationship_3:Q10_feat3,0.07336065211180076
233,location_2:Q12_feat1,0.06966903620116738
234,location_2:Q11_feat1,0.06876816416806837
581,location_3:Q12_feat1,0.06876816416806837
582,location_3:Q6_feat4,0.06748750419928429
583,Relationship_3:Q4_feat3,0.06426892728201945
585,Relationship_1:Q2_feat5,0.06314878559486503
584,location_3:Q2_feat1,0.06314878559486503
236,location_2:Q13_feat2,0.05692632746211065
235,location_2:Q6_feat1,0.05692632746211065
586,location_3:Q9_feat1,0.05675730989902317
305,location_3:Q12_feat3,0.05283906855852804
237,location_2:Q2_feat5,0.05283906855852804
587,location_3:Q3_feat1,0.05145094347506877
589,location_3:Q7_feat5,0.05101825797884377
588,location_3:Q1_feat5,0.05101825797884377
238,location_2:Q8_feat5,0.04721180027956596
306,location_3:Q13_feat4,0.045864444234123836
590,location_3:Q3_feat2,0.0453923350698286
591,location_3:Q1_feat1,0.04123565469370607
239,location_2:Q5_feat1,0.03401395860005064
592,location_3:Q8_feat5,0.033755284401663956
593,location_3:Q2_feat5,0.03334287218090333
594,location_3:Q7_feat2,0.03334287218090333
595,location_3:Q9_feat3,0.0327305976198452
596,location_3:Q7_feat3,0.027036736667914008
597,location_3:Q11_feat1,0.025323341529243343
240,location_2:Q9_feat3,0.025323341529243343
241,location_2:Q3_feat3,0.025304611826881707
76,location_1:Q12_feat3,0.025052897223093177
307,location_3:Q13_feat1,0.024262197874190015
242,location_2:Q12_feat5,0.024208263455843922
380,Relationship_1:Desktop_Computer_Q4_feat1,0.024132196154004113
381,Relationship_1:Desktop_Computer_Q5_feat3,0.024132196154004113
617,Relationship_2:Desktop_Computer_Q5_feat3,0.024132196154004113
375,Relationship_1:Desktop_Computer_Q1_feat1,0.024132196154004113
623,Relationship_3:Desktop_Computer_Q2_feat2,0.024132196154004113
622,Relationship_3:Desktop_Computer_Q1_feat1,0.024132196154004113
619,Relationship_2:Desktop_Computer_Q6_feat2,0.024132196154004113
621,Relationship_2:Desktop_Computer_Q9_feat4,0.024132196154004113
378,Relationship_1:Desktop_Computer_Q2_feat2,0.024132196154004113
618,Relationship_2:Desktop_Computer_Q5_feat6,0.024132196154004113
382,Relationship_1:Desktop_Computer_Q5_feat4,0.024132196154004113
620,Relationship_2:Desktop_Computer_Q8_feat3,0.024132196154004113
624,Relationship_3:Desktop_Computer_Q3_feat4,0.024132196154004113
