,features,Importance
0,Relationship_1:Q10_feat4,0.9980146893286674
1,location_2:Q12_feat5,0.9971923496202155
2,Relationship_2:Q8_feat5,0.9905473944755785
3,Relationship_2:Q7_feat1,0.9749828583892715
4,location_2:Q13_feat2,0.9722541650003086
5,Q8_feat5,0.9648776828649879
541,Relationship_1:Q12_feat1,0.9610038549158193
443,location_3:Q10_feat1,0.9557022161145874
444,location_3:Q10_feat2,0.9552265422740188
6,location_2:Q5_feat6,0.9543268276311306
542,Relationship_2:Q5_feat6,0.9543268276311306
693,Relationship_3:Q3_feat1,0.9485304064443987
543,Relationship_1:Q12_feat5,0.9485304064443987
7,location_2:Q10_feat3,0.9462457467003036
544,Relationship_2:Q5_feat4,0.9367908946315985
545,Relationship_1:Q1_feat7,0.9354436609928805
8,location_2:Q5_feat3,0.9209781223701667
9,Relationship_2:Q11_feat2,0.9182535689032418
10,Q12_feat5,0.9108943818266503
11,location_1:Q5_feat2,0.9088031918740347
546,Relationship_2:Q1_feat1,0.9068166943843493
547,Relationship_2:Q3_feat2,0.9063007175738977
12,Q10_feat6,0.8907475072376064
13,location_2:Q9_feat2,0.8893028091964473
14,Relationship_2:Q11_feat3,0.8884289732569907
15,Relationship_2:Q7_feat3,0.8732743453267329
445,location_3:Q10_feat4,0.8713092373809859
16,Q3_feat6,0.8713092373809859
548,Relationship_1:Q10_feat2,0.867674180877035
446,location_3:Q8_feat3,0.863577162168896
17,location_1:Q10_feat1,0.863577162168896
549,Relationship_1:Q9_feat4,0.8632503722418833
18,Relationship_3:Q12_feat1,0.8590664099195067
19,location_1:Q11_feat3,0.8562759747708585
20,Relationship_3:Q6_feat3,0.8493429826678164
447,location_3:Q9_feat1,0.8431328110206084
21,Relationship_2:Q12_feat3,0.8427294520999666
22,location_2:Q7_feat1,0.8363966054009839
23,Relationship_3:Q5_feat2,0.8329821903736598
24,Relationship_3:Q6_feat1,0.8303129836735963
25,Relationship_3:Q13_feat1,0.8303129836735963
26,Relationship_2:Q9_feat3,0.825568419445369
550,Relationship_2:Q5_feat1,0.8228041112109514
448,location_3:Q7_feat2,0.8133183805410189
551,Relationship_2:Q1_feat5,0.8133183805410189
28,location_2:Q12_feat3,0.8092065468528468
