,features,Importance
0,Relationship_3:Q9_feat2,0.9821306137379814
1,Q3_feat4,0.9804253954179613
2,Relationship_3:Q2_feat5,0.9781888264919868
3,Q1_feat1,0.9712319362565377
4,location_1:Q4_feat1,0.9646908290807648
5,Relationship_2:Q10_feat3,0.9639579737722216
6,location_3:Q13_feat4,0.9638659486548888
7,Relationship_3:Q13_feat2,0.9638659486548888
8,Q10_feat4,0.9493694298952234
9,Relationship_3:Q8_feat5,0.9446459514338785
10,Relationship_1:Q3_feat6,0.9366446028203708
11,location_2:Q1_feat7,0.934629243950972
14,Relationship_3:Q1_feat3,0.931782301920375
12,location_1:Q9_feat6,0.931782301920375
13,location_3:Q5_feat2,0.931782301920375
15,Q1_feat3,0.9300626513513954
16,Relationship_3:Q1_feat1,0.9294276591962723
17,Relationship_3:Q12_feat5,0.926997945439462
18,Relationship_2:Q11_feat3,0.9224466038851978
19,Relationship_1:Q9_feat2,0.9193233986353965
20,location_2:Q1_feat5,0.9108667182562059
21,Q1_feat7,0.9103733352371048
22,location_2:Q2_feat3,0.9103733352371048
23,location_2:Q11_feat5,0.9076552520171581
24,location_2:Q12_feat5,0.9036431862491973
25,Q3_feat6,0.8999841959990138
26,Q1_feat2,0.8917494240181141
27,Relationship_3:Q9_feat4,0.8870277025313379
28,Q1_feat5,0.8764141282442824
29,location_2:Q10_feat2,0.8735154838867922
30,Relationship_2:Q5_feat3,0.8726649861942107
31,Relationship_2:Q5_feat4,0.8726649861942107
32,Relationship_1:Q11_feat3,0.8544789213236795
33,Relationship_3:Q12_feat2,0.8544789213236795
34,Relationship_1:Q4_feat1,0.8527915564637569
35,Relationship_1:Q12_feat1,0.8454141745568287
36,Q13_feat1,0.8338353368731859
37,Relationship_2:Q6_feat3,0.8165433259376604
38,Relationship_3:Q8_feat2,0.8108444478924256
39,Relationship_1:Q6_feat2,0.8056312151429742
40,Relationship_1:Q1_feat7,0.8048242992431482
41,Relationship_2:Q10_feat7,0.8048242992431482
42,Relationship_3:Q2_feat3,0.794504778634755
43,Relationship_3:Q3_feat4,0.794504778634755
44,location_1:Q6_feat4,0.7866006625558708
45,Relationship_2:Q3_feat4,0.7866006625558708
46,location_3:Q4_feat3,0.7858339307936898
47,location_2:Q10_feat3,0.7856257429386991
48,Relationship_3:Q11_feat2,0.7856257429386991
49,Relationship_3:Q5_feat1,0.7768160593292155
50,location_2:Q6_feat4,0.7723566331149498
51,Relationship_3:Q6_feat2,0.7623697403724224
52,Relationship_3:Q13_feat4,0.7545379155994075
53,Relationship_3:Q13_feat1,0.7534788456887644
54,Relationship_1:Q5_feat3,0.750803199930771
55,Relationship_3:Q5_feat3,0.750803199930771
56,Relationship_3:Q3_feat3,0.7507354836570401
57,location_1:Q7_feat3,0.7417536683160174
