,features,Importance
444,Relationship_1:Q9_feat1,0.996306085597786
0,Q2_feat2,0.9926963327379621
563,Relationship_3:Q2_feat1,0.9926963327379621
1,location_1:Q1_feat7,0.9816931148673739
564,Relationship_3:Q11_feat5,0.9816931148673739
499,Relationship_3:Q10_feat7,0.9816931148673739
197,location_2:Q8_feat1,0.9753354555349868
566,Relationship_3:Q12_feat1,0.9651246222144995
565,Relationship_3:Q9_feat2,0.9651246222144995
500,Relationship_2:Q10_feat2,0.963395865940987
445,Relationship_1:Q9_feat2,0.963395865940987
2,Q10_feat4,0.963395865940987
567,Relationship_3:Q1_feat2,0.9551771393628176
3,Q1_feat7,0.9437311906579962
446,Relationship_1:Q10_feat1,0.9437311906579962
302,location_3:Q4_feat3,0.9437311906579962
4,location_1:Q10_feat6,0.928810527784289
501,Relationship_2:Q11_feat5,0.928810527784289
198,location_2:Q10_feat7,0.928810527784289
303,location_3:Q11_feat5,0.928810527784289
306,location_3:Q11_feat3,0.9103265420191937
305,location_3:Q10_feat7,0.9103265420191937
304,location_3:Q9_feat6,0.9103265420191937
568,Relationship_2:Q5_feat4,0.9103265420191937
569,Relationship_2:Q3_feat2,0.9074260877085136
502,Relationship_2:Q8_feat2,0.9074260877085136
570,Relationship_2:Q1_feat5,0.9039057942718942
571,Relationship_3:Q1_feat5,0.9039057942718942
199,location_2:Q1_feat4,0.8994565129052523
572,Relationship_1:Q7_feat2,0.8958402906111396
503,Relationship_2:Q8_feat5,0.8958402906111396
5,Q8_feat5,0.8872821040791322
573,Relationship_1:Q7_feat5,0.8856816475625017
574,Relationship_3:Q3_feat3,0.8846207169108349
575,Relationship_3:Q7_feat1,0.8770231514232285
576,Relationship_1:Q2_feat5,0.8768791549314753
200,location_2:Q1_feat3,0.8734497264477372
6,Q5_feat1,0.8689158006627796
577,Relationship_2:Q3_feat4,0.8581866462469134
578,Relationship_1,0.8533454958283089
7,Q8_feat1,0.853114675405232
579,Relationship_3:Q2_feat3,0.845334147378976
8,location_1:Q12_feat2,0.845334147378976
9,Q1_feat2,0.8434501502323561
580,Relationship_1:Q7_feat3,0.8416576277174772
581,Relationship_3:Q4_feat1,0.8317993530265722
10,Q2_feat3,0.812398320491213
582,Relationship_1:Q3_feat3,0.7939945815035793
11,Q11_feat2,0.7812403678078493
203,location_2:Q9_feat6,0.7763709915862477
202,location_2:Q3_feat6,0.7763709915862477
201,location_2:Q1_feat7,0.7763709915862477
584,Relationship_3:Q10_feat4,0.7756813030607341
583,Relationship_3:Q9_feat6,0.7756813030607341
12,location_1:Q1_feat3,0.7738838075079563
13,location_1:Q2_feat2,0.7704908397733438
585,Relationship_3:Q7_feat2,0.7699450377049053
204,location_2:Q2_feat3,0.764944542491185
14,Q5_feat2,0.7398286607628182
586,Relationship_3:Q8_feat2,0.7398286607628182
307,location_3:Q3_feat6,0.735579808152383
588,Relationship_2:Q3_feat6,0.735579808152383
587,Relationship_2:Q1_feat7,0.735579808152383
589,Relationship_1:Q9_feat3,0.7293291325089858
15,Q11_feat1,0.7108706739336242
16,Q9_feat3,0.7089097448487685
447,Relationship_1:Q11_feat2,0.7046553329849177
205,location_2:Q3_feat4,0.6878979495127961
206,location_2:Q5_feat2,0.6878979495127961
18,location_1:Q11_feat5,0.6878979495127961
17,location_1:Q9_feat6,0.6878979495127961
207,location_2:Q6_feat3,0.6869612681986585
590,Relationship_3:Q13_feat2,0.6803305644538091
591,Relationship_3:Q5_feat6,0.6643799759024005
19,Q3_feat3,0.6493827781976682
505,Relationship_2:Q10_feat3,0.6375115990014191
504,Relationship_2:Q9_feat3,0.6375115990014191
592,Relationship_2:Q5_feat6,0.6343226830884925
208,location_2:Q2_feat2,0.6329365797914983
209,location_2:Q5_feat3,0.6329365797914983
20,Q9_feat6,0.626266552217973
593,Relationship_3:Q3_feat1,0.625180321393223
21,location_1:Q13_feat1,0.625180321393223
210,location_2:Q6_feat2,0.6227253845065417
594,Relationship_1:Q6_feat3,0.6133507878928606
211,location_2:Q10_feat4,0.6094205344032104
595,Relationship_3:Q12_feat2,0.6094205344032104
22,Q3_feat6,0.6050255420164814
596,Relationship_3:Q9_feat1,0.6050255420164814
597,Relationship_3:Q10_feat1,0.6050255420164814
598,Relationship_1:Q5_feat1,0.6037167426446983
