,features,Importance
0,location_1:Q13_feat4,0.9894938159486784
1,Relationship_1:Q12_feat5,0.9894938159486784
2,location_1:Q11_feat5,0.9893447934153455
326,location_2:Q2_feat2,0.9893447934153455
425,location_3:Q2_feat2,0.9849317102299034
3,Relationship_2:Q8_feat5,0.977217758841288
712,Relationship_3,0.9728540256329681
426,location_3:Q9_feat2,0.9683577770379899
4,Q1_feat3,0.9472046304469101
525,Relationship_1:Q3_feat1,0.9472046304469101
427,location_3:Q8_feat2,0.9472046304469101
5,Q5_feat3,0.9372117013219232
576,Relationship_2:Q1_feat2,0.9361621265620632
327,location_2:Q9_feat2,0.9346158382416456
6,Relationship_3:Q9_feat6,0.9332152966410894
7,location_3:Q13_feat1,0.9328001707693021
577,Relationship_1:Q3_feat2,0.9316011869791444
9,Relationship_3:Q9_feat1,0.9296118867360964
8,location_1:Q10_feat1,0.9296118867360964
12,Relationship_3:Q12_feat3,0.9237004696129224
11,Relationship_3:Q7_feat3,0.9237004696129224
10,Q1_feat7,0.9237004696129224
713,Relationship_3:Q3_feat2,0.9130461285097963
13,Relationship_3:Q3_feat6,0.910934028212175
428,location_3:Q7_feat2,0.9056624899669965
328,location_2:Q1_feat5,0.9006120753753561
14,Relationship_2:Q10_feat2,0.8929036739705976
578,Relationship_2:Q4_feat1,0.8929036739705976
15,Q5_feat1,0.8903459645460263
329,location_2:Q8_feat5,0.8845954520699003
16,Relationship_3:Q9_feat2,0.8845954520699003
714,Relationship_3:Q2_feat5,0.8845954520699003
715,Relationship_3:Q2_feat3,0.8754064593426716
579,Relationship_2:Q3_feat4,0.8743034468171557
17,location_1:Q10_feat4,0.8743034468171557
18,Relationship_2:Q10_feat1,0.8743034468171557
19,Relationship_3:Q7_feat1,0.8743034468171557
20,Q7_feat3,0.8724079782092946
21,Relationship_3:Q5_feat1,0.8682478008990717
580,Relationship_2:Q3_feat6,0.866714662305802
22,location_1:Q10_feat6,0.866714662305802
581,Relationship_2:Q1_feat7,0.8623392383812563
23,Relationship_2:Q10_feat7,0.8623392383812563
24,Relationship_3:Q10_feat6,0.8623392383812563
330,location_2:Q3_feat1,0.8559224863617538
583,Relationship_2:Q1_feat5,0.8559224863617538
582,Relationship_1:Q4_feat3,0.8559224863617538
331,location_2:Q6_feat4,0.8552215985077404
332,location_2:Q12_feat2,0.8552215985077404
25,Q12_feat3,0.8513604115210456
26,Relationship_3:Q12_feat5,0.8487820458871861
716,Relationship_3:Q1_feat5,0.8463731712073845
27,Relationship_3:Q4_feat1,0.8356596293881309
28,location_1:Q9_feat4,0.8326161991355598
29,Relationship_3:Q4_feat3,0.8326161991355598
30,Q5_feat4,0.8286633133232632
