,features,Importance
0,Relationship_2:Q12_feat1,0.995716852588634
460,Relationship_3:Q2_feat2,0.9882505541229775
1,location_2:Q8_feat5,0.9878159720315901
461,Relationship_3:Q3_feat4,0.9856101864652321
2,location_1:Q12_feat2,0.9833843748283396
462,Relationship_2:Q13_feat1,0.9796508337440231
3,location_2:Q6_feat1,0.9780207855176952
463,Relationship_3:Q3_feat2,0.9750788140036104
464,Relationship_3:Q13_feat2,0.9591326812941224
465,Relationship_3:Q1_feat2,0.957720271819334
466,Relationship_2:Q3_feat2,0.9527201927002219
467,Relationship_1:Q1_feat1,0.951234733779197
4,location_2:Q11_feat1,0.9508059763002594
304,location_3:Q7_feat1,0.9482676283126463
5,location_2:Q1_feat1,0.9408461381880984
6,location_2:Q6_feat4,0.9259562051718575
468,Relationship_3:Q1_feat5,0.9223182208868593
469,Relationship_3:Q9_feat2,0.9223182208868593
470,Relationship_2:Q9_feat1,0.9174728789546418
471,Relationship_3:Q8_feat3,0.9123194655477278
472,Relationship_1:Q3_feat3,0.9102962807846633
305,location_3:Q10_feat3,0.9102962807846633
7,Q3_feat4,0.9026312246363134
473,Relationship_1:Q5_feat3,0.9010222232014832
474,Relationship_2:Q12_feat5,0.8954366227185662
475,Relationship_2:Q2_feat3,0.8912996525942493
477,Relationship_2:Q8_feat1,0.8906733082677739
478,Relationship_3:Q1_feat4,0.8906733082677739
476,Relationship_1:Q3_feat4,0.8906733082677739
479,Relationship_1:Q2_feat5,0.8899761979686833
480,Relationship_2:Q13_feat2,0.8899761979686833
481,Relationship_1:Q1_feat5,0.8831784818451962
482,Relationship_1:Q8_feat5,0.8831784818451962
483,Relationship_2:Q13_feat4,0.8831784818451962
8,location_2:Q9_feat3,0.8802293914272521
484,Relationship_3:Q6_feat4,0.8627553998857281
306,location_3:Q1_feat4,0.8627553998857281
9,location_1:Q10_feat6,0.8610027311896299
485,Relationship_3:Q1_feat3,0.8576821579814928
10,Q3_feat6,0.8576821579814928
11,location_1:Q7_feat2,0.8540674564175819
