,features,Importance
0,Smart Phone_Q4_feat1,0.13492265007353085
1,Smart Phone_Q5_feat1,0.0722406569835361
2,Smart Phone_Q10_feat3,0.06238372075817826
3,Smart Phone_Q2_feat1,0.04836875926841323
4,Smart Phone_Q11_feat2,0.04476290516206481
5,Smart Phone_Q12_feat1,0.04358841978696221
6,Smart Phone_Q8_feat5,0.03887166672519886
7,Smart Phone_Q3_feat3,0.03720827795400903
8,Smart Phone_Q8_feat2,0.03221081110965971
9,Smart Phone_Q1_feat2,0.030074570296774773
10,Smart Phone_Q3_feat1,0.026721861052596652
11,Smart Phone_Q2_feat5,0.024927843783981225
12,Smart Phone_Q7_feat2,0.024765990390125916
13,Smart Phone_Q10_feat7,0.02149980938976783
14,Smart Phone_Q10_feat2,0.018292777233592815
15,Q10_feat6,0.01811913677911527
16,Smart Phone_Q12_feat5,0.01579996636693404
17,Q8_feat1,0.013979243697099946
18,Q12_feat2,0.012056100443041751
19,Smart Phone_Q9_feat6,0.011825155765457654
20,Q6_feat3,0.010985565884199017
21,Q7_feat2,0.009817924560080774
22,Smart Phone_Q13_feat4,0.009612286970863117
23,Smart Phone_Q13_feat1,0.00955258332508135
24,Q13_feat2,0.007841559230926897
25,Q2_feat3,0.007537322925521365
26,Smart Phone_Q6_feat4,0.007065503222760103
27,Q9_feat3,0.006875495447293378
28,location_2,0.006732931859343758
29,Q12_feat5,0.006707032289840056
30,Smart Phone_Q4_feat3,0.006421566204602232
31,Smart Phone_Q2_feat3,0.006314489993870592
32,Relationship_2,0.00575720395370624
33,Relationship_3,0.0056742058548583845
34,Q2_feat1,0.005438550201456508
35,Smart Phone_Q1_feat1,0.005363444017510333
36,Q8_feat3,0.005290567794069194
37,Smart Phone_Q11_feat1,0.005191495361976284
38,Q11_feat3,0.0050719701178208385
39,Q13_feat1,0.004858693099952677
40,Q1_feat5,0.004802102088151504
41,Smart Phone_Q13_feat2,0.004778899293199296
42,Q13_feat4,0.004723935866835552
43,Q10_feat2,0.00459876159574675
44,Q10_feat7,0.0044820172944908514
45,Q1_feat1,0.004480062980357835
46,Q6_feat1,0.0043808633572929466
47,Q6_feat2,0.004094594225203255
48,Q9_feat1,0.004004108973584325
49,Q7_feat1,0.003971139212920137
50,Q4_feat3,0.0039659402306215456
51,Q9_feat6,0.003956110581833974
52,Q4_feat1,0.0038651624810143942
53,location_3,0.0037531339598667795
54,Q10_feat3,0.0036758579019712636
55,Q8_feat5,0.0033792819441485523
56,Q10_feat1,0.003262996930721266
57,Q1_feat7,0.003146163289466872
58,Q3_feat1,0.003050209087483648
59,Q2_feat2,0.002929185496633529
60,Q10_feat4,0.0028092301759385448
61,Q1_feat4,0.002736226723177371
62,Q11_feat1,0.0027266631017300257
63,Q1_feat2,0.002699842120083901
64,location_1,0.002678374120951153
65,Q12_feat1,0.002675073325449266
66,Smart Phone_Q1_feat5,0.0026703542632999294
67,Q7_feat3,0.0025758838245674666
68,Q12_feat3,0.0023270839963103617
69,Q5_feat4,0.00226953166933542
70,Q3_feat4,0.0022136617922271246
71,Q5_feat1,0.002175775775276976
72,Relationship_1,0.0018369181196434344
73,Q7_feat5,0.001818596245601343
74,Q5_feat3,0.0017195031762340836
75,Q1_feat3,0.001641440201811719
76,Q8_feat2,0.0014637897587802078
77,Q11_feat5,0.0014356619840918826
78,Q9_feat4,0.0013927102592066166
79,Q3_feat3,0.0013808941380320807
80,Q2_feat5,0.0012524747935525522
81,Q11_feat2,0.0012123367865664787
82,Q9_feat2,0.0010320645235772786
83,Q3_feat6,0.0008075598660516839
84,Q5_feat2,0.0007537225416482383
85,Smart Phone_Q3_feat2,0.0005359804740609695
86,Smart Phone_Q7_feat5,0.000502481694432159
87,Q6_feat4,0.0004470385270785921
88,Smart Phone_Q6_feat2,0.00013399511851524233
89,Q3_feat2,4.388877544951102e-05
90,Q5_feat6,0.0
91,Smart Phone_Q1_feat3,0.0
92,Smart Phone_Q1_feat4,0.0
93,Smart Phone_Q1_feat7,0.0
94,Smart Phone_Q2_feat2,0.0
95,Smart Phone_Q3_feat4,0.0
96,Smart Phone_Q3_feat6,0.0
97,Smart Phone_Q5_feat2,0.0
98,Smart Phone_Q5_feat3,0.0
99,Smart Phone_Q5_feat4,0.0
100,Smart Phone_Q5_feat6,0.0
101,Smart Phone_Q6_feat1,0.0
102,Smart Phone_Q6_feat3,0.0
103,Smart Phone_Q7_feat1,0.0
104,Smart Phone_Q7_feat3,0.0
105,Smart Phone_Q8_feat1,0.0
106,Smart Phone_Q8_feat3,0.0
107,Smart Phone_Q9_feat1,0.0
108,Smart Phone_Q9_feat2,0.0
109,Smart Phone_Q9_feat3,0.0
110,Smart Phone_Q9_feat4,0.0
111,Smart Phone_Q10_feat1,0.0
112,Smart Phone_Q10_feat4,0.0
113,Smart Phone_Q10_feat6,0.0
114,Smart Phone_Q11_feat3,0.0
115,Smart Phone_Q11_feat5,0.0
116,Smart Phone_Q12_feat2,0.0
117,Smart Phone_Q12_feat3,0.0
