,features,Importance
0,Relationship_3:Smart_Phone_Q1_feat2,0.14011316593770995
1,Relationship_1:Smart_Phone_Q9_feat3,0.11540609408261154
2,Relationship_2:Smart_Phone_Q10_feat3,0.09328427503598105
3,location_1:Smart_Phone_Q1_feat2,0.08964349729994707
4,location_3:Smart_Phone_Q2_feat5,0.0605910213864134
5,Relationship_1:Q9_feat3,0.054801099105061826
6,location_1:Q5_feat1,0.04741952233005164
7,location_3:Smart_Phone_Q4_feat1,0.044216167889665016
8,location_2:Q6_feat3,0.029756746893241422
9,Relationship_3:Smart_Phone_Q13_feat4,0.029399026735822186
10,Relationship_2:Smart_Phone_Q11_feat2,0.02424938663283736
11,location_2:Smart_Phone_Q4_feat1,0.020273018779992154
12,Relationship_1:Q5_feat6,0.019765770471749298
13,Relationship_2:Q4_feat1,0.014624175028863217
14,Relationship_2:Q10_feat3,0.013399511851524238
15,Relationship_1:Q9_feat1,0.01235394388129168
16,Relationship_2:Q3_feat3,0.010049633888643179
17,Relationship_2:Q6_feat3,0.00890846667051886
18,Relationship_2:Q10_feat7,0.008613971904551298
19,Relationship_3:Smart_Phone_Q12_feat3,0.00853203766000462
20,Relationship_2:Q2_feat1,0.008348926615180493
21,Relationship_2:Smart_Phone_Q11_feat3,0.008161079500873997
22,Relationship_1:Smart_Phone_Q6_feat4,0.00803970711091454
23,location_3:Q8_feat1,0.0076700165619454285
24,location_1:Q12_feat2,0.007537225416482384
25,Relationship_3:Q2_feat5,0.007537225416482384
26,location_2:Q3_feat4,0.007522532969276769
27,location_2:Smart_Phone_Q11_feat5,0.007104220256236577
28,location_1:Q12_feat3,0.006699755925762119
29,Relationship_1:Smart_Phone_Q1_feat2,0.006432001942246486
30,location_2:Q3_feat1,0.005024816944321589
31,location_3:Q6_feat3,0.005024816944321589
32,location_3:Q10_feat2,0.005024816944321589
33,Relationship_1:Q2_feat1,0.005024816944321589
34,Relationship_2:Q3_feat2,0.005024816944321589
35,Relationship_2:Q5_feat4,0.005024816944321589
36,location_3:Q4_feat1,0.004187347453601324
37,Relationship_1:Q10_feat6,0.0039263180019482626
38,Relationship_3:Q10_feat2,0.0033670568242291465
39,location_3:Q11_feat1,0.00334987796288106
40,location_3:Q1_feat4,0.003349877962881059
41,Relationship_1:Q6_feat1,0.002817762732623406
42,Relationship_1:Q8_feat5,0.002679902370304846
43,Relationship_1:Q3_feat1,0.002650452893708105
44,Relationship_1:Q7_feat2,0.0025124084721607947
45,Relationship_1:Q7_feat5,0.0025124084721607947
46,Relationship_2:Q3_feat1,0.0023271988732515027
47,location_3:Q10_feat4,0.0022611676249447072
48,location_1:Q7_feat5,0.0021534929761378233
49,location_2:Q2_feat1,0.002128305923785337
50,Relationship_2:Q4_feat3,0.002008466075128541
51,Relationship_3:Q5_feat1,0.0015988053913750522
52,Relationship_3:Q7_feat5,0.001281633471628584
53,location_2:Q10_feat2,0.0012250982264250714
54,location_3:Q8_feat2,0.0011166259876270181
55,location_2:Q8_feat2,0.001004963388864322
56,Relationship_2:Q11_feat1,0.0005024816944321571
57,location_1:Q8_feat5,0.0003349877962881081
58,Relationship_2:Q8_feat2,0.00010123257580134365
59,location_1:Q1_feat1,0.0
60,location_1:Q1_feat2,0.0
61,location_1:Q1_feat3,0.0
62,location_1:Q1_feat4,0.0
63,location_1:Q1_feat5,0.0
64,location_1:Q1_feat7,0.0
65,location_1:Q2_feat1,0.0
66,location_1:Q2_feat2,0.0
67,location_1:Q2_feat3,0.0
68,location_1:Q2_feat5,0.0
69,location_1:Q3_feat1,0.0
70,location_1:Q3_feat2,0.0
71,location_1:Q3_feat3,0.0
72,location_1:Q3_feat4,0.0
73,location_1:Q3_feat6,0.0
74,location_1:Q4_feat1,0.0
75,location_1:Q4_feat3,0.0
76,location_1:Q5_feat2,0.0
77,location_1:Q5_feat3,0.0
78,location_1:Q5_feat4,0.0
79,location_1:Q5_feat6,0.0
80,location_1:Q6_feat1,0.0
81,location_1:Q6_feat2,0.0
82,location_1:Q6_feat3,0.0
83,location_1:Q6_feat4,0.0
84,location_1:Q7_feat1,0.0
85,location_1:Q7_feat2,0.0
86,location_1:Q7_feat3,0.0
87,location_1:Q8_feat1,0.0
88,location_1:Q8_feat2,0.0
89,location_1:Q8_feat3,0.0
90,location_1:Q9_feat1,0.0
91,location_1:Q9_feat2,0.0
92,location_1:Q9_feat3,0.0
93,location_1:Q9_feat4,0.0
94,location_1:Q9_feat6,0.0
95,location_1:Q10_feat1,0.0
96,location_1:Q10_feat2,0.0
97,location_1:Q10_feat3,0.0
98,location_1:Q10_feat4,0.0
99,location_1:Q10_feat6,0.0
100,location_1:Q10_feat7,0.0
101,location_1:Q11_feat1,0.0
102,location_1:Q11_feat2,0.0
103,location_1:Q11_feat3,0.0
104,location_1:Q11_feat5,0.0
105,location_1:Q12_feat1,0.0
106,location_1:Q12_feat5,0.0
107,location_1:Q13_feat1,0.0
108,location_1:Q13_feat2,0.0
109,location_1:Q13_feat4,0.0
110,location_1:Smart_Phone_Q1_feat1,0.0
111,location_1:Smart_Phone_Q1_feat3,0.0
112,location_1:Smart_Phone_Q1_feat4,0.0
113,location_1:Smart_Phone_Q1_feat5,0.0
114,location_1:Smart_Phone_Q1_feat7,0.0
115,location_1:Smart_Phone_Q2_feat1,0.0
116,location_1:Smart_Phone_Q2_feat2,0.0
117,location_1:Smart_Phone_Q2_feat3,0.0
118,location_1:Smart_Phone_Q2_feat5,0.0
119,location_1:Smart_Phone_Q3_feat1,0.0
120,location_1:Smart_Phone_Q3_feat2,0.0
121,location_1:Smart_Phone_Q3_feat3,0.0
122,location_1:Smart_Phone_Q3_feat4,0.0
123,location_1:Smart_Phone_Q3_feat6,0.0
124,location_1:Smart_Phone_Q4_feat1,0.0
125,location_1:Smart_Phone_Q4_feat3,0.0
126,location_1:Smart_Phone_Q5_feat1,0.0
127,location_1:Smart_Phone_Q5_feat2,0.0
128,location_1:Smart_Phone_Q5_feat3,0.0
129,location_1:Smart_Phone_Q5_feat4,0.0
130,location_1:Smart_Phone_Q5_feat6,0.0
131,location_1:Smart_Phone_Q6_feat1,0.0
132,location_1:Smart_Phone_Q6_feat2,0.0
133,location_1:Smart_Phone_Q6_feat3,0.0
134,location_1:Smart_Phone_Q6_feat4,0.0
135,location_1:Smart_Phone_Q7_feat1,0.0
136,location_1:Smart_Phone_Q7_feat2,0.0
137,location_1:Smart_Phone_Q7_feat3,0.0
138,location_1:Smart_Phone_Q7_feat5,0.0
139,location_1:Smart_Phone_Q8_feat1,0.0
140,location_1:Smart_Phone_Q8_feat2,0.0
141,location_1:Smart_Phone_Q8_feat3,0.0
142,location_1:Smart_Phone_Q8_feat5,0.0
143,location_1:Smart_Phone_Q9_feat1,0.0
144,location_1:Smart_Phone_Q9_feat2,0.0
145,location_1:Smart_Phone_Q9_feat3,0.0
146,location_1:Smart_Phone_Q9_feat4,0.0
147,location_1:Smart_Phone_Q9_feat6,0.0
148,location_1:Smart_Phone_Q10_feat1,0.0
149,location_1:Smart_Phone_Q10_feat2,0.0
150,location_1:Smart_Phone_Q10_feat3,0.0
151,location_1:Smart_Phone_Q10_feat4,0.0
152,location_1:Smart_Phone_Q10_feat6,0.0
153,location_1:Smart_Phone_Q10_feat7,0.0
154,location_1:Smart_Phone_Q11_feat1,0.0
155,location_1:Smart_Phone_Q11_feat2,0.0
156,location_1:Smart_Phone_Q11_feat3,0.0
157,location_1:Smart_Phone_Q11_feat5,0.0
158,location_1:Smart_Phone_Q12_feat1,0.0
159,location_1:Smart_Phone_Q12_feat2,0.0
160,location_1:Smart_Phone_Q12_feat3,0.0
161,location_1:Smart_Phone_Q12_feat5,0.0
162,location_1:Smart_Phone_Q13_feat1,0.0
163,location_1:Smart_Phone_Q13_feat2,0.0
164,location_1:Smart_Phone_Q13_feat4,0.0
165,location_2:Q1_feat1,0.0
166,location_2:Q1_feat2,0.0
167,location_2:Q1_feat3,0.0
168,location_2:Q1_feat4,0.0
169,location_2:Q1_feat5,0.0
170,location_2:Q1_feat7,0.0
171,location_2:Q2_feat2,0.0
172,location_2:Q2_feat3,0.0
173,location_2:Q2_feat5,0.0
174,location_2:Q3_feat2,0.0
175,location_2:Q3_feat3,0.0
176,location_2:Q3_feat6,0.0
177,location_2:Q4_feat1,0.0
178,location_2:Q4_feat3,0.0
179,location_2:Q5_feat1,0.0
180,location_2:Q5_feat2,0.0
181,location_2:Q5_feat3,0.0
182,location_2:Q5_feat4,0.0
183,location_2:Q5_feat6,0.0
184,location_2:Q6_feat1,0.0
185,location_2:Q6_feat2,0.0
186,location_2:Q6_feat4,0.0
187,location_2:Q7_feat1,0.0
188,location_2:Q7_feat2,0.0
189,location_2:Q7_feat3,0.0
190,location_2:Q7_feat5,0.0
191,location_2:Q8_feat1,0.0
192,location_2:Q8_feat3,0.0
193,location_2:Q8_feat5,0.0
194,location_2:Q9_feat1,0.0
195,location_2:Q9_feat2,0.0
196,location_2:Q9_feat3,0.0
197,location_2:Q9_feat4,0.0
198,location_2:Q9_feat6,0.0
199,location_2:Q10_feat1,0.0
200,location_2:Q10_feat3,0.0
201,location_2:Q10_feat4,0.0
202,location_2:Q10_feat6,0.0
203,location_2:Q10_feat7,0.0
204,location_2:Q11_feat1,0.0
205,location_2:Q11_feat2,0.0
206,location_2:Q11_feat3,0.0
