,features,Importance
0,Smart Watch_Q1_feat2,0.10276185147806412
1,Smart Watch_Q5_feat1,0.09682230290496449
2,Smart Watch_Q4_feat1,0.09676012693981345
3,Smart Watch_Q13_feat4,0.06769977256696605
4,Smart Watch_Q8_feat2,0.0648818501759678
5,Smart Watch_Q7_feat5,0.06370920622645117
6,Smart Watch_Q10_feat1,0.06198490489830234
7,Smart Watch_Q3_feat2,0.06026810392482035
8,Smart Watch_Q8_feat5,0.050740238431248044
9,Smart Watch_Q10_feat3,0.04575040108614904
10,Smart Watch_Q9_feat3,0.04342310694769712
11,Smart Watch_Q1_feat1,0.03759600614439323
12,Smart Watch_Q11_feat1,0.02419751814456122
13,Smart Watch_Q10_feat2,0.023107311792079747
14,Smart Watch_Q2_feat1,0.021497584541062806
15,Smart Watch_Q2_feat5,0.013418487962560902
16,Smart Watch_Q8_feat3,0.01137842863784287
17,Smart Watch_Q12_feat1,0.011208261370178472
18,Smart Watch_Q3_feat1,0.010348232129948549
19,Smart Watch_Q11_feat2,0.009049637337481025
20,Smart Watch_Q1_feat5,0.00490157202777484
21,location_2,0.004618810536092242
22,Smart Watch_Q3_feat6,0.004224769109247778
23,Relationship_2,0.004211482441819519
24,location_3,0.003995313103534734
25,Q1_feat1,0.003912210431405186
26,Relationship_3,0.0037550717852684137
27,Smart Watch_Q9_feat2,0.0037318815056338666
28,Smart Watch_Q6_feat4,0.00351123595505618
29,Q10_feat4,0.003322654012533427
30,Q3_feat4,0.002958049636833506
31,Q5_feat4,0.002460744333765222
32,Q13_feat4,0.002212132837425437
33,Q13_feat2,0.002211630054499169
34,Q1_feat4,0.0021612501217449787
35,Smart Watch_Q2_feat3,0.0018556883310981594
36,Smart Watch_Q6_feat2,0.0018556883310981594
37,Smart Watch_Q13_feat2,0.0018355178057601555
38,Q1_feat3,0.0017801227428267945
39,Smart Watch_Q12_feat3,0.0017580371929558393
40,Q4_feat1,0.001672017121455324
41,Q2_feat2,0.001560549313358302
42,Q7_feat3,0.0015505457921188267
43,Q1_feat5,0.0015145482725070747
44,Smart Watch_Q6_feat1,0.0015048154093097914
45,location_1,0.0013632755578140924
46,Q8_feat1,0.0013275506311555
47,Q8_feat3,0.0012885421272045678
48,Q10_feat6,0.0011758305590234433
49,Q2_feat3,0.0010418440018159047
50,Q11_feat2,0.0010101770108792575
51,Q3_feat1,0.0009753433208489388
52,Q3_feat3,0.0009753433208489386
53,Q12_feat1,0.0006915052848334883
54,Q9_feat1,0.0006869189837359277
55,Q6_feat1,0.000636880928118438
56,Q11_feat5,0.0005620591030445659
57,Q4_feat3,0.0005201831044527678
58,Q12_feat3,0.00033643814916771707
59,Q5_feat3,0.00033595158829241323
60,Relationship_1,0.0003251144402829795
61,Q6_feat2,0.0001935205001684417
62,Q10_feat1,0.0001579711494205183
63,Q11_feat3,0.00015263171243525608
64,Q9_feat4,0.00015221266976884863
65,Q12_feat5,0.00014856690594049863
66,Q12_feat2,0.000121981132923052
67,Q5_feat2,9.01407638167748e-05
68,Q5_feat1,2.7092870023582404e-05
69,Q1_feat2,2.3252338308297656e-05
70,Q1_feat7,0.0
71,Q2_feat1,0.0
72,Q2_feat5,0.0
73,Q3_feat2,0.0
74,Q3_feat6,0.0
75,Q5_feat6,0.0
76,Q6_feat3,0.0
77,Q6_feat4,0.0
78,Q7_feat1,0.0
79,Q7_feat2,0.0
80,Q7_feat5,0.0
81,Q8_feat2,0.0
82,Q8_feat5,0.0
83,Q9_feat2,0.0
84,Q9_feat3,0.0
85,Q9_feat6,0.0
86,Q10_feat2,0.0
87,Q10_feat3,0.0
88,Q10_feat7,0.0
89,Q11_feat1,0.0
90,Q13_feat1,0.0
91,Smart Watch_Q1_feat3,0.0
92,Smart Watch_Q1_feat4,0.0
93,Smart Watch_Q1_feat7,0.0
94,Smart Watch_Q2_feat2,0.0
95,Smart Watch_Q3_feat3,0.0
96,Smart Watch_Q3_feat4,0.0
97,Smart Watch_Q4_feat3,0.0
98,Smart Watch_Q5_feat2,0.0
99,Smart Watch_Q5_feat3,0.0
100,Smart Watch_Q5_feat4,0.0
101,Smart Watch_Q5_feat6,0.0
102,Smart Watch_Q6_feat3,0.0
103,Smart Watch_Q7_feat1,0.0
104,Smart Watch_Q7_feat2,0.0
105,Smart Watch_Q7_feat3,0.0
106,Smart Watch_Q8_feat1,0.0
107,Smart Watch_Q9_feat1,0.0
108,Smart Watch_Q9_feat4,0.0
109,Smart Watch_Q9_feat6,0.0
110,Smart Watch_Q10_feat4,0.0
111,Smart Watch_Q10_feat6,0.0
112,Smart Watch_Q10_feat7,0.0
113,Smart Watch_Q11_feat3,0.0
114,Smart Watch_Q11_feat5,0.0
115,Smart Watch_Q12_feat2,0.0
116,Smart Watch_Q12_feat5,0.0
117,Smart Watch_Q13_feat1,0.0
