,features,Importance
0,Tablet_Q11_feat2,0.14142225793491361
1,Tablet_Q4_feat1,0.11461363396161728
2,Tablet_Q9_feat3,0.09740832878953107
3,Tablet_Q8_feat5,0.07701117676922745
4,Tablet_Q5_feat1,0.07619565573501949
5,Tablet_Q13_feat4,0.062112181222589345
6,Tablet_Q3_feat3,0.057598658854674925
7,Tablet_Q10_feat3,0.056200691923030247
8,Tablet_Q12_feat5,0.04702294255298628
9,Tablet_Q7_feat5,0.04258451472191929
10,Tablet_Q4_feat3,0.03327715486587197
11,Tablet_Q3_feat1,0.018555550164819228
12,Tablet_Q11_feat5,0.015429960793006469
13,Tablet_Q2_feat3,0.011087128191629382
14,Tablet_Q2_feat1,0.009569247546346785
15,Tablet_Q6_feat1,0.007690569043901698
16,Tablet_Q1_feat3,0.005941495276311203
17,Tablet_Q6_feat3,0.005490493575458726
18,Tablet_Q12_feat1,0.005406354545958629
19,Q3_feat2,0.0051774275013156635
20,Q10_feat3,0.004522885051262289
21,Q11_feat2,0.004084473567857195
22,Q9_feat3,0.0038955451987769106
23,Q3_feat1,0.003891230386546139
24,Q3_feat3,0.00387989491424606
25,Q10_feat6,0.003659807076757569
26,Q11_feat3,0.003538942334960339
27,Q9_feat1,0.0033760217824040004
28,Tablet_Q1_feat2,0.0033285592278363327
29,Q7_feat5,0.003316637627046609
30,Q6_feat3,0.0031457204950518258
31,Q1_feat1,0.002991211846545445
32,Q9_feat2,0.0029609497372856146
33,Q8_feat5,0.0027153255315122077
34,Q9_feat6,0.002579031899739163
35,Q1_feat5,0.0025003942968897866
36,Q2_feat2,0.0024615197779319924
37,Q1_feat2,0.0023827203331020126
38,Q1_feat4,0.0023736324981937706
39,Q6_feat2,0.0023148934458886916
40,Tablet_Q1_feat5,0.0023006267139330737
41,Relationship_2,0.002181419378678227
42,Q4_feat3,0.0021478083852303153
43,Q4_feat1,0.0021017770397541414
44,Q8_feat3,0.0018895349061606725
45,Q8_feat1,0.0018757228195346904
46,Relationship_3,0.0018379282064223082
47,Q7_feat1,0.0018014197920777
48,Q10_feat1,0.001744212848220482
49,Q5_feat2,0.0016137050176830575
50,Q8_feat2,0.0016070206919668521
51,Q12_feat1,0.0014402200852582537
52,Q11_feat1,0.001428813639518012
53,Q13_feat4,0.0012580710859004909
54,Q2_feat5,0.0011847080450613676
55,Q5_feat1,0.0011764151878655685
56,Q2_feat3,0.0011548007850137004
57,Q7_feat2,0.0011322475436220773
58,location_1,0.0011207156632283475
59,Tablet_Q1_feat1,0.0011191677403739552
60,Tablet_Q8_feat2,0.0011191677403739552
61,Tablet_Q13_feat2,0.0011191677403739552
62,Q13_feat2,0.0011164122137404583
63,Tablet_Q12_feat3,0.0011094779763880355
64,Q10_feat2,0.0010903142658867852
65,Relationship_1,0.0010883834968088266
66,location_3,0.0010868872626332766
67,Q12_feat2,0.0008998438561203489
68,Q12_feat3,0.0006669475562605335
69,Q2_feat1,0.0005716571554189995
70,Q3_feat4,0.0005653034508863793
71,Q1_feat3,0.0005383441909652185
72,Q6_feat1,0.0005298922814704477
73,Q7_feat3,0.0004783781821900347
74,Q1_feat7,0.00042867023996493646
75,Q12_feat5,0.00042277357444775747
76,Q9_feat4,0.00038333090349255896
77,Q13_feat1,0.00036732452323936734
78,Q6_feat4,0.0002313576069596668
79,Q3_feat6,0.00020298403886190143
80,Q10_feat4,0.00010149201943095078
81,Q5_feat4,3.235959337782464e-05
82,Q5_feat3,1.8373555241813144e-05
83,Q5_feat6,0.0
84,Q10_feat7,0.0
85,Q11_feat5,0.0
86,Tablet_Q1_feat4,0.0
87,Tablet_Q1_feat7,0.0
88,Tablet_Q2_feat2,0.0
89,Tablet_Q2_feat5,0.0
90,Tablet_Q3_feat2,0.0
91,Tablet_Q3_feat4,0.0
92,Tablet_Q3_feat6,0.0
93,Tablet_Q5_feat2,0.0
94,Tablet_Q5_feat3,0.0
95,Tablet_Q5_feat4,0.0
96,Tablet_Q5_feat6,0.0
97,Tablet_Q6_feat2,0.0
98,Tablet_Q6_feat4,0.0
99,Tablet_Q7_feat1,0.0
100,Tablet_Q7_feat2,0.0
101,Tablet_Q7_feat3,0.0
102,Tablet_Q8_feat1,0.0
103,Tablet_Q8_feat3,0.0
104,Tablet_Q9_feat1,0.0
105,Tablet_Q9_feat2,0.0
106,Tablet_Q9_feat4,0.0
107,Tablet_Q9_feat6,0.0
108,Tablet_Q10_feat1,0.0
109,Tablet_Q10_feat2,0.0
110,Tablet_Q10_feat4,0.0
111,Tablet_Q10_feat6,0.0
112,Tablet_Q10_feat7,0.0
113,Tablet_Q11_feat1,0.0
114,Tablet_Q11_feat3,0.0
115,Tablet_Q12_feat2,0.0
116,Tablet_Q13_feat1,0.0
117,location_2,0.0
