,features,Importance
0,Desktop_Computer_Q8_feat5,0.5460588793922126
1,Desktop_Computer_Q11_feat1,0.31909064101403123
2,Desktop_Computer_Q3_feat3,0.0741751812946951
3,Desktop_Computer_Q13_feat1,0.03018671557167226
4,Desktop_Computer_Q6_feat4,0.015282307052880698
5,Desktop_Computer_Q12_feat3,0.015206275674507951
6,Desktop_Computer_Q1_feat1,0.0
7,Desktop_Computer_Q1_feat2,0.0
8,Desktop_Computer_Q1_feat3,0.0
9,Desktop_Computer_Q1_feat4,0.0
10,Desktop_Computer_Q1_feat5,0.0
11,Desktop_Computer_Q1_feat7,0.0
12,Desktop_Computer_Q2_feat1,0.0
13,Desktop_Computer_Q2_feat2,0.0
14,Desktop_Computer_Q2_feat3,0.0
15,Desktop_Computer_Q2_feat5,0.0
16,Desktop_Computer_Q3_feat1,0.0
17,Desktop_Computer_Q3_feat2,0.0
18,Desktop_Computer_Q3_feat4,0.0
19,Desktop_Computer_Q3_feat6,0.0
20,Desktop_Computer_Q4_feat1,0.0
21,Desktop_Computer_Q4_feat3,0.0
22,Desktop_Computer_Q5_feat1,0.0
23,Desktop_Computer_Q5_feat2,0.0
24,Desktop_Computer_Q5_feat3,0.0
25,Desktop_Computer_Q5_feat4,0.0
26,Desktop_Computer_Q5_feat6,0.0
27,Desktop_Computer_Q6_feat1,0.0
28,Desktop_Computer_Q6_feat2,0.0
29,Desktop_Computer_Q6_feat3,0.0
30,Desktop_Computer_Q7_feat1,0.0
31,Desktop_Computer_Q7_feat2,0.0
32,Desktop_Computer_Q7_feat3,0.0
33,Desktop_Computer_Q7_feat5,0.0
34,Desktop_Computer_Q8_feat1,0.0
35,Desktop_Computer_Q8_feat2,0.0
36,Desktop_Computer_Q8_feat3,0.0
37,Desktop_Computer_Q9_feat1,0.0
38,Desktop_Computer_Q9_feat2,0.0
39,Desktop_Computer_Q9_feat3,0.0
40,Desktop_Computer_Q9_feat4,0.0
41,Desktop_Computer_Q9_feat6,0.0
42,Desktop_Computer_Q10_feat1,0.0
43,Desktop_Computer_Q10_feat2,0.0
44,Desktop_Computer_Q10_feat3,0.0
45,Desktop_Computer_Q10_feat4,0.0
46,Desktop_Computer_Q10_feat6,0.0
47,Desktop_Computer_Q10_feat7,0.0
48,Desktop_Computer_Q11_feat2,0.0
49,Desktop_Computer_Q11_feat3,0.0
50,Desktop_Computer_Q11_feat5,0.0
51,Desktop_Computer_Q12_feat1,0.0
52,Desktop_Computer_Q12_feat2,0.0
53,Desktop_Computer_Q12_feat5,0.0
54,Desktop_Computer_Q13_feat2,0.0
55,Desktop_Computer_Q13_feat4,0.0
