,features,Importance
0,Laptop_Q5_feat1,0.8319649698960045
1,Laptop_Q11_feat2,0.10502189381499707
2,Laptop_Q6_feat4,0.03911650672567615
3,Laptop_Q8_feat2,0.023896629563322207
4,Laptop_Q1_feat1,0.0
5,Laptop_Q1_feat2,0.0
6,Laptop_Q1_feat3,0.0
7,Laptop_Q1_feat4,0.0
8,Laptop_Q1_feat5,0.0
9,Laptop_Q1_feat7,0.0
10,Laptop_Q2_feat1,0.0
11,Laptop_Q2_feat2,0.0
12,Laptop_Q2_feat3,0.0
13,Laptop_Q2_feat5,0.0
14,Laptop_Q3_feat1,0.0
15,Laptop_Q3_feat2,0.0
16,Laptop_Q3_feat3,0.0
17,Laptop_Q3_feat4,0.0
18,Laptop_Q3_feat6,0.0
19,Laptop_Q4_feat1,0.0
20,Laptop_Q4_feat3,0.0
21,Laptop_Q5_feat2,0.0
22,Laptop_Q5_feat3,0.0
23,Laptop_Q5_feat4,0.0
24,Laptop_Q5_feat6,0.0
25,Laptop_Q6_feat1,0.0
26,Laptop_Q6_feat2,0.0
27,Laptop_Q6_feat3,0.0
28,Laptop_Q7_feat1,0.0
29,Laptop_Q7_feat2,0.0
30,Laptop_Q7_feat3,0.0
31,Laptop_Q7_feat5,0.0
32,Laptop_Q8_feat1,0.0
33,Laptop_Q8_feat3,0.0
34,Laptop_Q8_feat5,0.0
35,Laptop_Q9_feat1,0.0
36,Laptop_Q9_feat2,0.0
37,Laptop_Q9_feat3,0.0
38,Laptop_Q9_feat4,0.0
39,Laptop_Q9_feat6,0.0
40,Laptop_Q10_feat1,0.0
41,Laptop_Q10_feat2,0.0
42,Laptop_Q10_feat3,0.0
43,Laptop_Q10_feat4,0.0
44,Laptop_Q10_feat6,0.0
45,Laptop_Q10_feat7,0.0
46,Laptop_Q11_feat1,0.0
47,Laptop_Q11_feat3,0.0
48,Laptop_Q11_feat5,0.0
49,Laptop_Q12_feat1,0.0
50,Laptop_Q12_feat2,0.0
51,Laptop_Q12_feat3,0.0
52,Laptop_Q12_feat5,0.0
53,Laptop_Q13_feat1,0.0
54,Laptop_Q13_feat2,0.0
55,Laptop_Q13_feat4,0.0
