,features,Importance
0,Smart_Phone_Q1_feat2,0.37771198101115244
1,Smart_Phone_Q3_feat3,0.346271648312051
2,Smart_Phone_Q7_feat5,0.1705988679757626
3,Smart_Phone_Q5_feat1,0.08795319415639319
4,Smart_Phone_Q7_feat2,0.01746430854464088
5,Smart_Phone_Q1_feat1,0.0
6,Smart_Phone_Q1_feat3,0.0
7,Smart_Phone_Q1_feat4,0.0
8,Smart_Phone_Q1_feat5,0.0
9,Smart_Phone_Q1_feat7,0.0
10,Smart_Phone_Q2_feat1,0.0
11,Smart_Phone_Q2_feat2,0.0
12,Smart_Phone_Q2_feat3,0.0
13,Smart_Phone_Q2_feat5,0.0
14,Smart_Phone_Q3_feat1,0.0
15,Smart_Phone_Q3_feat2,0.0
16,Smart_Phone_Q3_feat4,0.0
17,Smart_Phone_Q3_feat6,0.0
18,Smart_Phone_Q4_feat1,0.0
19,Smart_Phone_Q4_feat3,0.0
20,Smart_Phone_Q5_feat2,0.0
21,Smart_Phone_Q5_feat3,0.0
22,Smart_Phone_Q5_feat4,0.0
23,Smart_Phone_Q5_feat6,0.0
24,Smart_Phone_Q6_feat1,0.0
25,Smart_Phone_Q6_feat2,0.0
26,Smart_Phone_Q6_feat3,0.0
27,Smart_Phone_Q6_feat4,0.0
28,Smart_Phone_Q7_feat1,0.0
29,Smart_Phone_Q7_feat3,0.0
30,Smart_Phone_Q8_feat1,0.0
31,Smart_Phone_Q8_feat2,0.0
32,Smart_Phone_Q8_feat3,0.0
33,Smart_Phone_Q8_feat5,0.0
34,Smart_Phone_Q9_feat1,0.0
35,Smart_Phone_Q9_feat2,0.0
36,Smart_Phone_Q9_feat3,0.0
37,Smart_Phone_Q9_feat4,0.0
38,Smart_Phone_Q9_feat6,0.0
39,Smart_Phone_Q10_feat1,0.0
40,Smart_Phone_Q10_feat2,0.0
41,Smart_Phone_Q10_feat3,0.0
42,Smart_Phone_Q10_feat4,0.0
43,Smart_Phone_Q10_feat6,0.0
44,Smart_Phone_Q10_feat7,0.0
45,Smart_Phone_Q11_feat1,0.0
46,Smart_Phone_Q11_feat2,0.0
47,Smart_Phone_Q11_feat3,0.0
48,Smart_Phone_Q11_feat5,0.0
49,Smart_Phone_Q12_feat1,0.0
50,Smart_Phone_Q12_feat2,0.0
51,Smart_Phone_Q12_feat3,0.0
52,Smart_Phone_Q12_feat5,0.0
53,Smart_Phone_Q13_feat1,0.0
54,Smart_Phone_Q13_feat2,0.0
55,Smart_Phone_Q13_feat4,0.0
