,features,Importance
0,Tablet_Q10_feat3,0.8338211864092778
1,Tablet_Q11_feat2,0.09156717672619642
2,Tablet_Q13_feat4,0.05182741834374724
3,Tablet_Q2_feat1,0.02278421852077846
4,Tablet_Q1_feat1,0.0
5,Tablet_Q1_feat2,0.0
6,Tablet_Q1_feat3,0.0
7,Tablet_Q1_feat4,0.0
8,Tablet_Q1_feat5,0.0
9,Tablet_Q1_feat7,0.0
10,Tablet_Q2_feat2,0.0
11,Tablet_Q2_feat3,0.0
12,Tablet_Q2_feat5,0.0
13,Tablet_Q3_feat1,0.0
14,Tablet_Q3_feat2,0.0
15,Tablet_Q3_feat3,0.0
16,Tablet_Q3_feat4,0.0
17,Tablet_Q3_feat6,0.0
18,Tablet_Q4_feat1,0.0
19,Tablet_Q4_feat3,0.0
20,Tablet_Q5_feat1,0.0
21,Tablet_Q5_feat2,0.0
22,Tablet_Q5_feat3,0.0
23,Tablet_Q5_feat4,0.0
24,Tablet_Q5_feat6,0.0
25,Tablet_Q6_feat1,0.0
26,Tablet_Q6_feat2,0.0
27,Tablet_Q6_feat3,0.0
28,Tablet_Q6_feat4,0.0
29,Tablet_Q7_feat1,0.0
30,Tablet_Q7_feat2,0.0
31,Tablet_Q7_feat3,0.0
32,Tablet_Q7_feat5,0.0
33,Tablet_Q8_feat1,0.0
34,Tablet_Q8_feat2,0.0
35,Tablet_Q8_feat3,0.0
36,Tablet_Q8_feat5,0.0
37,Tablet_Q9_feat1,0.0
38,Tablet_Q9_feat2,0.0
39,Tablet_Q9_feat3,0.0
40,Tablet_Q9_feat4,0.0
41,Tablet_Q9_feat6,0.0
42,Tablet_Q10_feat1,0.0
43,Tablet_Q10_feat2,0.0
44,Tablet_Q10_feat4,0.0
45,Tablet_Q10_feat6,0.0
46,Tablet_Q10_feat7,0.0
47,Tablet_Q11_feat1,0.0
48,Tablet_Q11_feat3,0.0
49,Tablet_Q11_feat5,0.0
50,Tablet_Q12_feat1,0.0
51,Tablet_Q12_feat2,0.0
52,Tablet_Q12_feat3,0.0
53,Tablet_Q12_feat5,0.0
54,Tablet_Q13_feat1,0.0
55,Tablet_Q13_feat2,0.0
