,features,Importance
0,Desktop_Computer_Q5_feat1,97.0
1,Desktop_Computer_Q10_feat3,90.0
2,Desktop_Computer_Q4_feat3,84.0
3,Desktop_Computer_Q1_feat4,83.0
4,Desktop_Computer_Q11_feat2,83.0
5,Desktop_Computer_Q9_feat3,81.0
6,Desktop_Computer_Q3_feat3,78.0
7,Desktop_Computer_Q8_feat5,65.0
8,Desktop_Computer_Q3_feat2,62.0
9,Desktop_Computer_Q11_feat1,60.0
10,Desktop_Computer_Q6_feat1,57.0
11,Desktop_Computer_Q13_feat1,56.0
12,Desktop_Computer_Q7_feat5,52.0
13,Desktop_Computer_Q3_feat1,50.0
14,Desktop_Computer_Q13_feat4,49.0
15,Desktop_Computer_Q2_feat5,47.0
16,Desktop_Computer_Q9_feat2,47.0
17,Desktop_Computer_Q12_feat5,46.0
18,Desktop_Computer_Q10_feat2,45.0
19,Desktop_Computer_Q2_feat1,43.0
20,Desktop_Computer_Q12_feat3,42.0
21,Desktop_Computer_Q9_feat1,40.0
22,Desktop_Computer_Q13_feat2,39.0
23,Desktop_Computer_Q1_feat2,37.0
24,Desktop_Computer_Q8_feat2,37.0
25,Desktop_Computer_Q7_feat3,36.0
26,Desktop_Computer_Q7_feat1,35.0
27,Desktop_Computer_Q12_feat1,35.0
29,Desktop_Computer_Q7_feat2,34.0
28,Desktop_Computer_Q6_feat3,34.0
30,Desktop_Computer_Q2_feat3,31.0
31,Desktop_Computer_Q6_feat2,29.0
32,Desktop_Computer_Q12_feat2,29.0
33,location_1,25.714285714285715
34,Desktop_Computer_Q4_feat1,25.0
35,Desktop_Computer_Q6_feat4,25.0
36,Desktop_Computer_Q8_feat1,20.0
37,Desktop_Computer_Q1_feat1,19.0
38,Desktop_Computer_Q5_feat2,19.0
39,Q1_feat4,18.05
40,Desktop_Computer_Q10_feat1,18.0
41,Desktop_Computer_Q8_feat3,17.0
42,location_3,16.753846153846155
44,Desktop_Computer_Q11_feat5,16.0
43,Desktop_Computer_Q11_feat3,16.0
45,Q4_feat3,15.144144144144144
46,Desktop_Computer_Q1_feat3,15.0
47,Desktop_Computer_Q1_feat5,15.0
48,Desktop_Computer_Q10_feat4,15.0
49,Desktop_Computer_Q5_feat3,14.0
50,Desktop_Computer_Q2_feat2,13.0
51,Desktop_Computer_Q9_feat6,13.0
52,Desktop_Computer_Q9_feat4,12.0
53,location_2,11.215384615384615
54,Desktop_Computer_Q5_feat4,11.0
55,Q4_feat1,10.572327044025156
56,Desktop_Computer_Q3_feat4,10.0
57,Desktop_Computer_Q10_feat7,10.0
58,Desktop_Computer_Q1_feat7,6.0
59,Desktop_Computer_Q5_feat6,5.0
60,Q9_feat1,4.853211009174312
61,Desktop_Computer_Q3_feat6,4.0
62,Desktop_Computer_Q10_feat6,4.0
63,Q6_feat4,3.903225806451613
64,Q3_feat2,3.61271676300578
65,Q10_feat2,3.033613445378151
66,Q5_feat4,2.8823529411764706
67,Q3_feat3,2.5
68,Q5_feat3,2.5
69,Relationship_3,2.45
70,Q13_feat1,2.102803738317757
71,Q3_feat6,2.0
72,Q11_feat3,2.0
73,Q10_feat3,1.6875
74,Q2_feat3,1.4285714285714286
75,Q11_feat1,1.3803680981595092
76,Q9_feat3,1.2430939226519337
77,Q8_feat3,1.2195121951219512
78,Q7_feat1,0.9090909090909091
79,Q1_feat3,0.8909090909090909
80,Q12_feat2,0.8421052631578947
81,Q3_feat4,0.75
82,Q8_feat5,0.64
83,Q12_feat5,0.6274509803921569
84,Relationship_1,0.6153846153846154
85,Q10_feat7,0.6
86,Q2_feat1,0.5161290322580645
87,Q9_feat2,0.44954128440366975
88,Q13_feat2,0.44954128440366975
89,Relationship_2,0.4186046511627907
90,Q7_feat2,0.3829787234042553
91,Q12_feat1,0.3684210526315789
92,Q7_feat5,0.3333333333333333
93,Q1_feat7,0.25
94,Q10_feat1,0.22857142857142856
95,Q6_feat2,0.21052631578947367
96,Q8_feat2,0.19083969465648856
97,Q7_feat3,0.19047619047619047
98,Q6_feat3,0.16326530612244897
99,Q12_feat3,0.1232876712328767
100,Q3_feat1,0.12307692307692308
101,Q5_feat2,0.11764705882352941
102,Q1_feat2,0.1152073732718894
103,Q6_feat1,0.11267605633802817
104,Q5_feat1,0.11013215859030837
105,Q2_feat5,0.0967741935483871
106,Q1_feat1,0.09473684210526316
107,Q5_feat6,0.06666666666666667
108,Q8_feat1,0.05714285714285714
109,Q10_feat6,0.037037037037037035
110,Q9_feat6,0.03225806451612903
111,Q9_feat4,0.022222222222222223
112,Q11_feat2,0.017543859649122806
113,Q1_feat5,0.010101010101010102
114,Q13_feat4,0.008130081300813009
115,Q2_feat2,0.0
116,Q10_feat4,0.0
117,Q11_feat5,0.0
