,features,Importance
0,Laptop_Q5_feat1,214.0
1,Laptop_Q10_feat3,201.0
2,Laptop_Q11_feat2,200.0
3,Laptop_Q3_feat3,175.0
4,Laptop_Q9_feat3,174.0
5,Laptop_Q1_feat4,157.0
6,Laptop_Q8_feat5,153.0
7,Laptop_Q3_feat2,137.0
8,Laptop_Q1_feat2,131.0
9,Laptop_Q4_feat3,130.0
10,Laptop_Q12_feat1,128.0
11,Laptop_Q2_feat1,124.0
12,Laptop_Q6_feat1,122.0
13,Laptop_Q11_feat1,121.0
14,Laptop_Q4_feat1,118.0
15,Laptop_Q13_feat1,116.0
16,Laptop_Q7_feat5,111.0
17,Laptop_Q9_feat2,111.0
18,Laptop_Q3_feat1,109.0
19,Laptop_Q13_feat4,108.0
20,Laptop_Q13_feat2,107.0
21,Laptop_Q12_feat5,96.0
22,Laptop_Q10_feat2,94.0
23,Laptop_Q7_feat1,92.0
24,Laptop_Q9_feat1,89.0
25,Laptop_Q2_feat5,87.0
26,Laptop_Q7_feat2,86.0
27,Laptop_Q7_feat3,83.0
28,Laptop_Q8_feat2,78.0
29,Laptop_Q6_feat3,72.0
30,Laptop_Q12_feat3,70.0
31,Laptop_Q6_feat2,68.0
32,Laptop_Q12_feat2,67.0
33,Laptop_Q6_feat4,57.0
34,Laptop_Q2_feat3,55.0
35,Laptop_Q8_feat3,48.0
36,Laptop_Q1_feat3,43.0
37,Laptop_Q1_feat5,40.0
38,Laptop_Q5_feat2,40.0
39,Laptop_Q1_feat1,38.0
40,Laptop_Q8_feat1,35.0
41,Q1_feat4,34.225
42,Laptop_Q10_feat1,31.0
43,Laptop_Q2_feat2,30.0
45,Laptop_Q10_feat4,29.0
44,Laptop_Q9_feat6,29.0
46,Laptop_Q11_feat5,28.0
47,Laptop_Q5_feat3,27.0
48,location_3,23.54022988505747
49,location_1,23.535564853556487
50,Laptop_Q3_feat4,22.0
51,Laptop_Q11_feat3,22.0
52,Laptop_Q9_feat4,20.0
53,Q4_feat3,18.322448979591837
54,Laptop_Q1_feat7,18.0
55,Laptop_Q10_feat7,18.0
56,Laptop_Q5_feat4,17.0
57,Laptop_Q3_feat6,14.0
58,Q4_feat1,13.087463556851311
59,Q2_feat3,11.130081300813009
60,Laptop_Q5_feat6,11.0
61,Laptop_Q10_feat6,11.0
62,Q1_feat3,9.469565217391304
63,Q1_feat7,7.048780487804878
64,Q6_feat2,6.2439024390243905
65,Q6_feat4,5.555555555555555
66,Q8_feat5,4.781094527363184
67,Relationship_2,4.545454545454546
68,Q9_feat2,3.8906882591093117
69,Q11_feat1,3.302857142857143
70,Q12_feat2,2.705521472392638
71,Q2_feat2,2.5789473684210527
72,Q5_feat3,2.380281690140845
73,Relationship_3,2.3255813953488373
74,Q1_feat1,2.1739130434782608
75,Q9_feat1,1.8867924528301887
76,Q10_feat1,1.8823529411764706
77,Q1_feat2,1.778012684989429
78,Q10_feat2,1.6641509433962265
79,Q5_feat2,1.6129032258064515
80,Q2_feat5,1.4820512820512821
81,Q5_feat6,1.4705882352941178
82,Q12_feat1,1.4459016393442623
83,Q13_feat1,1.4210526315789473
84,Q10_feat7,1.0588235294117647
85,Q3_feat4,0.8526315789473684
86,location_2,0.6914285714285714
87,Q10_feat3,0.6768149882903981
88,Q11_feat3,0.6666666666666666
89,Q3_feat3,0.6338028169014085
90,Q6_feat3,0.5734597156398105
91,Q5_feat4,0.5333333333333333
92,Relationship_1,0.45871559633027525
93,Q11_feat5,0.4444444444444444
94,Q3_feat6,0.4
95,Q7_feat5,0.3698630136986301
96,Q12_feat5,0.3047619047619048
97,Q6_feat1,0.28222996515679444
98,Q8_feat2,0.2709030100334448
99,Q7_feat3,0.25654450261780104
100,Q9_feat6,0.24242424242424243
101,Q8_feat3,0.20454545454545456
102,Q8_feat1,0.19083969465648856
103,Q2_feat1,0.16838487972508592
104,Q11_feat2,0.15976331360946747
105,Q7_feat1,0.144
106,Q5_feat1,0.12648221343873517
107,Q1_feat5,0.1091703056768559
108,Q3_feat2,0.0967741935483871
109,Q9_feat3,0.06329113924050633
110,Q13_feat2,0.03557312252964427
111,Q13_feat4,0.034220532319391636
112,Q12_feat3,0.024691358024691357
113,Q7_feat2,0.01652892561983471
114,Q10_feat6,0.015873015873015872
115,Q3_feat1,0.013513513513513514
116,Q9_feat4,0.011494252873563218
117,Q10_feat4,0.009345794392523364
