,features,Importance
0,Smart_Phone_Q4_feat1,276.0
1,Smart_Phone_Q1_feat2,274.0
2,Smart_Phone_Q5_feat1,257.0
3,Smart_Phone_Q11_feat2,255.0
4,Smart_Phone_Q10_feat3,236.0
5,Smart_Phone_Q9_feat3,195.0
6,Smart_Phone_Q12_feat1,181.0
7,Smart_Phone_Q3_feat1,174.0
8,Smart_Phone_Q2_feat1,167.0
9,Smart_Phone_Q3_feat3,160.0
10,Smart_Phone_Q3_feat2,156.0
11,Smart_Phone_Q6_feat1,146.0
12,Smart_Phone_Q8_feat5,143.0
13,Smart_Phone_Q7_feat1,141.0
16,Smart_Phone_Q13_feat4,139.0
14,Smart_Phone_Q8_feat2,139.0
15,Smart_Phone_Q13_feat2,139.0
17,Smart_Phone_Q7_feat2,128.0
18,Smart_Phone_Q2_feat5,127.0
19,Smart_Phone_Q10_feat2,127.0
20,Smart_Phone_Q7_feat5,120.0
21,Smart_Phone_Q11_feat1,119.0
22,Smart_Phone_Q12_feat5,111.0
23,Smart_Phone_Q1_feat5,110.0
24,Smart_Phone_Q7_feat3,110.0
25,Smart_Phone_Q9_feat2,110.0
26,Smart_Phone_Q13_feat1,108.0
27,Smart_Phone_Q10_feat1,104.0
28,Smart_Phone_Q1_feat1,102.0
29,Smart_Phone_Q6_feat2,99.0
30,Smart_Phone_Q6_feat3,93.0
31,Smart_Phone_Q9_feat1,92.0
32,Smart_Phone_Q12_feat2,82.0
33,Smart_Phone_Q8_feat3,79.0
34,Smart_Phone_Q12_feat3,74.0
35,Smart_Phone_Q8_feat1,60.0
36,Smart_Phone_Q5_feat2,56.0
37,Smart_Phone_Q9_feat6,56.0
38,Smart_Phone_Q6_feat4,55.0
39,Smart_Phone_Q10_feat4,52.0
40,Smart_Phone_Q4_feat3,50.0
41,Smart_Phone_Q2_feat3,48.0
42,Smart_Phone_Q11_feat5,44.0
43,Smart_Phone_Q1_feat3,43.0
44,Smart_Phone_Q10_feat7,34.0
45,Smart_Phone_Q9_feat4,33.0
46,Smart_Phone_Q5_feat3,31.0
47,Q10_feat6,30.39240506329114
48,Smart_Phone_Q2_feat2,30.0
49,Smart_Phone_Q3_feat4,29.0
50,Smart_Phone_Q3_feat6,28.0
51,Smart_Phone_Q11_feat3,28.0
52,Q7_feat2,23.352542372881356
53,Smart_Phone_Q1_feat4,23.0
54,Q4_feat3,22.615384615384617
55,Q7_feat5,22.15112540192926
56,Smart_Phone_Q1_feat7,21.0
57,Smart_Phone_Q5_feat6,20.0
58,location_1,17.687719298245614
59,Smart_Phone_Q10_feat6,17.0
60,Q7_feat1,15.621621621621621
61,Q4_feat1,15.206896551724139
62,Smart_Phone_Q5_feat4,15.0
63,Q12_feat2,14.405128205128205
64,Q9_feat3,14.363817097415508
65,Q3_feat1,12.562005277044856
66,Q2_feat1,11.504347826086956
67,Q10_feat1,11.0
68,Q7_feat3,10.974683544303797
69,Q8_feat1,10.666666666666666
70,Q12_feat5,9.925795053003533
71,Q13_feat2,9.1125
72,Q12_feat1,8.41
73,Q10_feat2,8.095808383233534
74,Q9_feat6,7.84
75,Q6_feat1,7.387978142076503
76,Q6_feat2,7.2727272727272725
77,Q6_feat3,7.250980392156863
78,location_2,7.056
79,Q13_feat4,6.7254901960784315
80,Q11_feat1,5.5707656612529
81,Q8_feat3,5.065116279069767
82,Q10_feat3,4.545454545454546
83,Q12_feat3,4.041237113402062
84,Q2_feat5,3.986206896551724
85,location_3,3.4896265560165975
86,Q5_feat3,3.1758241758241756
87,Q3_feat3,3.0087912087912088
88,Q10_feat7,2.864406779661017
89,Q5_feat4,2.813953488372093
90,Q6_feat4,2.8058252427184467
91,Q8_feat5,2.4545454545454546
92,Q9_feat2,2.1125
93,Q2_feat3,2.0
94,Q11_feat3,1.859504132231405
95,Q10_feat4,1.8028169014084507
96,Q11_feat5,1.6129032258064515
97,Relationship_1,1.3605442176870748
98,Q2_feat2,1.3595505617977528
99,Q1_feat4,1.2430939226519337
100,Relationship_2,1.1245136186770428
101,Q8_feat2,0.5051546391752577
102,Q3_feat6,0.45454545454545453
103,Q1_feat2,0.40634920634920635
104,Q3_feat2,0.35578947368421054
105,Q11_feat2,0.3424657534246575
106,Q9_feat1,0.30337078651685395
107,Q1_feat7,0.2857142857142857
108,Q13_feat1,0.2191780821917808
109,Q9_feat4,0.14285714285714285
110,Q1_feat5,0.1276595744680851
111,Q1_feat1,0.10460251046025104
112,Relationship_3,0.04
113,Q5_feat6,0.037037037037037035
114,Q3_feat4,0.03076923076923077
115,Q5_feat2,0.010309278350515464
116,Q1_feat3,0.007633587786259542
117,Q5_feat1,0.0
