,features,Importance
0,Smart_Speaker_Q10_feat2,107.0
1,Smart_Speaker_Q1_feat1,102.0
3,Smart_Speaker_Q13_feat4,97.0
4,Smart_Speaker_Q11_feat3,96.0
5,Smart_Speaker_Q9_feat4,95.0
6,Smart_Speaker_Q3_feat4,92.0
7,Smart_Speaker_Q12_feat5,92.0
8,Smart_Speaker_Q5_feat3,81.0
9,Smart_Speaker_Q2_feat5,76.0
10,Smart_Speaker_Q7_feat5,75.0
11,Smart_Speaker_Q6_feat2,68.0
12,Smart_Speaker_Q6_feat1,65.0
13,Smart_Speaker_Q8_feat1,59.0
14,Smart_Speaker_Q4_feat3,58.0
15,Smart_Speaker_Q5_feat4,56.0
16,Smart_Speaker_Q4_feat1,55.0
17,Smart_Speaker_Q8_feat2,53.0
18,location_1,46.58064516129032
19,Smart_Speaker_Q5_feat2,44.0
20,Smart_Speaker_Q10_feat4,40.0
21,Smart_Speaker_Q7_feat3,33.0
22,Smart_Speaker_Q2_feat2,32.0
23,Smart_Speaker_Q8_feat5,32.0
24,Smart_Speaker_Q6_feat3,31.0
25,Smart_Speaker_Q3_feat2,29.0
26,location_2,28.491525423728813
27,Q11_feat3,27.597014925373134
28,Smart_Speaker_Q8_feat3,26.0
29,Smart_Speaker_Q5_feat1,25.0
30,Q9_feat4,22.442622950819672
31,Smart_Speaker_Q9_feat2,21.0
32,Smart_Speaker_Q11_feat1,21.0
33,location_3,20.081967213114755
34,Smart_Speaker_Q11_feat2,19.0
35,Q3_feat4,17.285714285714285
36,Smart_Speaker_Q9_feat3,16.0
37,Smart_Speaker_Q12_feat1,16.0
38,Smart_Speaker_Q3_feat1,15.0
39,Smart_Speaker_Q3_feat3,15.0
40,Smart_Speaker_Q7_feat1,15.0
41,Smart_Speaker_Q13_feat2,15.0
42,Smart_Speaker_Q7_feat2,14.0
43,Smart_Speaker_Q2_feat3,13.0
44,Smart_Speaker_Q12_feat2,13.0
45,Q10_feat2,12.93006993006993
46,Smart_Speaker_Q1_feat2,12.0
47,Q1_feat1,11.781818181818181
48,Smart_Speaker_Q12_feat3,11.0
49,Smart_Speaker_Q1_feat3,10.0
50,Smart_Speaker_Q6_feat4,10.0
51,Smart_Speaker_Q10_feat1,10.0
52,Smart_Speaker_Q10_feat3,10.0
53,Smart_Speaker_Q13_feat1,10.0
54,Smart_Speaker_Q1_feat4,9.0
55,Smart_Speaker_Q2_feat1,9.0
56,Smart_Speaker_Q9_feat1,9.0
57,Smart_Speaker_Q11_feat5,9.0
58,Q5_feat4,7.117647058823529
60,Smart_Speaker_Q9_feat6,7.0
59,Smart_Speaker_Q1_feat5,7.0
61,Smart_Speaker_Q1_feat7,6.0
62,Smart_Speaker_Q3_feat6,6.0
63,Smart_Speaker_Q5_feat6,5.0
64,Q5_feat3,4.5675675675675675
65,Q1_feat4,4.333333333333333
66,Q10_feat4,4.121951219512195
67,Q7_feat5,4.10077519379845
68,Smart_Speaker_Q10_feat7,4.0
69,Q7_feat2,3.657142857142857
70,Q9_feat2,3.6
71,Q13_feat4,3.408450704225352
72,Q5_feat2,3.27027027027027
73,Q10_feat7,3.2
74,Q4_feat3,3.1946902654867255
75,Q7_feat3,3.0625
76,Q8_feat1,3.0
77,Q6_feat2,2.9696969696969697
78,Q2_feat1,2.7777777777777777
79,Q4_feat1,2.7557251908396947
80,Q6_feat1,2.597122302158273
81,Q12_feat3,2.4693877551020407
82,Q13_feat1,2.380281690140845
83,Q12_feat5,2.3495934959349594
84,Q12_feat1,2.3195876288659796
85,Relationship_2,2.1176470588235294
86,Q13_feat2,2.036144578313253
87,Q9_feat1,1.988235294117647
88,Q10_feat6,1.9230769230769231
89,Q1_feat5,1.469387755102041
90,Q6_feat4,1.4
91,Q2_feat2,1.3846153846153846
92,Q2_feat5,1.0707964601769913
93,Q8_feat3,0.9142857142857143
94,Q3_feat1,0.801980198019802
95,Relationship_1,0.801980198019802
96,Q10_feat3,0.8
97,Q5_feat1,0.75
98,Q2_feat3,0.6206896551724138
99,Q9_feat3,0.43783783783783786
100,Q7_feat1,0.3424657534246575
101,Q3_feat3,0.33793103448275863
102,Q10_feat1,0.2962962962962963
103,Q8_feat2,0.28125
104,Q11_feat2,0.2300469483568075
105,Q3_feat2,0.2222222222222222
106,Q3_feat6,0.2222222222222222
107,Q6_feat3,0.13846153846153847
108,Relationship_3,0.12
109,Q8_feat5,0.0989010989010989
110,Q5_feat6,0.07692307692307693
111,Q12_feat2,0.07692307692307693
112,Q9_feat6,0.04
113,Q1_feat3,0.030303030303030304
114,Q1_feat2,0.0196078431372549
115,Q11_feat1,0.006622516556291391
116,Q1_feat7,0.0
117,Q11_feat5,0.0
2,Smart_Speaker_Q10_feat6,
