,features,Importance
0,Smart_Watch_Q1_feat2,188.0
1,Smart_Watch_Q9_feat3,179.0
2,Smart_Watch_Q5_feat1,177.0
3,Smart_Watch_Q11_feat2,176.0
4,Smart_Watch_Q10_feat3,175.0
5,Smart_Watch_Q4_feat1,157.0
6,Smart_Watch_Q3_feat3,154.0
7,Smart_Watch_Q6_feat1,143.0
8,Smart_Watch_Q7_feat5,143.0
9,Smart_Watch_Q10_feat2,141.0
10,Smart_Watch_Q2_feat5,136.0
11,Smart_Watch_Q13_feat4,136.0
12,Smart_Watch_Q8_feat5,126.0
13,Smart_Watch_Q3_feat2,118.0
14,Smart_Watch_Q12_feat1,111.0
15,Smart_Watch_Q10_feat1,99.0
16,Smart_Watch_Q12_feat5,84.0
17,Smart_Watch_Q11_feat1,73.0
18,Smart_Watch_Q8_feat2,70.0
19,Smart_Watch_Q1_feat1,69.0
20,Smart_Watch_Q10_feat4,58.0
21,Smart_Watch_Q1_feat5,54.0
22,Smart_Watch_Q13_feat1,54.0
23,Smart_Watch_Q3_feat1,51.0
24,Smart_Watch_Q2_feat1,48.0
25,Smart_Watch_Q4_feat3,46.0
26,Smart_Watch_Q9_feat1,39.0
27,Smart_Watch_Q13_feat2,37.0
28,Smart_Watch_Q6_feat4,34.0
29,Smart_Watch_Q7_feat3,33.0
30,Smart_Watch_Q7_feat1,32.0
31,Smart_Watch_Q9_feat2,32.0
32,Smart_Watch_Q8_feat3,30.0
33,Smart_Watch_Q12_feat3,29.0
34,Smart_Watch_Q6_feat3,27.0
35,Smart_Watch_Q7_feat2,27.0
36,Smart_Watch_Q5_feat2,26.0
37,Smart_Watch_Q2_feat3,25.0
38,Smart_Watch_Q6_feat2,23.0
39,Smart_Watch_Q3_feat4,22.0
40,Q13_feat2,20.535211267605632
41,Smart_Watch_Q12_feat2,20.0
42,Smart_Watch_Q11_feat5,19.0
43,Q6_feat3,18.181818181818183
44,Smart_Watch_Q9_feat4,17.0
45,Smart_Watch_Q11_feat3,15.0
46,Q13_feat4,14.208163265306123
47,Smart_Watch_Q1_feat3,14.0
48,Smart_Watch_Q8_feat1,13.0
49,Smart_Watch_Q1_feat4,12.0
50,Smart_Watch_Q3_feat6,12.0
51,Smart_Watch_Q5_feat3,12.0
52,Smart_Watch_Q9_feat6,12.0
53,Q13_feat1,11.594202898550725
54,Smart_Watch_Q2_feat2,11.0
55,Q7_feat2,10.321428571428571
56,Q6_feat1,8.667870036101084
57,location_1,8.5
58,Smart_Watch_Q1_feat7,6.0
59,location_3,5.644295302013423
60,Q3_feat1,5.625
61,Q8_feat5,5.505376344086022
62,Smart_Watch_Q5_feat4,5.0
63,Smart_Watch_Q5_feat6,5.0
64,Q12_feat2,4.569620253164557
65,Q1_feat1,4.432624113475177
66,Q10_feat6,4.2631578947368425
67,Q10_feat2,4.233480176211454
68,Q1_feat4,4.188405797101449
69,Q8_feat1,4.188405797101449
70,Q7_feat5,4.054054054054054
71,Smart_Watch_Q10_feat7,4.0
72,Q7_feat1,3.5853658536585367
73,Q11_feat5,3.4571428571428573
74,Q8_feat2,3.4549763033175354
75,Q10_feat7,3.3333333333333335
76,Q10_feat4,3.282051282051282
77,Q3_feat3,3.149812734082397
78,Q9_feat2,3.0
79,Q11_feat1,2.793103448275862
80,Q10_feat3,2.710843373493976
81,Q9_feat3,2.694610778443114
82,Q5_feat6,2.6666666666666665
83,Q9_feat6,2.5
84,Q1_feat7,2.0
85,Q2_feat5,1.391304347826087
86,Q7_feat3,1.3333333333333333
87,Q3_feat6,1.3243243243243243
88,Q2_feat3,1.3157894736842106
89,Q3_feat2,1.2939068100358424
90,Q10_feat1,1.2222222222222223
91,Q12_feat5,1.1083743842364533
92,Relationship_1,1.1045751633986929
93,Q4_feat3,1.101123595505618
94,Q11_feat3,1.0425531914893618
95,Q6_feat2,1.0416666666666667
96,Smart_Watch_Q10_feat6,1.0
97,Q1_feat2,0.8005540166204986
98,Q4_feat1,0.7777777777777778
99,Q5_feat3,0.5813953488372093
100,Relationship_2,0.5664335664335665
101,Q8_feat3,0.45794392523364486
102,Q12_feat1,0.4576271186440678
103,Q11_feat2,0.3870967741935484
104,Q2_feat1,0.2737430167597765
105,Q12_feat3,0.19047619047619047
106,location_2,0.1724137931034483
107,Q5_feat4,0.16666666666666666
108,Q1_feat3,0.14754098360655737
109,Relationship_3,0.11940298507462686
110,Q2_feat2,0.09523809523809523
111,Q9_feat4,0.07407407407407407
112,Q6_feat4,0.06896551724137931
113,Q1_feat5,0.061224489795918366
114,Q5_feat1,0.045454545454545456
115,Q5_feat2,0.017543859649122806
116,Q3_feat4,0.014084507042253521
117,Q9_feat1,0.0
