,features,Importance
0,Tablet_Q5_feat1,275.0
1,Tablet_Q10_feat3,264.0
2,Tablet_Q11_feat2,258.0
3,Tablet_Q1_feat2,245.0
4,Tablet_Q9_feat3,238.0
5,Tablet_Q4_feat1,218.0
6,Tablet_Q3_feat3,205.0
7,Tablet_Q8_feat5,174.0
8,Tablet_Q6_feat1,168.0
9,Tablet_Q7_feat5,168.0
10,Tablet_Q13_feat4,156.0
11,Tablet_Q3_feat2,155.0
12,Tablet_Q2_feat1,152.0
13,Tablet_Q12_feat5,149.0
14,Tablet_Q11_feat1,128.0
15,Tablet_Q1_feat3,122.0
16,Tablet_Q12_feat1,119.0
17,Tablet_Q10_feat2,118.0
18,Tablet_Q13_feat1,116.0
19,Tablet_Q3_feat1,111.0
20,Tablet_Q8_feat2,109.0
21,Tablet_Q2_feat5,105.0
22,Tablet_Q13_feat2,103.0
23,Tablet_Q9_feat2,94.0
24,Tablet_Q9_feat1,88.0
25,Tablet_Q7_feat1,82.0
26,Tablet_Q4_feat3,81.0
27,Tablet_Q1_feat5,71.0
28,Tablet_Q7_feat2,71.0
29,Tablet_Q7_feat3,68.0
30,Tablet_Q12_feat3,65.0
31,Tablet_Q6_feat3,64.0
32,Tablet_Q6_feat4,61.0
33,Tablet_Q2_feat3,53.0
34,Tablet_Q8_feat3,52.0
35,Tablet_Q1_feat1,51.0
36,Tablet_Q6_feat2,50.0
37,Tablet_Q12_feat2,50.0
38,Tablet_Q8_feat1,33.0
39,Tablet_Q10_feat1,32.0
40,Tablet_Q1_feat4,30.0
41,Tablet_Q11_feat5,30.0
42,Tablet_Q3_feat4,26.0
43,Tablet_Q5_feat2,26.0
44,Tablet_Q2_feat2,24.0
45,Tablet_Q9_feat4,23.0
46,Tablet_Q3_feat6,22.0
47,Tablet_Q9_feat6,20.0
48,Tablet_Q11_feat3,20.0
49,Tablet_Q1_feat7,19.0
50,Tablet_Q5_feat3,18.0
51,Tablet_Q10_feat4,17.0
52,Tablet_Q10_feat7,14.0
53,Q4_feat3,12.940520446096654
54,Tablet_Q5_feat6,11.0
55,Tablet_Q5_feat4,10.0
56,Q10_feat2,9.522033898305084
57,Q4_feat1,8.724310776942357
58,location_1,6.584415584415584
59,Q3_feat1,6.4696485623003195
60,Q11_feat1,6.095238095238095
61,Q9_feat3,5.642082429501085
62,Q9_feat6,5.444444444444445
63,Q10_feat4,5.433962264150943
64,Q9_feat4,4.846153846153846
65,Q7_feat5,4.39068100358423
66,Q1_feat3,4.371900826446281
67,location_3,4.090909090909091
68,Tablet_Q10_feat6,4.0
69,Q1_feat7,3.92
70,Q12_feat5,3.4615384615384617
71,Q10_feat1,3.3270440251572326
72,Q7_feat3,3.2815533980582523
73,Q6_feat2,2.951219512195122
74,Q12_feat3,2.6407185628742513
75,Q1_feat4,2.597122302158273
76,Q12_feat1,2.5255255255255253
77,Q6_feat1,2.3824362606232294
78,Q1_feat5,2.1769547325102883
79,Q9_feat1,2.1607142857142856
80,Q9_feat2,2.033613445378151
81,Q7_feat2,1.9090909090909092
82,Q6_feat3,1.7609756097560976
83,Q11_feat2,1.671304347826087
84,Q10_feat6,1.653061224489796
85,Q11_feat5,1.653061224489796
86,Q5_feat4,1.4848484848484849
87,Q12_feat2,1.3424657534246576
88,Q3_feat3,1.2346938775510203
89,Q3_feat6,1.0888888888888888
90,Q6_feat4,1.0869565217391304
91,Q8_feat5,1.0823970037453183
92,Q2_feat3,0.968
93,Q5_feat1,0.9429590017825312
94,Q11_feat3,0.7864077669902912
95,Q2_feat1,0.6363636363636364
96,Q10_feat3,0.5140562248995983
97,Q5_feat6,0.391304347826087
98,Q10_feat7,0.38095238095238093
99,location_2,0.37327188940092165
100,Q13_feat4,0.3723076923076923
101,Q13_feat1,0.3389121338912134
102,Q3_feat2,0.2972972972972973
103,Q8_feat3,0.20689655172413793
104,Q5_feat2,0.11392405063291139
105,Q1_feat2,0.06642066420664207
106,Q8_feat2,0.049689440993788817
107,Q1_feat1,0.04477611940298507
108,Q13_feat2,0.03474903474903475
109,Relationship_2,0.01834862385321101
110,Relationship_1,0.01639344262295082
111,Q2_feat2,0.014492753623188406
112,Q5_feat3,0.014492753623188406
113,Q3_feat4,0.009708737864077669
114,Q7_feat1,0.00398406374501992
115,Q2_feat5,0.003952569169960474
116,Q8_feat1,0.0
117,Relationship_3,0.0
