,features,Importance
73,Desktop_Computer_Q5_feat1,103.0
97,Desktop_Computer_Q10_feat3,94.0
102,Desktop_Computer_Q11_feat2,88.0
72,Desktop_Computer_Q4_feat3,88.0
59,Desktop_Computer_Q1_feat4,87.0
92,Desktop_Computer_Q9_feat3,85.0
68,Desktop_Computer_Q3_feat3,82.0
101,Desktop_Computer_Q11_feat1,66.0
89,Desktop_Computer_Q8_feat5,66.0
67,Desktop_Computer_Q3_feat2,66.0
109,Desktop_Computer_Q13_feat1,61.0
78,Desktop_Computer_Q6_feat1,60.0
66,Desktop_Computer_Q3_feat1,56.0
91,Desktop_Computer_Q9_feat2,52.0
85,Desktop_Computer_Q7_feat5,52.0
111,Desktop_Computer_Q13_feat4,49.0
65,Desktop_Computer_Q2_feat5,48.0
96,Desktop_Computer_Q10_feat2,48.0
108,Desktop_Computer_Q12_feat5,47.0
62,Desktop_Computer_Q2_feat1,46.0
107,Desktop_Computer_Q12_feat3,46.0
90,Desktop_Computer_Q9_feat1,45.0
110,Desktop_Computer_Q13_feat2,45.0
57,Desktop_Computer_Q1_feat2,42.0
82,Desktop_Computer_Q7_feat1,41.0
87,Desktop_Computer_Q8_feat2,41.0
84,Desktop_Computer_Q7_feat3,40.0
83,Desktop_Computer_Q7_feat2,39.0
105,Desktop_Computer_Q12_feat1,37.0
80,Desktop_Computer_Q6_feat3,36.0
64,Desktop_Computer_Q2_feat3,35.0
106,Desktop_Computer_Q12_feat2,33.0
79,Desktop_Computer_Q6_feat2,33.0
71,Desktop_Computer_Q4_feat1,27.0
112,location_1,25.312925170068027
81,Desktop_Computer_Q6_feat4,25.0
86,Desktop_Computer_Q8_feat1,23.0
56,Desktop_Computer_Q1_feat1,21.0
95,Desktop_Computer_Q10_feat1,20.0
88,Desktop_Computer_Q8_feat3,20.0
74,Desktop_Computer_Q5_feat2,20.0
98,Desktop_Computer_Q10_feat4,19.0
103,Desktop_Computer_Q11_feat3,17.0
60,Desktop_Computer_Q1_feat5,17.0
58,Desktop_Computer_Q1_feat3,16.0
104,Desktop_Computer_Q11_feat5,16.0
3,Q1_feat4,15.68041237113402
75,Desktop_Computer_Q5_feat3,15.0
63,Desktop_Computer_Q2_feat2,14.0
69,Desktop_Computer_Q3_feat4,13.0
94,Desktop_Computer_Q9_feat6,13.0
93,Desktop_Computer_Q9_feat4,13.0
114,location_3,12.487804878048781
76,Desktop_Computer_Q5_feat4,12.0
113,location_2,11.520547945205479
100,Desktop_Computer_Q10_feat7,11.0
16,Q4_feat3,9.32258064516129
15,Q4_feat1,6.49438202247191
61,Desktop_Computer_Q1_feat7,6.0
77,Desktop_Computer_Q5_feat6,5.0
44,Q10_feat7,4.84
34,Q9_feat1,4.645161290322581
20,Q5_feat4,4.2631578947368425
70,Desktop_Computer_Q3_feat6,4.0
99,Desktop_Computer_Q10_feat6,4.0
19,Q5_feat3,3.7555555555555555
47,Q11_feat3,3.6296296296296298
11,Q3_feat2,3.306878306878307
30,Q8_feat1,3.1690140845070425
14,Q3_feat6,2.5789473684210527
12,Q3_feat3,2.43646408839779
50,Q12_feat2,2.227272727272727
2,Q1_feat3,1.7241379310344827
27,Q7_feat2,1.6333333333333333
38,Q9_feat6,1.5238095238095237
23,Q6_feat2,1.3908045977011494
48,Q11_feat5,1.3846153846153846
21,Q5_feat6,1.3333333333333333
26,Q7_feat1,1.2706766917293233
22,Q6_feat1,1.2335766423357664
45,Q11_feat1,1.1904761904761905
13,Q3_feat4,1.1428571428571428
41,Q10_feat3,1.0273972602739727
8,Q2_feat3,1.0253164556962024
7,Q2_feat2,0.9473684210526315
115,Relationship_1,0.9090909090909091
40,Q10_feat2,0.8962962962962963
9,Q2_feat5,0.8901098901098901
117,Relationship_3,0.8350515463917526
42,Q10_feat4,0.6428571428571429
53,Q13_feat1,0.627906976744186
54,Q13_feat2,0.6183206106870229
36,Q9_feat3,0.6080402010050251
39,Q10_feat1,0.4864864864864865
1,Q1_feat2,0.4859437751004016
0,Q1_feat1,0.47572815533980584
46,Q11_feat2,0.4
17,Q5_feat1,0.3968253968253968
43,Q10_feat6,0.3103448275862069
10,Q3_feat1,0.23376623376623376
25,Q6_feat4,0.23076923076923078
28,Q7_feat3,0.1702127659574468
31,Q8_feat2,0.17006802721088435
55,Q13_feat4,0.125
52,Q12_feat5,0.07964601769911504
32,Q8_feat3,0.045454545454545456
51,Q12_feat3,0.045454545454545456
4,Q1_feat5,0.03571428571428571
24,Q6_feat3,0.034482758620689655
6,Q2_feat1,0.0273972602739726
37,Q9_feat4,0.02040816326530612
116,Relationship_2,0.010526315789473684
29,Q7_feat5,0.008849557522123894
33,Q8_feat5,0.008849557522123894
35,Q9_feat2,0.0072992700729927005
49,Q12_feat1,0.006622516556291391
18,Q5_feat2,0.0
5,Q1_feat7,0.0
