,features,Importance
17,Laptop_Q5_feat1,227.0
46,Laptop_Q11_feat2,211.0
41,Laptop_Q10_feat3,211.0
12,Laptop_Q3_feat3,182.0
36,Laptop_Q9_feat3,180.0
3,Laptop_Q1_feat4,167.0
33,Laptop_Q8_feat5,161.0
11,Laptop_Q3_feat2,146.0
1,Laptop_Q1_feat2,138.0
49,Laptop_Q12_feat1,138.0
16,Laptop_Q4_feat3,135.0
6,Laptop_Q2_feat1,132.0
22,Laptop_Q6_feat1,129.0
45,Laptop_Q11_feat1,129.0
15,Laptop_Q4_feat1,128.0
53,Laptop_Q13_feat1,126.0
35,Laptop_Q9_feat2,119.0
10,Laptop_Q3_feat1,117.0
29,Laptop_Q7_feat5,115.0
54,Laptop_Q13_feat2,114.0
55,Laptop_Q13_feat4,112.0
40,Laptop_Q10_feat2,101.0
52,Laptop_Q12_feat5,100.0
26,Laptop_Q7_feat1,99.0
34,Laptop_Q9_feat1,98.0
9,Laptop_Q2_feat5,93.0
27,Laptop_Q7_feat2,92.0
28,Laptop_Q7_feat3,87.0
31,Laptop_Q8_feat2,84.0
24,Laptop_Q6_feat3,76.0
51,Laptop_Q12_feat3,76.0
23,Laptop_Q6_feat2,75.0
50,Laptop_Q12_feat2,74.0
25,Laptop_Q6_feat4,60.0
8,Laptop_Q2_feat3,59.0
32,Laptop_Q8_feat3,53.0
2,Laptop_Q1_feat3,45.0
4,Laptop_Q1_feat5,44.0
0,Laptop_Q1_feat1,44.0
18,Laptop_Q5_feat2,43.0
30,Laptop_Q8_feat1,39.0
39,Laptop_Q10_feat1,35.0
7,Laptop_Q2_feat2,35.0
42,Laptop_Q10_feat4,34.0
48,Laptop_Q11_feat5,32.0
38,Laptop_Q9_feat6,32.0
19,Laptop_Q5_feat3,29.0
13,Laptop_Q3_feat4,26.0
47,Laptop_Q11_feat3,24.0
37,Laptop_Q9_feat4,22.0
44,Laptop_Q10_feat7,21.0
5,Laptop_Q1_feat7,20.0
20,Laptop_Q5_feat4,19.0
14,Laptop_Q3_feat6,17.0
21,Laptop_Q5_feat6,13.0
43,Laptop_Q10_feat6,12.0
