,features,Importance
15,Smart_Phone_Q4_feat1,274.0
1,Smart_Phone_Q1_feat2,270.0
46,Smart_Phone_Q11_feat2,256.0
17,Smart_Phone_Q5_feat1,251.0
41,Smart_Phone_Q10_feat3,238.0
36,Smart_Phone_Q9_feat3,195.0
49,Smart_Phone_Q12_feat1,180.0
12,Smart_Phone_Q3_feat3,169.0
11,Smart_Phone_Q3_feat2,169.0
10,Smart_Phone_Q3_feat1,167.0
6,Smart_Phone_Q2_feat1,165.0
22,Smart_Phone_Q6_feat1,147.0
55,Smart_Phone_Q13_feat4,143.0
26,Smart_Phone_Q7_feat1,139.0
31,Smart_Phone_Q8_feat2,138.0
54,Smart_Phone_Q13_feat2,136.0
33,Smart_Phone_Q8_feat5,135.0
40,Smart_Phone_Q10_feat2,131.0
45,Smart_Phone_Q11_feat1,130.0
27,Smart_Phone_Q7_feat2,125.0
9,Smart_Phone_Q2_feat5,124.0
29,Smart_Phone_Q7_feat5,121.0
39,Smart_Phone_Q10_feat1,112.0
52,Smart_Phone_Q12_feat5,106.0
35,Smart_Phone_Q9_feat2,102.0
0,Smart_Phone_Q1_feat1,102.0
28,Smart_Phone_Q7_feat3,102.0
4,Smart_Phone_Q1_feat5,101.0
23,Smart_Phone_Q6_feat2,100.0
24,Smart_Phone_Q6_feat3,99.0
53,Smart_Phone_Q13_feat1,99.0
34,Smart_Phone_Q9_feat1,88.0
51,Smart_Phone_Q12_feat3,85.0
50,Smart_Phone_Q12_feat2,81.0
32,Smart_Phone_Q8_feat3,79.0
30,Smart_Phone_Q8_feat1,65.0
18,Smart_Phone_Q5_feat2,57.0
42,Smart_Phone_Q10_feat4,53.0
38,Smart_Phone_Q9_feat6,51.0
25,Smart_Phone_Q6_feat4,50.0
16,Smart_Phone_Q4_feat3,48.0
8,Smart_Phone_Q2_feat3,48.0
2,Smart_Phone_Q1_feat3,38.0
48,Smart_Phone_Q11_feat5,36.0
44,Smart_Phone_Q10_feat7,32.0
19,Smart_Phone_Q5_feat3,32.0
14,Smart_Phone_Q3_feat6,31.0
7,Smart_Phone_Q2_feat2,31.0
13,Smart_Phone_Q3_feat4,29.0
47,Smart_Phone_Q11_feat3,27.0
37,Smart_Phone_Q9_feat4,26.0
5,Smart_Phone_Q1_feat7,23.0
3,Smart_Phone_Q1_feat4,22.0
21,Smart_Phone_Q5_feat6,21.0
20,Smart_Phone_Q5_feat4,12.0
43,Smart_Phone_Q10_feat6,9.0
