,features,Importance
96,Smart_Speaker_Q10_feat2,110.0
56,Smart_Speaker_Q1_feat1,106.0
111,Smart_Speaker_Q13_feat4,100.0
103,Smart_Speaker_Q11_feat3,99.0
93,Smart_Speaker_Q9_feat4,98.0
69,Smart_Speaker_Q3_feat4,95.0
108,Smart_Speaker_Q12_feat5,94.0
75,Smart_Speaker_Q5_feat3,83.0
65,Smart_Speaker_Q2_feat5,77.0
85,Smart_Speaker_Q7_feat5,77.0
79,Smart_Speaker_Q6_feat2,71.0
78,Smart_Speaker_Q6_feat1,68.0
86,Smart_Speaker_Q8_feat1,63.0
72,Smart_Speaker_Q4_feat3,59.0
71,Smart_Speaker_Q4_feat1,59.0
76,Smart_Speaker_Q5_feat4,57.0
87,Smart_Speaker_Q8_feat2,55.0
74,Smart_Speaker_Q5_feat2,45.0
98,Smart_Speaker_Q10_feat4,41.0
84,Smart_Speaker_Q7_feat3,35.0
63,Smart_Speaker_Q2_feat2,35.0
112,location_1,34.0
89,Smart_Speaker_Q8_feat5,33.0
80,Smart_Speaker_Q6_feat3,32.0
67,Smart_Speaker_Q3_feat2,30.0
73,Smart_Speaker_Q5_feat1,27.0
88,Smart_Speaker_Q8_feat3,27.0
13,Q3_feat4,26.682539682539684
47,Q11_feat3,25.328767123287673
101,Smart_Speaker_Q11_feat1,23.0
91,Smart_Speaker_Q9_feat2,23.0
113,location_2,22.5625
102,Smart_Speaker_Q11_feat2,21.0
105,Smart_Speaker_Q12_feat1,19.0
37,Q9_feat4,17.253521126760564
110,Smart_Speaker_Q13_feat2,17.0
82,Smart_Speaker_Q7_feat1,17.0
92,Smart_Speaker_Q9_feat3,17.0
66,Smart_Speaker_Q3_feat1,17.0
0,Q1_feat1,16.078260869565216
68,Smart_Speaker_Q3_feat3,16.0
83,Smart_Speaker_Q7_feat2,15.0
106,Smart_Speaker_Q12_feat2,15.0
64,Smart_Speaker_Q2_feat3,14.0
114,location_3,13.636363636363637
57,Smart_Speaker_Q1_feat2,13.0
95,Smart_Speaker_Q10_feat1,12.0
107,Smart_Speaker_Q12_feat3,12.0
81,Smart_Speaker_Q6_feat4,11.0
90,Smart_Speaker_Q9_feat1,11.0
97,Smart_Speaker_Q10_feat3,11.0
109,Smart_Speaker_Q13_feat1,11.0
62,Smart_Speaker_Q2_feat1,11.0
58,Smart_Speaker_Q1_feat3,11.0
104,Smart_Speaker_Q11_feat5,10.0
59,Smart_Speaker_Q1_feat4,10.0
40,Q10_feat2,8.61006289308176
6,Q2_feat1,8.504424778761061
55,Q13_feat4,8.376811594202898
60,Smart_Speaker_Q1_feat5,8.0
94,Smart_Speaker_Q9_feat6,8.0
70,Smart_Speaker_Q3_feat6,7.0
77,Smart_Speaker_Q5_feat6,7.0
61,Smart_Speaker_Q1_feat7,7.0
53,Q13_feat1,6.4
54,Q13_feat2,6.2592592592592595
52,Q12_feat5,6.126050420168068
9,Q2_feat5,6.067961165048544
29,Q7_feat5,5.564885496183206
100,Smart_Speaker_Q10_feat7,5.0
20,Q5_feat4,4.545454545454546
49,Q12_feat1,3.389830508474576
28,Q7_feat3,2.8
27,Q7_feat2,2.7777777777777777
16,Q4_feat3,2.7
23,Q6_feat2,2.5789473684210527
35,Q9_feat2,2.56
15,Q4_feat1,2.219178082191781
22,Q6_feat1,2.103896103896104
19,Q5_feat3,1.7234042553191489
51,Q12_feat3,1.528301886792453
5,Q1_feat7,1.4705882352941178
4,Q1_feat5,1.3584905660377358
39,Q10_feat1,1.2820512820512822
116,Relationship_2,1.0253164556962024
50,Q12_feat2,0.9696969696969697
42,Q10_feat4,0.9245283018867925
26,Q7_feat1,0.8901098901098901
34,Q9_feat1,0.8901098901098901
48,Q11_feat5,0.8888888888888888
14,Q3_feat6,0.8888888888888888
8,Q2_feat3,0.8032786885245902
10,Q3_feat1,0.7168141592920354
30,Q8_feat1,0.5294117647058824
44,Q10_feat7,0.5294117647058824
36,Q9_feat3,0.5
115,Relationship_1,0.47572815533980584
31,Q8_feat2,0.47058823529411764
11,Q3_feat2,0.37209302325581395
21,Q5_feat6,0.3333333333333333
17,Q5_feat1,0.3106796116504854
24,Q6_feat3,0.30864197530864196
2,Q1_feat3,0.20930232558139536
3,Q1_feat4,0.16363636363636364
1,Q1_feat2,0.16071428571428573
38,Q9_feat6,0.15384615384615385
32,Q8_feat3,0.1267605633802817
25,Q6_feat4,0.125
7,Q2_feat2,0.1
12,Q3_feat3,0.09876543209876543
43,Q10_feat6,0.06666666666666667
45,Q11_feat1,0.055900621118012424
117,Relationship_3,0.047619047619047616
18,Q5_feat2,0.0196078431372549
46,Q11_feat2,0.017699115044247787
33,Q8_feat5,0.009900990099009901
41,Q10_feat3,0.0
99,Smart_Speaker_Q10_feat6,
