,features,Importance
73,Tablet_Q5_feat1,289.0
97,Tablet_Q10_feat3,278.0
102,Tablet_Q11_feat2,271.0
57,Tablet_Q1_feat2,259.0
92,Tablet_Q9_feat3,252.0
71,Tablet_Q4_feat1,233.0
68,Tablet_Q3_feat3,218.0
89,Tablet_Q8_feat5,188.0
78,Tablet_Q6_feat1,183.0
85,Tablet_Q7_feat5,182.0
111,Tablet_Q13_feat4,169.0
67,Tablet_Q3_feat2,165.0
108,Tablet_Q12_feat5,161.0
62,Tablet_Q2_feat1,161.0
101,Tablet_Q11_feat1,130.0
58,Tablet_Q1_feat3,128.0
96,Tablet_Q10_feat2,127.0
105,Tablet_Q12_feat1,124.0
109,Tablet_Q13_feat1,119.0
66,Tablet_Q3_feat1,115.0
65,Tablet_Q2_feat5,113.0
87,Tablet_Q8_feat2,112.0
110,Tablet_Q13_feat2,106.0
91,Tablet_Q9_feat2,98.0
90,Tablet_Q9_feat1,90.0
82,Tablet_Q7_feat1,85.0
72,Tablet_Q4_feat3,84.0
60,Tablet_Q1_feat5,72.0
83,Tablet_Q7_feat2,72.0
84,Tablet_Q7_feat3,70.0
107,Tablet_Q12_feat3,67.0
80,Tablet_Q6_feat3,64.0
81,Tablet_Q6_feat4,64.0
64,Tablet_Q2_feat3,54.0
56,Tablet_Q1_feat1,54.0
88,Tablet_Q8_feat3,53.0
106,Tablet_Q12_feat2,52.0
79,Tablet_Q6_feat2,51.0
86,Tablet_Q8_feat1,35.0
104,Tablet_Q11_feat5,35.0
95,Tablet_Q10_feat1,34.0
59,Tablet_Q1_feat4,30.0
74,Tablet_Q5_feat2,27.0
70,Tablet_Q3_feat6,26.0
69,Tablet_Q3_feat4,26.0
63,Tablet_Q2_feat2,24.0
94,Tablet_Q9_feat6,23.0
93,Tablet_Q9_feat4,23.0
61,Tablet_Q1_feat7,22.0
103,Tablet_Q11_feat3,20.0
75,Tablet_Q5_feat3,18.0
100,Tablet_Q10_feat7,17.0
98,Tablet_Q10_feat4,17.0
16,Q4_feat3,14.52482269503546
77,Tablet_Q5_feat6,14.0
2,Q1_feat3,11.504201680672269
76,Tablet_Q5_feat4,10.0
40,Q10_feat2,9.560975609756097
15,Q4_feat1,9.061946902654867
29,Q7_feat5,8.424561403508772
36,Q9_feat3,6.459244532803181
3,Q1_feat4,6.338028169014085
42,Q10_feat4,5.434782608695652
112,location_1,5.41106719367589
38,Q9_feat6,5.377777777777778
5,Q1_feat7,5.254545454545455
10,Q3_feat1,4.790419161676646
52,Q12_feat5,4.628571428571429
99,Tablet_Q10_feat6,4.0
27,Q7_feat2,3.989010989010989
45,Q11_feat1,3.7383177570093458
28,Q7_feat3,3.7377777777777776
22,Q6_feat1,3.593175853018373
23,Q6_feat2,3.306878306878307
25,Q6_feat4,3.10752688172043
24,Q6_feat3,2.888888888888889
43,Q10_feat6,2.7704918032786887
51,Q12_feat3,2.6021505376344085
50,Q12_feat2,2.5491329479768785
39,Q10_feat1,2.2988505747126435
37,Q9_feat4,2.0851063829787235
4,Q1_feat5,1.875968992248062
49,Q12_feat1,1.8469945355191257
114,location_3,1.680672268907563
6,Q2_feat1,1.6744186046511629
41,Q10_feat3,1.577861163227017
33,Q8_feat5,1.3513513513513513
113,location_2,1.1893004115226338
44,Q10_feat7,1.1851851851851851
46,Q11_feat2,1.0595611285266457
34,Q9_feat1,1.032258064516129
35,Q9_feat2,0.927536231884058
14,Q3_feat6,0.9245283018867925
48,Q11_feat5,0.8909090909090909
55,Q13_feat4,0.8186968838526912
115,Relationship_1,0.6950354609929078
17,Q5_feat1,0.6472491909385113
8,Q2_feat3,0.627906976744186
31,Q8_feat2,0.5044776119402985
54,Q13_feat2,0.41580756013745707
9,Q2_feat5,0.35714285714285715
30,Q8_feat1,0.3081761006289308
12,Q3_feat3,0.27069351230425054
117,Relationship_3,0.2237442922374429
116,Relationship_2,0.21030042918454936
18,Q5_feat2,0.18181818181818182
20,Q5_feat4,0.125
0,Q1_feat1,0.07017543859649122
19,Q5_feat3,0.05128205128205128
47,Q11_feat3,0.037037037037037035
32,Q8_feat3,0.02040816326530612
1,Q1_feat2,0.014827018121911038
7,Q2_feat2,0.012987012987012988
11,Q3_feat2,0.008733624454148471
26,Q7_feat1,0.003367003367003367
53,Q13_feat1,0.0
21,Q5_feat6,0.0
13,Q3_feat4,0.0
