,selected_features
0,Q1_feat4
1,Q1_feat5
2,Q1_feat7
3,Q2_feat1
4,Q2_feat2
5,Q2_feat3
6,Q2_feat5
7,Q3_feat4
8,Q5_feat2
9,Q5_feat4
10,Q5_feat6
11,Q9_feat4
12,Desktop_Computer_Q1_feat2
13,Desktop_Computer_Q2_feat1
14,Desktop_Computer_Q3_feat1
15,Desktop_Computer_Q4_feat1
16,Desktop_Computer_Q5_feat1
17,Desktop_Computer_Q6_feat1
18,Desktop_Computer_Q6_feat4
19,Desktop_Computer_Q10_feat3
20,Desktop_Computer_Q12_feat5
21,Desktop_Computer_Q13_feat1
22,Desktop_Computer_Q13_feat4
23,location_1
24,location_2
