,selected_features
0,Q1_feat1
1,Q1_feat2
2,Q1_feat3
3,Q1_feat4
4,Q1_feat5
5,Q2_feat5
6,Q3_feat1
7,Q3_feat2
8,Q3_feat3
9,Q3_feat4
10,Q3_feat6
11,Q4_feat1
12,Q4_feat3
13,Q5_feat2
14,Q5_feat3
15,Q5_feat4
16,Q6_feat1
17,Q6_feat3
18,Q9_feat4
19,Q10_feat4
20,Q10_feat6
21,Q12_feat1
22,Q13_feat1
23,Q13_feat2
24,Q13_feat4
25,Smart_Watch_Q1_feat1
26,Smart_Watch_Q1_feat2
27,Smart_Watch_Q1_feat7
28,Smart_Watch_Q2_feat1
29,Smart_Watch_Q2_feat3
30,Smart_Watch_Q2_feat5
31,Smart_Watch_Q3_feat1
32,Smart_Watch_Q3_feat2
33,Smart_Watch_Q3_feat3
34,Smart_Watch_Q3_feat6
35,Smart_Watch_Q4_feat1
36,Smart_Watch_Q4_feat3
37,Smart_Watch_Q5_feat1
38,Smart_Watch_Q5_feat2
39,Smart_Watch_Q5_feat6
40,Smart_Watch_Q6_feat1
41,Smart_Watch_Q6_feat2
42,Smart_Watch_Q6_feat3
43,Smart_Watch_Q6_feat4
44,Smart_Watch_Q9_feat1
45,Smart_Watch_Q9_feat2
46,Smart_Watch_Q9_feat3
47,Smart_Watch_Q9_feat6
48,Smart_Watch_Q10_feat1
49,Smart_Watch_Q10_feat2
50,Smart_Watch_Q10_feat3
51,Smart_Watch_Q10_feat4
52,Smart_Watch_Q10_feat7
53,Smart_Watch_Q12_feat1
54,Smart_Watch_Q12_feat2
55,Smart_Watch_Q12_feat5
56,Smart_Watch_Q13_feat1
57,Smart_Watch_Q13_feat2
58,Smart_Watch_Q13_feat4
59,location_1
60,Relationship_1
61,Relationship_2
