,selected_features
0,Q1_feat2
1,Q1_feat4
2,Q2_feat5
3,Q3_feat1
4,Q3_feat4
5,Q3_feat6
6,Q4_feat1
7,Q4_feat3
8,Q5_feat2
9,Q5_feat3
10,Q5_feat4
11,Q6_feat1
12,Q7_feat1
13,Q7_feat3
14,Q7_feat5
15,Q8_feat2
16,Q8_feat3
17,Q9_feat4
18,Q10_feat4
19,Q10_feat6
20,Q11_feat2
21,Q12_feat1
22,Q13_feat1
23,Q13_feat2
24,Q13_feat4
25,Smart_Watch_Q1_feat1
26,Smart_Watch_Q1_feat2
27,Smart_Watch_Q1_feat7
28,Smart_Watch_Q2_feat1
29,Smart_Watch_Q2_feat5
30,Smart_Watch_Q3_feat1
31,Smart_Watch_Q3_feat2
32,Smart_Watch_Q3_feat3
33,Smart_Watch_Q3_feat6
34,Smart_Watch_Q4_feat1
35,Smart_Watch_Q4_feat3
36,Smart_Watch_Q5_feat1
37,Smart_Watch_Q5_feat2
38,Smart_Watch_Q5_feat6
39,Smart_Watch_Q6_feat1
40,Smart_Watch_Q6_feat4
41,Smart_Watch_Q7_feat1
42,Smart_Watch_Q7_feat5
43,Smart_Watch_Q8_feat2
44,Smart_Watch_Q8_feat5
45,Smart_Watch_Q9_feat2
46,Smart_Watch_Q9_feat3
47,Smart_Watch_Q9_feat6
48,Smart_Watch_Q10_feat1
49,Smart_Watch_Q10_feat2
50,Smart_Watch_Q10_feat3
51,Smart_Watch_Q10_feat7
52,Smart_Watch_Q11_feat1
53,Smart_Watch_Q11_feat2
54,Smart_Watch_Q11_feat5
55,Smart_Watch_Q12_feat1
56,Smart_Watch_Q12_feat5
57,Smart_Watch_Q13_feat1
58,Smart_Watch_Q13_feat2
59,Smart_Watch_Q13_feat4
60,location_1
61,Relationship_1
62,Relationship_2
