,Significant features,Coefficients,p-val
0,intercept,-0.9234565909613407,1.467821242329137e-07
1,Q1_feat4,0.33253801436544883,9.292587765941107e-08
2,Q4_feat1,-0.23535089493973602,1.5076056522733694e-05
3,Desktop_Computer_Q1_feat4,0.3400575348249892,0.01299782230116131
4,Desktop_Computer_Q3_feat1,0.26450256015210943,0.0059303819517837475
5,Desktop_Computer_Q3_feat2,0.23009748179296838,0.011776164233409991
6,Desktop_Computer_Q3_feat3,0.28023901790077677,0.015835762076530813
7,Desktop_Computer_Q9_feat3,0.3246218650465987,0.014765855228496383
8,location_1,0.43295969016176533,6.039613253960852e-14
9,location_2,-0.1707509024400774,0.002839247342290685
10,Relationship_1,-0.1228687889266812,0.014915087049218956
