,Significant features,Coefficients,p-val
0,intercept,-1.3014912991644367,0.0
1,Q1_feat1,-0.10022570796979463,0.002076045735333265
2,Q1_feat2,-0.18377441985300583,4.752240229111138e-06
3,Q1_feat4,0.48384902975150296,0.0
4,Q1_feat5,-0.0922645417904617,0.0022930500332609682
5,Q2_feat5,-0.15133501116925538,0.010438848504554121
6,Q3_feat3,0.13684610675138337,5.161268244791017e-06
7,Q4_feat1,-0.2697292274394024,0.0
8,Q6_feat1,-0.15385573951108789,9.787328462085298e-05
9,Q6_feat2,0.16354298355907407,3.3943471031694372e-06
10,Q6_feat3,0.18450988635208018,4.293518151232689e-06
11,Q9_feat1,0.12316706266877764,5.8581469545071485e-05
12,Q10_feat6,0.14372243523253983,0.0018137050113553599
13,Q12_feat2,0.1018195270917756,0.003686652563996695
14,Q13_feat4,-0.13512678927587035,0.013890894013984134
15,Laptop_Q1_feat2,0.32548765231799853,1.5443202272535927e-11
16,Laptop_Q1_feat4,0.3615418370283555,2.1237234193449694e-11
17,Laptop_Q2_feat1,0.32583210776703353,6.759255346677762e-05
18,Laptop_Q2_feat5,0.37633259889267984,2.3978099576771328e-05
19,Laptop_Q3_feat1,0.2768837396953467,3.352450650417893e-08
20,Laptop_Q3_feat2,0.29687093346042265,1.8798984591228418e-10
21,Laptop_Q3_feat3,0.41381454793153827,1.0125233984581428e-13
22,Laptop_Q4_feat1,0.3517691489030734,1.865174681370263e-14
23,Laptop_Q5_feat1,0.6025630052918045,3.2485528045356205e-08
24,Laptop_Q6_feat1,0.34855950265026026,1.1476989498770962e-06
25,Laptop_Q6_feat2,0.1613787577828409,0.01064879966185539
26,Laptop_Q6_feat3,0.1505244788036934,0.04267112653641103
27,Laptop_Q6_feat4,0.27355818194936354,0.0014011485858527184
28,Laptop_Q9_feat1,0.19704064422724185,4.7132553878226346e-05
29,Laptop_Q9_feat2,0.28018551252064555,1.2243040803383565e-08
30,Laptop_Q9_feat3,0.40915430870224506,9.418021917895203e-12
31,Laptop_Q10_feat2,0.23604600714949325,1.8735331532848676e-06
32,Laptop_Q10_feat3,0.5051539624030245,9.497602704300334e-11
33,Laptop_Q12_feat1,0.35575565549648974,2.007671315862325e-07
34,Laptop_Q12_feat2,0.14903221544232723,0.025431368893411355
35,Laptop_Q12_feat3,0.14642697772916782,0.025673024635007424
36,Laptop_Q12_feat5,0.38375783780916195,2.806238748265244e-06
37,Laptop_Q13_feat1,0.29081912692542894,7.682182450308161e-05
38,Laptop_Q13_feat2,0.30049025198500073,3.0440592353464524e-06
39,Laptop_Q13_feat4,0.4212089204843758,3.15260406966722e-05
40,location_1,0.3652063244647365,0.0
