,Significant features,Coefficients,p-val
0,intercept,-2.0973637191795618,0.0
1,Q1_feat1,0.29264681565216427,0.0
2,Q1_feat2,0.3669396341706437,0.0
3,Q1_feat3,-0.47315997978766167,0.0
4,Q1_feat4,-0.11413737036285763,1.0710108152345299e-05
5,Q1_feat5,-0.07087500940214854,0.0013517390285908704
6,Q1_feat7,0.21210298771902275,1.236300257523304e-05
7,Q2_feat1,0.284754051909611,1.3766765505351941e-14
8,Q2_feat2,-0.217181382021073,2.533553811190359e-09
9,Q2_feat3,-0.4091539012126375,0.0
10,Q2_feat5,-0.15305445461393233,7.022637493525608e-05
11,Q3_feat1,0.7545281598046097,0.0
12,Q3_feat2,0.4560930729212231,0.0
13,Q3_feat3,0.08875569534945402,3.2405790376e-05
14,Q3_feat6,-0.10856032723569994,0.02447777808344931
15,Q4_feat1,0.5667986124232735,0.0
16,Q5_feat1,-0.2162676468991785,2.278646160647213e-10
17,Q5_feat2,-0.3899508103331902,0.0
18,Q5_feat3,0.3704698918791041,0.0
19,Q5_feat4,0.12582344342256313,0.011564405657345622
20,Q6_feat1,-0.5075104622243716,0.0
21,Q6_feat2,0.14345888370207754,4.23076951250323e-09
22,Q6_feat3,0.39626116637889536,0.0
23,Q9_feat1,0.25663069912734554,0.0
24,Q9_feat2,-0.14970791967352598,2.107292118580517e-11
25,Q9_feat3,-0.8318321260648031,0.0
26,Q9_feat4,0.5394019806824839,0.0
27,Q9_feat6,0.49170353391152816,0.0
28,Q10_feat1,0.39874196584409244,0.0
29,Q10_feat2,-0.8703656415074169,0.0
30,Q10_feat3,-0.16216934116719225,3.9114844696541695e-10
31,Q10_feat4,-0.061129484221695625,0.027665886892893843
32,Q10_feat6,0.9096376864099218,0.0
33,Q10_feat7,0.5012458875049218,0.0
34,Q12_feat1,0.3790633515687031,0.0
35,Q12_feat2,0.31806205258864834,0.0
36,Q12_feat3,-0.15119729879777202,5.566106242582691e-09
37,Q13_feat1,-0.49972382577803875,0.0
38,Q13_feat2,0.7679235891696872,0.0
39,Smart_Phone_Q1_feat1,0.3017721436724891,1.1879386363489175e-13
40,Smart_Phone_Q1_feat2,0.8288004807631839,0.0
41,Smart_Phone_Q1_feat3,0.1459915720484419,0.013655709607798494
42,Smart_Phone_Q1_feat5,0.2983009927339463,9.769962616701378e-15
43,Smart_Phone_Q1_feat7,0.34899768644974394,0.00019907696855669954
44,Smart_Phone_Q2_feat1,0.47157753594859786,3.2908920033491995e-09
45,Smart_Phone_Q2_feat3,0.27474070239655746,0.0008120267840496798
46,Smart_Phone_Q2_feat5,0.79791822492244,0.0
47,Smart_Phone_Q3_feat1,0.4089384447867742,0.0
48,Smart_Phone_Q3_feat2,0.4332852069050424,0.0
49,Smart_Phone_Q3_feat3,0.5683340755875426,0.0
50,Smart_Phone_Q3_feat6,0.2958209932413198,0.0005806952622176009
51,Smart_Phone_Q4_feat1,0.8078016182705684,0.0
52,Smart_Phone_Q5_feat1,0.9440889467611977,0.0
53,Smart_Phone_Q5_feat2,0.21506440599014842,0.0008459950638872726
54,Smart_Phone_Q5_feat6,0.3224866342575471,0.004428822957292189
55,Smart_Phone_Q6_feat1,0.7275550538034771,0.0
56,Smart_Phone_Q6_feat2,0.3035378908916286,5.302425165609748e-13
57,Smart_Phone_Q6_feat3,0.20403391301334461,5.372981445206371e-05
58,Smart_Phone_Q6_feat4,0.45810248143483584,8.924128103160456e-11
59,Smart_Phone_Q9_feat1,0.1908339496591777,6.420364652148791e-06
60,Smart_Phone_Q9_feat2,0.22133565462124366,7.08168015339794e-08
61,Smart_Phone_Q9_feat3,0.7089003438306288,0.0
62,Smart_Phone_Q9_feat6,0.46174686383996544,3.9546144137148076e-13
63,Smart_Phone_Q10_feat1,0.1490000033379999,0.00019082097002209863
64,Smart_Phone_Q10_feat2,0.4643525276510845,0.0
65,Smart_Phone_Q10_feat3,0.8877418871339514,0.0
66,Smart_Phone_Q10_feat7,0.3758797355233105,5.287382399910001e-06
67,Smart_Phone_Q12_feat1,0.5381586116752791,0.0
68,Smart_Phone_Q12_feat2,0.19666263241864984,1.913439105627468e-05
69,Smart_Phone_Q12_feat3,0.15710407640749813,0.000528001746870288
70,Smart_Phone_Q12_feat5,0.8076644017523636,0.0
71,Smart_Phone_Q13_feat1,0.5497862427641445,0.0
72,Smart_Phone_Q13_feat2,0.41111069525713095,6.661338147750939e-16
73,Smart_Phone_Q13_feat4,0.7589573656969679,0.0
74,location_1,-0.7970653752196519,0.0
75,location_2,-0.12061007322893856,2.6029470356903062e-08
76,Relationship_1,-0.41025059471325326,0.0
77,Relationship_2,-0.1860703703862509,0.0
