,Significant features,Coefficients,p-val
0,intercept,-1.7155586153815305,0.0
1,Q1_feat1,0.4006552295539651,0.0
2,Q1_feat2,-0.5281396780445243,4.285460875053104e-14
3,Q1_feat4,-0.16664699967633353,0.003307008116796295
4,Q1_feat5,0.13708132866419237,0.0007808127195267911
5,Q2_feat3,0.18400834640574937,0.012354992295229295
6,Q2_feat5,-0.5083309611105886,1.2055911824404575e-11
7,Q3_feat1,-0.1191603337302698,0.0023939135420196767
8,Q3_feat2,-0.07638341035971036,0.034769557392281936
9,Q3_feat3,0.16349873088525174,4.7099309025133707e-05
10,Q3_feat6,0.2422481162011039,0.005299697417538551
11,Q4_feat1,-0.31825426607641016,0.0
12,Q6_feat1,0.5444009596059313,0.0
13,Q6_feat2,0.2112176122096863,4.487094063421182e-06
14,Q6_feat3,0.30299086481578563,7.104840300531379e-07
15,Q9_feat1,0.13540087486370503,0.0018363288677927248
16,Q9_feat2,-0.19675650925510815,4.1925524538743986e-06
17,Q10_feat2,0.1332945349936433,0.0007063675580660789
18,Q10_feat3,-0.18404197328824867,9.133551567708231e-05
19,Q10_feat6,0.3283870031993876,4.48159321924102e-05
20,Q12_feat2,0.16050668476393357,0.0019676836489777028
21,Q12_feat3,0.11055083070341266,0.04556803425580713
22,Q13_feat1,-0.3858565147897753,9.650280574646786e-12
23,Smart_Speaker_Q2_feat5,0.7543642514888774,0.0003733435076342939
24,Smart_Speaker_Q3_feat2,0.21064155557222905,0.003505068460042393
25,Smart_Speaker_Q3_feat4,0.479236131156906,0.0002165538013794155
26,Smart_Speaker_Q4_feat1,0.414649506051085,2.6478819137309983e-12
27,Smart_Speaker_Q5_feat2,0.22632326958797308,0.00012613988554543987
28,Smart_Speaker_Q5_feat3,0.5045650976541428,6.7140666359932766e-09
29,Smart_Speaker_Q5_feat4,0.3261737168553307,2.8367261273309907e-07
30,Smart_Speaker_Q6_feat1,0.49302727365613375,7.815970093361102e-14
31,Smart_Speaker_Q6_feat2,0.33421321110907387,5.52757570826401e-08
32,Smart_Speaker_Q6_feat3,0.17188283321529943,0.03505661536970872
33,Smart_Speaker_Q6_feat4,0.3384215554467987,0.020322817177073293
34,Smart_Speaker_Q9_feat4,0.5450713245944797,0.01347379059274223
35,Smart_Speaker_Q10_feat2,0.7115385593922718,0.03922533257142402
36,Smart_Speaker_Q10_feat4,0.1867914274300981,0.004523656092087158
37,Smart_Speaker_Q12_feat5,0.8504131265941338,9.035257978684541e-06
38,Smart_Speaker_Q13_feat4,0.8959164190593419,0.003398996825571654
39,location_1,0.2717839935954918,9.229685016265421e-09
40,Relationship_1,-0.5095668949462343,0.0
