,Significant features,Coefficients,p-val
0,intercept,[-2.09736372],0.0
1,Q1_feat1,0.292646815652,0.0
2,Q1_feat2,0.366939634171,0.0
3,Q1_feat3,-0.473159979788,0.0
4,Q1_feat4,-0.114137370363,1.0710108152345299e-05
5,Q1_feat5,-0.0708750094021,0.0013517390285908704
6,Q1_feat7,0.212102987719,1.236300257523304e-05
7,Q2_feat1,0.28475405191,1.3766765505351941e-14
8,Q2_feat2,-0.217181382021,2.533553811190359e-09
9,Q2_feat3,-0.409153901213,0.0
10,Q2_feat5,-0.153054454614,7.022637493525608e-05
11,Q3_feat1,0.754528159805,0.0
12,Q3_feat2,0.456093072921,0.0
13,Q3_feat3,0.0887556953495,3.2405790376e-05
14,Q3_feat6,-0.108560327236,0.02447777808344931
15,Q4_feat1,0.566798612423,0.0
16,Q5_feat1,-0.216267646899,2.278646160647213e-10
17,Q5_feat2,-0.389950810333,0.0
18,Q5_feat3,0.370469891879,0.0
19,Q5_feat4,0.125823443423,0.011564405657345622
20,Q6_feat1,-0.507510462224,0.0
21,Q6_feat2,0.143458883702,4.23076951250323e-09
22,Q6_feat3,0.396261166379,0.0
23,Q9_feat1,0.256630699127,0.0
24,Q9_feat2,-0.149707919674,2.107292118580517e-11
25,Q9_feat3,-0.831832126065,0.0
26,Q9_feat4,0.539401980682,0.0
27,Q9_feat6,0.491703533912,0.0
28,Q10_feat1,0.398741965844,0.0
29,Q10_feat2,-0.870365641507,0.0
30,Q10_feat3,-0.162169341167,3.9114844696541695e-10
31,Q10_feat4,-0.0611294842217,0.027665886892893843
32,Q10_feat6,0.90963768641,0.0
33,Q10_feat7,0.501245887505,0.0
34,Q12_feat1,0.379063351569,0.0
35,Q12_feat2,0.318062052589,0.0
36,Q12_feat3,-0.151197298798,5.566106242582691e-09
37,Q13_feat1,-0.499723825778,0.0
38,Q13_feat2,0.76792358917,0.0
39,Smart_Phone_Q1_feat1,0.301772143672,1.1879386363489175e-13
40,Smart_Phone_Q1_feat2,0.828800480763,0.0
41,Smart_Phone_Q1_feat3,0.145991572048,0.013655709607798494
42,Smart_Phone_Q1_feat5,0.298300992734,9.769962616701378e-15
43,Smart_Phone_Q1_feat7,0.34899768645,0.00019907696855669954
44,Smart_Phone_Q2_feat1,0.471577535949,3.2908920033491995e-09
45,Smart_Phone_Q2_feat3,0.274740702397,0.0008120267840496798
46,Smart_Phone_Q2_feat5,0.797918224922,0.0
47,Smart_Phone_Q3_feat1,0.408938444787,0.0
48,Smart_Phone_Q3_feat2,0.433285206905,0.0
49,Smart_Phone_Q3_feat3,0.568334075588,0.0
50,Smart_Phone_Q3_feat6,0.295820993241,0.0005806952622176009
51,Smart_Phone_Q4_feat1,0.807801618271,0.0
52,Smart_Phone_Q5_feat1,0.944088946761,0.0
53,Smart_Phone_Q5_feat2,0.21506440599,0.0008459950638872726
54,Smart_Phone_Q5_feat6,0.322486634258,0.004428822957292189
55,Smart_Phone_Q6_feat1,0.727555053803,0.0
56,Smart_Phone_Q6_feat2,0.303537890892,5.302425165609748e-13
57,Smart_Phone_Q6_feat3,0.204033913013,5.372981445206371e-05
58,Smart_Phone_Q6_feat4,0.458102481435,8.924128103160456e-11
59,Smart_Phone_Q9_feat1,0.190833949659,6.420364652148791e-06
60,Smart_Phone_Q9_feat2,0.221335654621,7.08168015339794e-08
61,Smart_Phone_Q9_feat3,0.708900343831,0.0
62,Smart_Phone_Q9_feat6,0.46174686384,3.9546144137148076e-13
63,Smart_Phone_Q10_feat1,0.149000003338,0.00019082097002209863
64,Smart_Phone_Q10_feat2,0.464352527651,0.0
65,Smart_Phone_Q10_feat3,0.887741887134,0.0
66,Smart_Phone_Q10_feat7,0.375879735523,5.287382399910001e-06
67,Smart_Phone_Q12_feat1,0.538158611675,0.0
68,Smart_Phone_Q12_feat2,0.196662632419,1.913439105627468e-05
69,Smart_Phone_Q12_feat3,0.157104076407,0.000528001746870288
70,Smart_Phone_Q12_feat5,0.807664401752,0.0
71,Smart_Phone_Q13_feat1,0.549786242764,0.0
72,Smart_Phone_Q13_feat2,0.411110695257,6.661338147750939e-16
73,Smart_Phone_Q13_feat4,0.758957365697,0.0
74,location_1,-0.79706537522,0.0
75,location_2,-0.120610073229,2.6029470356903062e-08
76,Relationship_1,-0.410250594713,0.0
77,Relationship_2,-0.186070370386,0.0
