,Significant features,Coefficients,p-val
0,intercept,[-1.71555862],0.0
1,Q1_feat1,0.400655229554,0.0
2,Q1_feat2,-0.528139678045,4.285460875053104e-14
3,Q1_feat4,-0.166646999676,0.003307008116796295
4,Q1_feat5,0.137081328664,0.0007808127195267911
5,Q2_feat3,0.184008346406,0.012354992295229295
6,Q2_feat5,-0.508330961111,1.2055911824404575e-11
7,Q3_feat1,-0.11916033373,0.0023939135420196767
8,Q3_feat2,-0.0763834103597,0.034769557392281936
9,Q3_feat3,0.163498730885,4.7099309025133707e-05
10,Q3_feat6,0.242248116201,0.005299697417538551
11,Q4_feat1,-0.318254266076,0.0
12,Q6_feat1,0.544400959606,0.0
13,Q6_feat2,0.21121761221,4.487094063421182e-06
14,Q6_feat3,0.302990864816,7.104840300531379e-07
15,Q9_feat1,0.135400874864,0.0018363288677927248
16,Q9_feat2,-0.196756509255,4.1925524538743986e-06
17,Q10_feat2,0.133294534994,0.0007063675580660789
18,Q10_feat3,-0.184041973288,9.133551567708231e-05
19,Q10_feat6,0.328387003199,4.48159321924102e-05
20,Q12_feat2,0.160506684764,0.0019676836489777028
21,Q12_feat3,0.110550830703,0.04556803425580713
22,Q13_feat1,-0.38585651479,9.650280574646786e-12
23,Smart_Speaker_Q2_feat5,0.754364251489,0.0003733435076342939
24,Smart_Speaker_Q3_feat2,0.210641555572,0.003505068460042393
25,Smart_Speaker_Q3_feat4,0.479236131157,0.0002165538013794155
26,Smart_Speaker_Q4_feat1,0.414649506051,2.6478819137309983e-12
27,Smart_Speaker_Q5_feat2,0.226323269588,0.00012613988554543987
28,Smart_Speaker_Q5_feat3,0.504565097654,6.7140666359932766e-09
29,Smart_Speaker_Q5_feat4,0.326173716855,2.8367261273309907e-07
30,Smart_Speaker_Q6_feat1,0.493027273656,7.815970093361102e-14
31,Smart_Speaker_Q6_feat2,0.334213211109,5.52757570826401e-08
32,Smart_Speaker_Q6_feat3,0.171882833215,0.03505661536970872
33,Smart_Speaker_Q6_feat4,0.338421555447,0.020322817177073293
34,Smart_Speaker_Q9_feat4,0.545071324594,0.01347379059274223
35,Smart_Speaker_Q10_feat2,0.711538559392,0.03922533257142402
36,Smart_Speaker_Q10_feat4,0.18679142743,0.004523656092087158
37,Smart_Speaker_Q12_feat5,0.850413126594,9.035257978684541e-06
38,Smart_Speaker_Q13_feat4,0.895916419059,0.003398996825571654
39,location_1,0.271783993595,9.229685016265421e-09
40,Relationship_1,-0.509566894946,0.0
