,Significant features,Coefficients,p-val
0,intercept,[-2.83266522],0.0
1,Q1_feat1,0.213916505531,4.440892098500626e-16
2,Q1_feat2,0.173661126354,6.569060742700472e-06
3,Q1_feat3,0.193493267985,1.6541583436335827e-08
4,Q1_feat4,0.157748009881,7.64052371149404e-06
5,Q1_feat5,-0.0567566945222,0.022264755933248503
6,Q2_feat1,0.164938694573,0.0002472899341963153
7,Q2_feat2,0.213049738449,3.1455378604050566e-06
8,Q2_feat5,-0.42300663943,0.0
9,Q3_feat1,-0.232462370879,0.0
10,Q3_feat2,-0.0468755249974,0.03309873931308749
11,Q3_feat3,-0.049649766212,0.036334739976655595
12,Q3_feat6,-0.118307770352,0.021976025905546592
13,Q5_feat1,0.15335714306,0.00015489253592493313
14,Q5_feat2,-0.268892595995,3.03946023905155e-09
15,Q5_feat4,0.244841781387,0.0002553725427976161
16,Q6_feat1,0.154181543787,2.2216803642116645e-05
17,Q9_feat1,-0.0724811576421,0.0034658404776637397
18,Q9_feat2,0.0538832095895,0.032325444574155204
19,Q9_feat3,0.117256192522,0.00041485842829169783
20,Q10_feat2,-0.057531018255,0.011322017655020833
21,Q10_feat3,0.185566435274,8.278215890555884e-10
22,Q10_feat4,0.547225754124,0.0
23,Q10_feat6,0.896429727881,0.0
24,Q12_feat1,0.27120935347,1.5543122344752192e-15
25,Q12_feat2,-0.0668375966227,0.04795582148526356
26,Q12_feat5,-0.103446108219,0.0048748479881615125
27,Q13_feat1,-0.426808859172,0.0
28,Q13_feat2,-0.109339057717,0.0011686740816849728
29,Smart_Watch_Q1_feat1,0.41261093452,0.0
30,Smart_Watch_Q1_feat2,0.73995827737,0.0
31,Smart_Watch_Q1_feat7,0.310709827604,0.005238343147183411
32,Smart_Watch_Q2_feat1,0.300760798592,0.0005813451811362835
33,Smart_Watch_Q2_feat3,0.227294854851,0.012767887760571472
34,Smart_Watch_Q2_feat5,0.85489960743,0.0
35,Smart_Watch_Q3_feat1,0.307170457894,1.176836406102666e-14
36,Smart_Watch_Q3_feat2,0.387930637924,0.0
37,Smart_Watch_Q3_feat3,0.606338893071,0.0
38,Smart_Watch_Q3_feat6,0.381135446857,1.1088036699247183e-05
39,Smart_Watch_Q4_feat1,0.768602302044,0.0
40,Smart_Watch_Q5_feat1,0.717549950749,1.7070789226636407e-12
41,Smart_Watch_Q5_feat2,0.233858562183,0.02081471811234148
42,Smart_Watch_Q6_feat1,0.740482296048,0.0
43,Smart_Watch_Q6_feat2,0.12989745085,0.04511820553375623
44,Smart_Watch_Q6_feat3,0.199670249552,0.007667396716392716
45,Smart_Watch_Q6_feat4,0.477035766613,3.3487990158675984e-10
46,Smart_Watch_Q9_feat1,0.188529643015,6.792885701112361e-05
47,Smart_Watch_Q9_feat2,0.252708133714,3.9549726071896885e-07
48,Smart_Watch_Q9_feat3,0.672276422121,3.1086244689504383e-15
49,Smart_Watch_Q9_feat6,0.438978249617,4.151826543608017e-05
50,Smart_Watch_Q10_feat1,0.397835408387,0.0
51,Smart_Watch_Q10_feat2,0.536047093956,0.0
52,Smart_Watch_Q10_feat3,0.652201599416,0.0
53,Smart_Watch_Q10_feat4,0.147051475232,0.0013824444117715995
54,Smart_Watch_Q12_feat1,0.567847905058,6.212363956592526e-12
55,Smart_Watch_Q12_feat3,0.105233390115,0.04015147917867856
56,Smart_Watch_Q12_feat5,0.687729192554,1.021405182655144e-14
57,Smart_Watch_Q13_feat1,0.364627839301,2.3881600541564296e-07
58,Smart_Watch_Q13_feat2,0.267393705924,7.261494080035291e-06
59,Smart_Watch_Q13_feat4,0.821219598026,0.0
60,location_1,-0.257952684278,0.0
61,location_2,0.169716031307,2.0672352718520415e-13
62,Relationship_1,-0.115065312104,2.3569374296705803e-07
63,Relationship_2,-0.136499276896,5.1570323567062815e-09
