,Significant features,Coefficients,p-val
0,intercept,[-1.90725594],0.0
1,Q1_feat3,0.146734647187,2.266571222042657e-06
2,Q1_feat4,0.2229226234,7.704947790898586e-14
3,Q1_feat5,-0.0689883359987,0.004343812418703186
4,Q1_feat7,0.144898470273,0.006004127030966311
5,Q2_feat1,0.139999514604,0.0023720401843005945
6,Q2_feat5,-0.11935959824,0.013679418136304244
7,Q3_feat6,0.104493652094,0.04399806826742125
8,Q4_feat1,-0.071385706556,0.0012902130522129962
9,Q5_feat1,0.135802316589,0.000294898020547274
10,Q6_feat2,0.100159935687,0.0002763386856219352
11,Q9_feat1,0.145864378786,1.7464649726406378e-09
12,Q9_feat2,0.0534149461323,0.025248464466122167
13,Q9_feat3,0.13124884318,3.3568056578836547e-06
14,Q10_feat2,0.0814013056579,0.0006539915142971253
15,Q10_feat3,-0.19065417453,1.6597612173541165e-11
16,Q10_feat6,0.147786150279,0.0005430483039865486
17,Q12_feat1,0.0645120975707,0.041827952772393484
18,Q12_feat2,0.0739450364018,0.011485513463840746
19,Tablet_Q1_feat1,0.121960530216,0.02679143592040134
20,Tablet_Q1_feat2,0.527768361009,0.0
21,Tablet_Q1_feat3,0.235297729393,8.105738302788268e-12
22,Tablet_Q1_feat5,0.130716108887,0.008219762912379691
23,Tablet_Q2_feat1,0.358265114216,0.00013368433138660762
24,Tablet_Q2_feat5,0.380199804103,8.520264747202688e-05
25,Tablet_Q3_feat1,0.278856201991,8.857359290459499e-13
26,Tablet_Q3_feat2,0.312768379694,0.0
27,Tablet_Q3_feat3,0.401415754181,0.0
28,Tablet_Q3_feat6,0.172735406047,0.026782071366053373
29,Tablet_Q4_feat1,0.512195733075,0.0
30,Tablet_Q5_feat1,0.673651214086,4.678701870375335e-12
31,Tablet_Q6_feat1,0.392869049572,1.021405182655144e-11
32,Tablet_Q6_feat2,0.123026570924,0.030874811814224357
33,Tablet_Q6_feat3,0.146699353442,0.02255427628953144
34,Tablet_Q6_feat4,0.259420447444,0.0002497905292437874
35,Tablet_Q9_feat1,0.17158951566,1.2731894213802164e-05
36,Tablet_Q9_feat2,0.205627387891,9.360608081987465e-07
37,Tablet_Q9_feat3,0.486396795636,0.0
38,Tablet_Q9_feat6,0.192692811349,0.04614436869723759
39,Tablet_Q10_feat2,0.231545721826,5.1466386707943457e-11
40,Tablet_Q10_feat3,0.597611871634,0.0
41,Tablet_Q12_feat1,0.300903122145,8.300534704019924e-09
42,Tablet_Q12_feat3,0.116366672042,0.025664788693129825
43,Tablet_Q12_feat5,0.469800185579,3.1086244689504383e-15
44,Tablet_Q13_feat1,0.271563187185,1.3401268943447064e-06
45,Tablet_Q13_feat2,0.246708420421,1.6385558352371987e-06
46,Tablet_Q13_feat4,0.479983510007,3.853095620343083e-11
47,location_1,0.112277852114,2.1911064267410296e-06
