"","x"
"1","location_1.Smart_Phone_Q8_feat2"
"2","location_1.Smart_Phone_Q13_feat2"
"3","location_1.Smart_Phone_Q8_feat5"
"4","location_1.Smart_Phone_Q10_feat2"
"5","location_1.Smart_Phone_Q11_feat1"
"6","location_1.Smart_Phone_Q7_feat2"
"7","location_2"
"8","location_2.Smart_Phone_Q8_feat5"
"9","location_2.Smart_Phone_Q10_feat2"
"10","location_2.Smart_Phone_Q11_feat1"
"11","location_2.Smart_Phone_Q7_feat2"
"12","location_3"
"13","location_3.Smart_Phone_Q6_feat1"
"14","location_3.Smart_Phone_Q7_feat1"
"15","location_3.Smart_Phone_Q8_feat5"
"16","Relationship_1.Smart_Phone_Q8_feat5"
"17","Relationship_1.Smart_Phone_Q10_feat2"
"18","Relationship_1.Smart_Phone_Q7_feat2"
"19","Relationship_2"
"20","Relationship_2.Smart_Phone_Q8_feat5"
"21","Relationship_2.Smart_Phone_Q10_feat2"
"22","Relationship_2.Smart_Phone_Q7_feat2"
"23","Relationship_3"
"24","Relationship_3.Smart_Phone_Q13_feat2"
"25","Relationship_3.Smart_Phone_Q8_feat5"
"26","Relationship_3.Smart_Phone_Q10_feat2"
"27","Relationship_3.Smart_Phone_Q11_feat1"
