,features,Importance
6,Desktop_Computer_Q5_feat1,103.0
13,Desktop_Computer_Q10_feat3,94.0
5,Desktop_Computer_Q4_feat3,88.0
15,Desktop_Computer_Q11_feat2,88.0
0,Desktop_Computer_Q1_feat4,87.0
11,Desktop_Computer_Q9_feat3,85.0
4,Desktop_Computer_Q3_feat3,82.0
3,Desktop_Computer_Q3_feat2,66.0
9,Desktop_Computer_Q8_feat5,66.0
14,Desktop_Computer_Q11_feat1,66.0
18,Desktop_Computer_Q13_feat1,61.0
7,Desktop_Computer_Q6_feat1,60.0
2,Desktop_Computer_Q3_feat1,56.0
10,Desktop_Computer_Q9_feat2,52.0
8,Desktop_Computer_Q7_feat5,52.0
19,Desktop_Computer_Q13_feat4,49.0
12,Desktop_Computer_Q10_feat2,48.0
1,Desktop_Computer_Q2_feat5,48.0
17,Desktop_Computer_Q12_feat5,47.0
16,Desktop_Computer_Q12_feat3,46.0
