,features,Importance
7,Tablet_Q5_feat1,289.0
13,Tablet_Q10_feat3,278.0
15,Tablet_Q11_feat2,271.0
0,Tablet_Q1_feat2,259.0
11,Tablet_Q9_feat3,252.0
6,Tablet_Q4_feat1,233.0
5,Tablet_Q3_feat3,218.0
10,Tablet_Q8_feat5,188.0
8,Tablet_Q6_feat1,183.0
9,Tablet_Q7_feat5,182.0
19,Tablet_Q13_feat4,169.0
4,Tablet_Q3_feat2,165.0
2,Tablet_Q2_feat1,161.0
17,Tablet_Q12_feat5,161.0
14,Tablet_Q11_feat1,130.0
1,Tablet_Q1_feat3,128.0
12,Tablet_Q10_feat2,127.0
16,Tablet_Q12_feat1,124.0
18,Tablet_Q13_feat1,119.0
3,Tablet_Q3_feat1,115.0
