,selected_features
(Intercept),Q1_feat2
Q1_feat2,Q1_feat7
Q3_feat1,Q2_feat5
Q4_feat1,Q4_feat3
Q5_feat2,Q8_feat2
Q6_feat1,Q8_feat5
Q8_feat2,Q9_feat6
Q8_feat5,Q10_feat6
Q9_feat3,Q13_feat2
Q10_feat1,Smart_Phone_Q1_feat2
Q10_feat2,Smart_Phone_Q2_feat5
Q10_feat6,Smart_Phone_Q4_feat1
Q10_feat7,Smart_Phone_Q4_feat3
Q13_feat1,Smart_Phone_Q7_feat1
Q13_feat2,Smart_Phone_Q7_feat5
Smart_Phone_Q5_feat1,Smart_Phone_Q10_feat3
Smart_Phone_Q5_feat6,Smart_Phone_Q11_feat2
Smart_Phone_Q13_feat1,
Smart_Phone_Q13_feat4,
location_1,
