,ResponseId,Q1,Q1_feat1,Q1_feat2,Q1_feat3,Q1_feat4,Q1_feat5,Q1_feat7,Q2,Q2_feat1,Q2_feat2,Q2_feat3,Q2_feat5,Q3,Q3_feat1,Q3_feat2,Q3_feat3,Q3_feat4,Q3_feat6,Q4,Q4_feat1,Q4_feat3,Q5,Q5_feat1,Q5_feat2,Q5_feat3,Q5_feat4,Q5_feat6,Q6,Q6_feat1,Q6_feat2,Q6_feat3,Q6_feat4,Q7,Q7_feat1,Q7_feat2,Q7_feat3,Q7_feat5,Q8,Q8_feat1,Q8_feat2,Q8_feat3,Q8_feat5,Q9,Q9_feat1,Q9_feat2,Q9_feat3,Q9_feat4,Q9_feat6,Q10,Q10_feat1,Q10_feat2,Q10_feat3,Q10_feat4,Q10_feat6,Q10_feat7,Q11,Q11_feat1,Q11_feat2,Q11_feat3,Q11_feat5,Q12,Q12_feat1,Q12_feat2,Q12_feat3,Q12_feat5,Q13,Q13_feat1,Q13_feat2,Q13_feat4
0,R_sOwDvheK5MyDJzb,"1,2,3",1,1,1,0,0,0,1,1,0,0,0,"1,3",1,0,1,0,0,1.0,1,0,1,1,0,0,0,0,3,0,0,1,0,"1,2,3",1,1,1,0,5,0,0,0,1,"1,3",1,0,1,0,0,3,0,0,1,0,0,0,"1,2",1,1,0,0,"1,2",1,1,0,0,1,1,0,0
1,R_Zh6Hu0mpI0rTEOJ,"2,5",0,1,0,0,1,0,1,1,0,0,0,"1,2,3",1,1,1,0,0,1.0,1,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,"1,2",1,1,0,0,"1,2",1,1,0,0,1,1,0,0
2,R_22VnihC9Syc6BC2,"1,2",1,1,0,0,0,0,1,1,0,0,0,"1,2,3",1,1,1,0,0,1.0,1,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,"1,3",1,0,1,0,0,"1,3",1,0,1,0,0,0,2,0,1,0,0,"1,3",1,0,1,0,4,0,0,1
3,R_r3GG4BB6PTK0slr,"2,4,5",0,1,0,1,1,0,3,0,0,1,0,"1,2,3",1,1,1,0,0,3.0,0,1,1,1,0,0,0,0,"1,2",1,1,0,0,"1,3",1,0,1,0,3,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,4,0,0,1
4,R_294c0wY5O51Ckot,"1,2,5",1,1,0,0,1,0,"1,2",1,1,0,0,"1,2,3",1,1,1,0,0,3.0,0,1,"1,3",1,0,1,0,0,3,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,"1,2,3",1,1,1,0,0,"1,3",1,0,1,0,0,0,"1,2",1,1,0,0,"1,2",1,1,0,0,4,0,0,1
5,R_3R2czFia8WDovZ5,"2,5",0,1,0,0,1,0,1,1,0,0,0,3,0,0,1,0,0,3.0,0,1,1,1,0,0,0,0,"1,2",1,1,0,0,"2,3",0,1,1,0,"2,3",0,1,1,0,"1,3",1,0,1,0,0,"1,3",1,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,4,0,0,1
6,R_D6TWU81opedQx8Z,"1,2,4",1,1,0,1,0,0,5,0,0,0,1,"1,2,3,4",1,1,1,1,0,3.0,0,1,"3,4",0,0,1,1,0,"2,3",0,1,1,0,"1,3",1,0,1,0,"1,2,3",1,1,1,0,"1,2,3,4",1,1,1,1,0,"2,4",0,1,0,1,0,0,"2,3",0,1,1,0,5,0,0,0,1,2,0,1,0
7,R_1qgn8fonNDVpfVu,2,0,1,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,1.0,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
8,R_3KOT4GUJ5Jpt4jj,"2,5",0,1,0,0,1,0,5,0,0,0,1,"1,2",1,1,0,0,0,3.0,0,1,1,1,0,0,0,0,3,0,0,1,0,"1,2,3",1,1,1,0,2,0,1,0,0,3,0,0,1,0,0,"3,4",0,0,1,1,0,0,"1,2",1,1,0,0,5,0,0,0,1,4,0,0,1
9,R_Og5HqRu6uLDSmaZ,"1,2",1,1,0,0,0,0,5,0,0,0,1,"3,4",0,0,1,1,0,3.0,0,1,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,1,1,0,0,0,"3,4",0,0,1,1,0,"1,2,3",1,1,1,0,0,0,"2,3",0,1,1,0,5,0,0,0,1,4,0,0,1
