,ResponseId,device_use,Q20,actual_use,3_Q1,Desktop Computer_Q1_feat1,Desktop Computer_Q1_feat2,Desktop Computer_Q1_feat3,Desktop Computer_Q1_feat4,Desktop Computer_Q1_feat5,Desktop Computer_Q1_feat7,3_Q2,Desktop Computer_Q2_feat1,Desktop Computer_Q2_feat2,Desktop Computer_Q2_feat3,Desktop Computer_Q2_feat5,3_Q3,Desktop Computer_Q3_feat1,Desktop Computer_Q3_feat2,Desktop Computer_Q3_feat3,Desktop Computer_Q3_feat4,Desktop Computer_Q3_feat6,3_Q4,Desktop Computer_Q4_feat1,Desktop Computer_Q4_feat3,3_Q5,Desktop Computer_Q5_feat1,Desktop Computer_Q5_feat2,Desktop Computer_Q5_feat3,Desktop Computer_Q5_feat4,Desktop Computer_Q5_feat6,3_Q6,Desktop Computer_Q6_feat1,Desktop Computer_Q6_feat2,Desktop Computer_Q6_feat3,Desktop Computer_Q6_feat4,3_Q7,Desktop Computer_Q7_feat1,Desktop Computer_Q7_feat2,Desktop Computer_Q7_feat3,Desktop Computer_Q7_feat5,3_Q8,Desktop Computer_Q8_feat1,Desktop Computer_Q8_feat2,Desktop Computer_Q8_feat3,Desktop Computer_Q8_feat5,3_Q9,Desktop Computer_Q9_feat1,Desktop Computer_Q9_feat2,Desktop Computer_Q9_feat3,Desktop Computer_Q9_feat4,Desktop Computer_Q9_feat6,3_Q10,Desktop Computer_Q10_feat1,Desktop Computer_Q10_feat2,Desktop Computer_Q10_feat3,Desktop Computer_Q10_feat4,Desktop Computer_Q10_feat6,Desktop Computer_Q10_feat7,3_Q11,Desktop Computer_Q11_feat1,Desktop Computer_Q11_feat2,Desktop Computer_Q11_feat3,Desktop Computer_Q11_feat5,3_Q12,Desktop Computer_Q12_feat1,Desktop Computer_Q12_feat2,Desktop Computer_Q12_feat3,Desktop Computer_Q12_feat5,3_Q13,Desktop Computer_Q13_feat1,Desktop Computer_Q13_feat2,Desktop Computer_Q13_feat4
0,R_sOwDvheK5MyDJzb,"1,2,3,4,5,6","2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
1,R_Zh6Hu0mpI0rTEOJ,"1,2,3,4,5",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
2,R_22VnihC9Syc6BC2,"1,2,3,4,5,6","2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
3,R_r3GG4BB6PTK0slr,"1,2,3,4,5,6","1,2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
5,R_3R2czFia8WDovZ5,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
6,R_D6TWU81opedQx8Z,"1,2,3,4,5,6","2,4,5",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
7,R_1qgn8fonNDVpfVu,"1,2,3,4,5,6","2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
8,R_3KOT4GUJ5Jpt4jj,"1,2,3,4,5,6",3,1,4,0,0,0,1,0,0,5,0,0,0,1,"2,3",0,1,1,0,0,3,0,1,1,1,0,0,0,0,3,0,0,1,0,"1,2,3",1,1,1,0,2,0,1,0,0,3,0,0,1,0,0,"3,4",0,0,1,1,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
10,R_1KiJ47vnQJg9vvN,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
12,R_Z4bWr3CviU81sit,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
