,ResponseId,device_use,Q20,actual_use,6_Q1,Smart_Watch_Q1_feat1,Smart_Watch_Q1_feat2,Smart_Watch_Q1_feat3,Smart_Watch_Q1_feat4,Smart_Watch_Q1_feat5,Smart_Watch_Q1_feat7,6_Q2,Smart_Watch_Q2_feat1,Smart_Watch_Q2_feat2,Smart_Watch_Q2_feat3,Smart_Watch_Q2_feat5,6_Q3,Smart_Watch_Q3_feat1,Smart_Watch_Q3_feat2,Smart_Watch_Q3_feat3,Smart_Watch_Q3_feat4,Smart_Watch_Q3_feat6,6_Q4,Smart_Watch_Q4_feat1,Smart_Watch_Q4_feat3,6_Q5,Smart_Watch_Q5_feat1,Smart_Watch_Q5_feat2,Smart_Watch_Q5_feat3,Smart_Watch_Q5_feat4,Smart_Watch_Q5_feat6,6_Q6,Smart_Watch_Q6_feat1,Smart_Watch_Q6_feat2,Smart_Watch_Q6_feat3,Smart_Watch_Q6_feat4,6_Q7,Smart_Watch_Q7_feat1,Smart_Watch_Q7_feat2,Smart_Watch_Q7_feat3,Smart_Watch_Q7_feat5,6_Q8,Smart_Watch_Q8_feat1,Smart_Watch_Q8_feat2,Smart_Watch_Q8_feat3,Smart_Watch_Q8_feat5,6_Q9,Smart_Watch_Q9_feat1,Smart_Watch_Q9_feat2,Smart_Watch_Q9_feat3,Smart_Watch_Q9_feat4,Smart_Watch_Q9_feat6,6_Q10,Smart_Watch_Q10_feat1,Smart_Watch_Q10_feat2,Smart_Watch_Q10_feat3,Smart_Watch_Q10_feat4,Smart_Watch_Q10_feat6,Smart_Watch_Q10_feat7,6_Q11,Smart_Watch_Q11_feat1,Smart_Watch_Q11_feat2,Smart_Watch_Q11_feat3,Smart_Watch_Q11_feat5,6_Q12,Smart_Watch_Q12_feat1,Smart_Watch_Q12_feat2,Smart_Watch_Q12_feat3,Smart_Watch_Q12_feat5,6_Q13,Smart_Watch_Q13_feat1,Smart_Watch_Q13_feat2,Smart_Watch_Q13_feat4
0,R_sOwDvheK5MyDJzb,"1,2,3,4,5,6","2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
2,R_22VnihC9Syc6BC2,"1,2,3,4,5,6","2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
3,R_r3GG4BB6PTK0slr,"1,2,3,4,5,6","1,2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
5,R_3R2czFia8WDovZ5,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
6,R_D6TWU81opedQx8Z,"1,2,3,4,5,6","2,4,5",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
7,R_1qgn8fonNDVpfVu,"1,2,3,4,5,6","2,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
8,R_3KOT4GUJ5Jpt4jj,"1,2,3,4,5,6",3,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
9,R_Og5HqRu6uLDSmaZ,"1,2,4,5,6","2,5,6",1,"1,2",1,1,0,0,0,0,5,0,0,0,1,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,5,0,0,0,1,"1,3",1,0,1,0,0,"1,2,3,4",1,1,1,1,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
10,R_1KiJ47vnQJg9vvN,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
12,R_Z4bWr3CviU81sit,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
13,R_2qmTO2l6egv3qBO,"1,2,3,4,5,6","2,6",1,"2,5",0,1,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,2,0,1,0,0,"2,3",0,1,1,0,3,0,0,1,0,0,"1,3,4",1,0,1,1,0,0,"1,2",1,1,0,0,1,1,0,0,0,4,0,0,1
15,R_331nXs70lsz8m3C,"2,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
16,R_1eLZFCqyp8mWxX8,"2,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
19,R_2P0XozVRw6OLUv6,"1,2,3,4,5,6",6,1,2,0,1,0,0,0,0,3,0,0,1,0,"3,4",0,0,1,1,0,1,1,0,3,0,0,1,0,0,1,1,0,0,0,5,0,0,0,1,"2,3",0,1,1,0,"2,3,4",0,1,1,1,0,"1,2,3,4",1,1,1,1,0,0,"1,2",1,1,0,0,"1,3",1,0,1,0,1,1,0,0
22,R_WDaenyWF6jvq8XT,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
23,R_2wd9b5HcePM2rNi,"1,2,3,4,5,6","1,2,3",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
24,R_UMzR8qzJB46ywud,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
26,R_2R8R701R6buARRN,"1,2,3,4,5,6","2,6",1,"2,5",0,1,0,0,1,0,5,0,0,0,1,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,"1,2",1,1,0,0,"2,3",0,1,1,0,3,0,0,1,0,0,"1,3,4",1,0,1,1,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
27,R_8CU5qwwvklIZKkp,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
28,R_1NFk6Rvb6W9pTBY,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
30,R_3FIDKh8Phn9KPhn,"1,2,3,4,5,6","2,4,5",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
31,R_2qwvc4nZgMOFDaS,"1,2,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
34,R_2OHzFG8iRPXGAi7,"1,2,3,4,5,6",1,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
39,R_3LYXGPCHAPOHy6l,"1,2,3,4,5,6","2,5,6",1,"1,2,5",1,1,0,0,1,0,3,0,0,1,0,"3,4",0,0,1,1,0,1,1,0,2,0,1,0,0,0,3,0,0,1,0,5,0,0,0,1,2,0,1,0,0,"2,3",0,1,1,0,0,"2,3,4",0,1,1,1,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
42,R_3NTYlYxpNXx8TeK,"1,2,3,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
43,R_12ElUaSzJ39vFkG,"1,2,3,4,5,6",3,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
44,R_3J4dwvyzFeEbwcm,"1,2,3,4,5,6","1,4,5",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
45,R_2fIhojthc5nwIXi,"1,2,3,4,5,6","2,5,6",1,"1,2,5",1,1,0,0,1,0,5,0,0,0,1,"2,3,4",0,1,1,1,0,1,1,0,2,0,1,0,0,0,"2,3",0,1,1,0,5,0,0,0,1,"1,2,3",1,1,1,0,"3,4",0,0,1,1,0,"1,2,3,4",1,1,1,1,0,0,"1,2",1,1,0,0,1,1,0,0,0,1,1,0,0
48,R_1P29MRntmFq5g7X,"1,2,3,4,5,6","1,2,3,4,5,6",1,"1,2,3,4,5",1,1,1,1,1,0,"1,2,3",1,1,1,0,"1,2,3,4",1,1,1,1,0,3,0,1,"1,2,3,4",1,1,1,1,0,"1,2,3",1,1,1,0,"1,2,3",1,1,1,0,"1,2,3",1,1,1,0,"1,2,3,4",1,1,1,1,0,"1,2,3,4",1,1,1,1,0,0,"1,2,3",1,1,1,0,"1,2,3",1,1,1,0,"1,2",1,1,0
49,R_BMygX0dF1supMyd,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
50,R_1resJxU9NUWxdo8,"1,2,5,6","1,5",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
51,R_6WmIK4QgrbDx56h,"1,2,3,4,5,6","2,5",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
53,R_11XzlLgfqPYa28P,"1,2,3,4,5,6","1,4",0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
54,R_1IBhY0SKPzm2J3S,"1,2,3,4,5,6",3,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
56,R_3KImLHjyUMbqQja,"1,2,3,4,5,6","2,6",1,"1,2,5",1,1,0,0,1,0,5,0,0,0,1,4,0,0,0,1,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,5,0,0,0,1,"3,4",0,0,1,1,0,"1,2,3,4",1,1,1,1,0,0,"1,2,3",1,1,1,0,1,1,0,0,0,4,0,0,1
58,R_3hFlx8QPd98RTT0,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
59,R_3HNv1NMaW588ccj,"1,2,3,4,5,6",5,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
60,R_3Dda48Nr1zARub0,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
61,R_1jqsAmJunh7nxVd,"1,2,3,4,5,6",4,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
62,R_xlvSzGoYl8DEleV,"1,2,3,4,5,6",2,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
